Bet,betsite,dates,odds,fighter1,fighter2,class,url
Darren Till,5Dimes,1522348412000,+125,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522348592000,+120,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522351832000,-110,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522352552000,+110,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522362992000,-105,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522363172000,+105,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522415552000,+130,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522447051000,+140,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1522718132000,+155,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1523143651000,+165,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1523207552000,+145,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1523731711000,+155,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1524382207000,+165,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1524537393000,+170,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1524546212000,+165,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1524714152000,+160,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1524773349000,+155,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1525584065000,+148,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1525904468000,+150,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526188506000,+153,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526221266000,+150,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526650387000,+140,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526872864000,+145,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526924011000,+140,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526931932000,+135,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
Darren Till,5Dimes,1526936791000,+140,Darren Till,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
