Bet,betsite,dates,odds,fighter1,fighter2,class,url
Derek Brunson,5Dimes,1479835264000,-155,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479836050000,-145,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479837245000,-135,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479845537000,-155,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479850565000,-125,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479852186000,-145,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479859035000,-130,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479878465000,-135,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479882425000,-140,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1479972091000,-145,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480002331000,-140,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480007732000,-145,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480026272000,-140,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480102412000,-130,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480106732000,-125,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480109972000,-130,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480121288000,-135,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480147927000,-140,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480148105000,-138,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480174391000,-140,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480176367000,-135,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480195099000,-130,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480199954000,-105,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
Derek Brunson,5Dimes,1480200498000,+100,Derek Brunson,Robert Whittaker,even,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
