Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cheick Kongo,5Dimes,1307005503000,-165,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307010003000,-175,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307010303000,-195,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307024103000,-205,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307025603000,-215,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307092503000,-205,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307094605000,-195,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307214004000,-170,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307222404000,-190,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307275804000,-185,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1307743203000,-180,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308250803000,-175,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308367804000,-170,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308390903000,-175,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308436205000,-170,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308437985000,-155,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
Cheick Kongo,5Dimes,1308438303000,-165,Cheick Kongo,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-versus-4-379
