Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Silva,5Dimes,1345923603000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1345923903000,+160,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1345933804000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1345940103000,+250,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1345955703000,+240,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1345980603000,+230,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1346007603000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1346023502000,+160,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1346025303000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1346263506000,+170,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1346446209000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1347298204000,+180,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349124305000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349152203000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349219704000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349279406000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349380503000,+195,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349452207000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349457905000,+205,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349458506000,+200,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349460006000,+195,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349465404000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349475308000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349482805000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,5Dimes,1349487008000,+170,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1347643210000,+168,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1349108412000,+170,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1349153712000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1349387712000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1349459711000,+180,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BetDSI,1349473214000,+165,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1347643216000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349153715000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349387718000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349459716000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349473219000,+180,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349485247000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,BookMaker,1349488523000,+165,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345923635000,+212,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345923937000,+167,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345933837000,+212,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345940135000,+265,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345955735000,+252,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1345980632000,+242,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1346007630000,+212,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1346023527000,+167,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1346025326000,+197,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1346263550000,+179,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1346445947000,+182,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1347298232000,+186,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349124337000,+191,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349152232000,+206,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349219736000,+196,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349279460000,+206,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349380544000,+191,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349451941000,+196,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349457946000,+201,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349458546000,+196,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349460040000,+191,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349465309000,+186,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349475356000,+180,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349482846000,+174,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,SportBet,1349487341000,+169,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1346562905000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349352306000,+180,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349359206000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349464809000,+175,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349485509000,+160,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349487011000,+155,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349487608000,+160,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Bovada,1349487906000,+170,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Sportsbook,1349283924000,+170,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346272527000,+201,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346274928000,+195,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346275826000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346478926000,+193,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346488529000,+191,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1346605826000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1347754832000,+188,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1348644024000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1348847432000,+188,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349127029000,+190,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349215827000,+183,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349218827000,+173,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349223322000,+176,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349224825000,+174,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349225125000,+181,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349236822000,+186,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349249424000,+185,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
Antonio Silva,Pinnacle,1349250325000,+184,Antonio Silva,Travis Browne,even,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579
