Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jim Miller,5Dimes,1326404402000,-180,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326570304000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326612003000,-175,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326642004000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326688503000,-160,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326690603000,-155,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326711303000,-160,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326721202000,-165,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1326827403000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327018203000,-175,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327070403000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327077903000,-165,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327091103000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327101309000,-180,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327101604000,-176,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327101913000,-175,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327102203000,-170,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327102511000,-169,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327103104000,-167,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327111503000,-165,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327114503000,-160,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327115703000,-155,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327116003000,-153,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,5Dimes,1327116604000,-150,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1326301508000,-200,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1326574509000,-180,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1326774606000,-190,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1326815707000,-185,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1326906608000,-180,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1327091409000,-182,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
Jim Miller,BookMaker,1327096509000,-200,Jim Miller,Melvin Guillard,even,https://www.bestfightodds.com/events/ufc-on-fx-1-guillard-vs-miller-479
