Bet,betsite,dates,odds,fighter1,fighter2,class,url
Lavar Johnson,5Dimes,1328991003000,+180,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1329046804000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1329048004000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1330696203000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331136904000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331270103000,+140,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331283002000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331317503000,+140,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331330103000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331786703000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1331807704000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1335376504000,+175,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1335965104000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1336162806000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1336244404000,+155,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1336245609000,+150,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1336254004000,+145,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,5Dimes,1336255203000,+140,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1328894709000,+200,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1328918409000,+195,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1329194106000,+190,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1330843207000,+177,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1331415010000,+175,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336071910000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336082410000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336164311000,+155,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336200012000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336244410000,+158,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336245013000,+140,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336251610000,+135,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336254912000,+130,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336261808000,+125,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336263308000,+130,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336263909000,+120,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,BookMaker,1336264208000,+115,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1328991026000,+189,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1329046825000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1329048035000,+171,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1330695932000,+177,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331136932000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331270125000,+144,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331282724000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331317535000,+144,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331330134000,+174,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331786723000,+169,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1331807426000,+174,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1335376530000,+180,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1335965135000,+174,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1336162844000,+169,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1336244436000,+153,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1336245337000,+148,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1336254090000,+143,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,SportBet,1336255229000,+138,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1331051105000,+175,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1331219705000,+165,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1335701105000,+170,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1335965706000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1336168505000,+155,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1336247106000,+145,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1336248906000,+140,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Bovada,1336254906000,+135,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Sportsbook,1334699118000,+155,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Sportsbook,1335378320000,+175,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Sportsbook,1335494122000,+160,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Sportsbook,1336236020000,+145,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Sportsbook,1336255219000,+130,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Pinnacle,1330287618000,+190,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Pinnacle,1330287920000,+180,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Pinnacle,1330331418000,+163,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
Lavar Johnson,Pinnacle,1330335017000,+177,Lavar Johnson,Pat Barry,even,https://www.bestfightodds.com/events/ufc-on-fox-3-diaz-vs-miller-496
