Bet,betsite,dates,odds,fighter1,fighter2,class,url
Renan Barao,5Dimes,1429552087000,+165,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1430091005000,+160,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1430755567000,+170,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1430853489000,+200,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1433459912000,+220,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1433644411000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1433647112000,+200,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1433717851000,+190,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1435172227000,+180,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437537426000,+195,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437573786000,+200,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437657665000,+205,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437674046000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437773772000,+215,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437774126000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437799688000,+205,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437829208000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437836052000,+205,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437848289000,+195,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437849731000,+205,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437850446000,+195,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437865206000,+188,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437873305000,+181,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437874206000,+175,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437875105000,+170,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437875646000,+175,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437875826000,+177,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,5Dimes,1437876005000,+170,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1429720571000,+165,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1432394113000,+180,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1433578543000,+185,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437228966000,+170,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437396667000,+180,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437420973000,+184,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437434289000,+180,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437528429000,+190,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437774672000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437798612000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437798973000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437851177000,+183,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437855133000,+225,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437855313000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437867598000,+215,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437868089000,+210,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437869530000,+205,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437875290000,+195,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
Renan Barao,BetDSI,1437875830000,+200,Renan Barao,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
