Bet,betsite,dates,odds,fighter1,fighter2,class,url
Benson Henderson,5Dimes,1345145703000,-170,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345149002000,-195,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345149603000,-210,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345156503000,-175,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345158903000,-145,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345162203000,-120,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345162803000,-140,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345164902000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345170003000,-145,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1345317903000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1346101803000,-160,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1347906904000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1349125205000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1353328203000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1353755105000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354216803000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354217104000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354895104000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354921805000,-145,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354922104000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354923006000,-140,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354968306000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1354986903000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355010605000,-175,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355018404000,-180,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355019304000,-185,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355019604000,-190,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355021104000,-220,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,5Dimes,1355021704000,-225,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1345367410000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1345389309000,-155,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354558809000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354947612000,-170,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354988712000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354997113000,-180,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354998013000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1354998612000,-160,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355014514000,-165,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355014815000,-167,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355019012000,-170,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355020211000,-175,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355021413000,-200,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BetDSI,1355022310000,-225,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BookMaker,1345317310000,-150,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
Benson Henderson,BookMaker,1354559113000,-160,Benson Henderson,Nate Diaz,even,https://www.bestfightodds.com/events/ufc-on-fox-5-henderson-vs-diaz-584
