Bet,betsite,dates,odds,fighter1,fighter2,class,url
Demetrious Johnson,5Dimes,1371752110000,-380,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1372115404000,-400,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1372192392000,-385,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1372199591000,-400,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1372365551000,-425,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1373221810000,-425,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1373635628000,-450,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1373894645000,-460,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374004449000,-470,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374757928000,-500,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374844328000,-475,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374969792000,-450,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374971774000,-430,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,5Dimes,1374973216000,-420,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1373132117000,-390,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1373208859000,-400,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374598809000,-450,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374599172000,-440,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374806528000,-465,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374849731000,-475,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374885914000,-480,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374952698000,-550,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374952874000,-475,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374972859000,-470,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374974122000,-455,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374976224000,-470,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BetDSI,1374976505000,-455,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1373132120000,-400,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374598993000,-450,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374806529000,-475,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374952701000,-550,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374972676000,-470,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374973043000,-465,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374973577000,-459,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374974300000,-460,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,BookMaker,1374976225000,-470,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,SportBet,1371752118000,-362,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
Demetrious Johnson,SportBet,1372115416000,-382,Demetrious Johnson,John Moraga,even,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674
