Bet,betsite,dates,odds,fighter1,fighter2,class,url
Al Iaquinta,5Dimes,1539277396000,+195,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1539284592000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1539285848000,+220,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1539564490000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1542004025000,+255,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1542526386000,+245,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1542555007000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1542741851000,+240,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1543333148000,+225,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1543941189000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544028127000,+260,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544214428000,+265,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544336647000,+255,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544360229000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544382013000,+255,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544393527000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544423047000,+255,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544477341000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544503325000,+255,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544622847000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544707269000,+245,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544711233000,+250,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544729414000,+300,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544752810000,+290,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544815628000,+305,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544837409000,+295,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544887267000,+300,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544900952000,+290,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
Al Iaquinta,5Dimes,1544920034000,+300,Al Iaquinta,Kevin Lee,even,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
