Bet,betsite,dates,odds,fighter1,fighter2,class,url
Luke Rockhold,5Dimes,1421104505000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1421887686000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1422241024000,-145,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1422371167000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1428981872000,-145,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429039652000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429128379000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429280132000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429304229000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429306569000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429314848000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429363089000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429365428000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429367949000,-165,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429374253000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429381627000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429381806000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429382166000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429390627000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429406108000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429406290000,-145,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429408086000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429408627000,-142,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,5Dimes,1429408806000,-145,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1426019227000,-135,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1426019952000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1426026253000,-135,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429007765000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429076706000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429131614000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429194008000,-159,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429195982000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429274553000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429308009000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429316108000,-162,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429325828000,-164,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429326008000,-162,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429326187000,-164,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429362729000,-165,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429371909000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429373528000,-180,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429374070000,-195,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429384328000,-180,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429384688000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429385049000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429396568000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429400887000,-153,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429401428000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429402691000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429407189000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429407554000,-141,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429408267000,-138,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BetDSI,1429409347000,-135,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1426020308000,-140,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429007766000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429076706000,-151,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429087751000,-155,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429131069000,-166,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429131614000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429194008000,-159,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429274912000,-160,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429308190000,-150,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429316109000,-162,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429326188000,-164,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429363269000,-165,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429371909000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429373892000,-180,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429375508000,-175,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
Luke Rockhold,BookMaker,1429375868000,-170,Luke Rockhold,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-on-fox-15-machida-vs-rockhold-927
