Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,5Dimes,1458152827000,-190,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1458576545000,-240,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1458579068000,-225,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1458582413000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1459914127000,-225,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460054349000,-230,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460379424000,-225,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460411465000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460466185000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460663826000,-230,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460668327000,-225,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460739787000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460755627000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460842028000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460847786000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,5Dimes,1460858584000,-225,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1459649708000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460146328000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460385369000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460412190000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460413807000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460553666000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460580669000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460635927000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460773447000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460849767000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460850486000,-201,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460850846000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460851213000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460852106000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460852466000,-213,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460856066000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460858408000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BetDSI,1460858946000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1459648989000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460146510000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460384646000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460385006000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460385185000,-210,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460411647000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460413626000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460553486000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460579947000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460636108000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460772907000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460773087000,-200,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460773267000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460849046000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460849227000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460849406000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460849947000,-201,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460850126000,-220,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460850306000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460850487000,-201,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460850666000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460850846000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460851026000,-195,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460851567000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460851746000,-213,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460851926000,-215,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460852329000,-213,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
Glover Teixeira,BookMaker,1460855707000,-205,Glover Teixeira,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
