Bet,betsite,dates,odds,fighter1,fighter2,class,url
Donald Cerrone,5Dimes,1438962487000,+205,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1438978508000,+250,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1439150945000,+260,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1441225991000,+240,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1441834029000,+220,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1445531046000,+200,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1447817406000,+190,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1449016926000,+180,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1449056528000,+200,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450016285000,+180,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450032664000,+190,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450046349000,+180,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450301947000,+170,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450478888000,+175,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450554666000,+170,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450558986000,+165,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450568706000,+155,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450571226000,+160,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450572306000,+155,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450572846000,+150,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450577525000,+155,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450577708000,+160,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450579685000,+155,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,5Dimes,1450580765000,+150,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,BetDSI,1439322497000,+243,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,BetDSI,1444242429000,+250,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,BetDSI,1444249813000,+215,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
Donald Cerrone,BetDSI,1445497571000,+210,Donald Cerrone,Rafael Dos Anjos,even,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
