Bet,betsite,dates,odds,fighter1,fighter2,class,url
Junior Dos Santos,5Dimes,1417030746000,-270,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1417119131000,-310,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1417712772000,-325,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1417978088000,-365,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418147832000,-390,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418156648000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418163128000,-420,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418188505000,-390,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418221087000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418348885000,-430,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418402526000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418421068000,-390,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418431505000,-375,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418436186000,-340,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418483525000,-375,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418494145000,-385,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418502786000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418508367000,-410,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418510526000,-430,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,5Dimes,1418525284000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418340967000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418348471000,-405,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418350867000,-430,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418355906000,-420,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418432591000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418510886000,-485,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418520607000,-460,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418520969000,-465,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418525107000,-490,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418526185000,-465,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BetDSI,1418526546000,-485,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418340967000,-385,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418341327000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418348526000,-405,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418351227000,-430,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418355727000,-420,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418432768000,-400,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418497206000,-404,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418511068000,-465,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418520787000,-433,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418521327000,-448,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,BookMaker,1418521687000,-465,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1417030749000,-258,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1417119133000,-298,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1417712774000,-314,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1417978090000,-352,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418147833000,-377,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418156649000,-389,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418163129000,-407,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418188507000,-372,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418221088000,-389,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418348887000,-417,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418402528000,-407,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418421070000,-398,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418431508000,-380,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418436189000,-351,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418483349000,-380,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418494148000,-389,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418502789000,-407,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418508369000,-417,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
Junior Dos Santos,SportBet,1418510529000,-437,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-on-fox-13-dos-santos-vs-miocic-879
