id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTA0,104,renato-sobral-104,Renato Sobral,Babalu,1975-09-07,185.0,77.0,,Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA0MA==,1040,todd-duffee-1040,Todd Duffee,Duff Man,1985-12-06,191.0,78.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA0MQ==,1041,evan-dunham-1041,Evan Dunham,The Kid,1981-12-18,178.0,70.0,,Well Rounded,Southpaw,United States
RmlnaHRlck5vZGU6MTA0Mg==,1042,reuben-duran-1042,Reuben Duran,The Future,1983-07-02,168.0,71.0,,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA0Mjg=,10428,joilton-lutterbach-10428,Joilton Lutterbach,Peregrino,1992-11-05,182.9,72.0,,Striker / Grappler,Switch,Brazil
RmlnaHRlck5vZGU6MTA0Mw==,1043,mike-easton-1043,Mike Easton,The Hulk,1984-01-25,166.0,70.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTA0NA==,1044,brian-ebersole-1044,Brian Ebersole,Bad Boy,1980-11-27,183.0,73.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTA0NQ==,1045,johnny-eduardo-1045,Johnny Eduardo,Pretinho,1978-03-08,171.0,71.0,38.0,Striker,Orthodox,Brazil
RmlnaHRlck5vZGU6MTA0Ng==,1046,justin-edwards-1046,Justin Edwards,Fast Eddy,1983-01-26,178.0,71.0,,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTA0Nw==,1047,tom-egan-1047,Tom Egan,The Tank,,180.0,,,,,Ireland
RmlnaHRlck5vZGU6MTA0OA==,1048,darren-elkins-1048,Darren Elkins,The Damage,1984-05-16,178.0,71.0,39.0,Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTA0OQ==,1049,jake-ellenberger-1049,Jake Ellenberger,The Juggernaut,1985-03-28,183.0,73.0,39.0,Striker / Wrestler,Orthodox,United States
RmlnaHRlck5vZGU6MTA1MA==,1050,cole-escovedo-1050,Cole Escovedo,Apache Kid,1981-08-30,170.0,72.0,,Brazilian Jiu-Jitsu,Orthodox,United States
RmlnaHRlck5vZGU6MTA1MQ==,1051,jessica-eye-1051,Jessica Eye,Evil,1986-07-27,168.0,63.5,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA1Mg==,1052,edward-faaloloto-1052,Edward Faaloloto,Falo,1985-07-15,175.0,71.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA1Mw==,1053,urijah-faber-1053,Urijah Faber,California Kid,1979-05-14,168.0,69.0,37.0,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTA1NA==,1054,maiquel-falcao-1054,Maiquel Falcao,Big Rig,1981-03-08,179.0,69.0,,Striker,Orthodox,"Rio Grande Du Sol, Brazil"
RmlnaHRlck5vZGU6MTA1NQ==,1055,josh-ferguson-1055,Josh Ferguson,Taz,1988-05-13,166.0,66.0,,BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA1Ng==,1056,tony-ferguson-1056,Tony Ferguson,El Cucuy,1984-02-12,182.9,76.0,40.0,Well Rounded,Orthodox,United States
RmlnaHRlck5vZGU6MTA1Nw==,1057,alexandre-ferreira-1057,Alexandre Ferreira,Cacareco,1979-04-25,171.0,,,,,Brazil
RmlnaHRlck5vZGU6MTA1OA==,1058,cezar-ferreira-1058,Cezar Ferreira,Mutante,1985-02-15,185.0,79.0,,Striker / BJJ Grappler,Southpaw,Brazil
RmlnaHRlck5vZGU6MTA1OQ==,1059,edwin-figueroa-1059,Edwin Figueroa,El Feroz,1984-07-31,171.0,69.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA2MA==,1060,colin-fletcher-1060,Colin Fletcher,The Freakshow,1983-01-08,188.0,78.0,,Striker / BJJ Grappler,Orthodox,"Sunderland, England"
RmlnaHRlck5vZGU6MTA2MDc=,10607,emily-whitmire-10607,Emily Whitmire,Spitfire,1991-05-24,167.0,63.0,,Striker,Orthodox,United States
