id,ufcstats_id,event_id,bout_order,fighter_1_id,fighter_2_id,outcome_method,end_round_time_info,billing,weight_class,fighter_1_odds,fighter_2_odds,fighter_1_weight,fighter_2_weight,fighter_1_gym_info,fighter_1_gym_ids,fighter_2_gym_info,fighter_2_gym_ids
1190-ufc-1-gerard-gordeau-vs-teila-tuli,,ufc-1-the-beginning,1,gerard-gordeau,teila-tuli,"KO/TKO, Head Kick",0:26 Round 1 of 1,Main Card (fight 1 of 8),,,,216.0 lbs (98.0 kgs),410.0 lbs (186.0 kgs),Kamakura,,N/A,
ufc-1-kevin-rosier-vs-zane-nasty-frazier,,ufc-1-the-beginning,2,kevin-rosier,zane-frazier-nasty,KO/TKO,4:20 Round 1 of 1,Main Card (fight 2 of 8),,,,265.0 lbs (120.2 kgs),230.0 lbs (104.3 kgs),N/A,,N/A,
1206-ufc-1-royce-gracie-vs-art-one-glove-jimmerson,,ufc-1-the-beginning,3,royce-gracie,art-jimmerson-one-glove,Submission,2:18 Round 1 of 1,Main Card (fight 3 of 8),,,,180.0 lbs (81.6 kgs),196.0 lbs (88.9 kgs),Gracie Humaita,831-gracie-humaita,N/A,
1210-ufc-1-the-worlds-most-dangerous-man-ken-shamrock-vs-patrick-pat-smith,,ufc-1-the-beginning,4,ken-shamrock-the-worlds-most-dangerous-man,patrick-smith-pat,"Submission, Heel Hook",1:49 Round 1 of 1,Main Card (fight 4 of 8),,,,220.0 lbs (99.8 kgs),217.0 lbs (98.4 kgs),Lion's Den,298-lions-den,N/A,
1214-ufc-1-gerard-gordeau-vs-kevin-rosier,,ufc-1-the-beginning,5,gerard-gordeau,kevin-rosier,"KO/TKO, Corner Stoppage",0:59 Round 1 of 1,Main Card (fight 5 of 8),,,,216.0 lbs (98.0 kgs),265.0 lbs (120.2 kgs),Kamakura,,N/A,
1218-ufc-1-royce-gracie-vs-the-worlds-most-dangerous-man-ken-shamrock-i,,ufc-1-the-beginning,6,royce-gracie,ken-shamrock-the-worlds-most-dangerous-man,"Submission, Rear Naked Choke",0:57 Round 1 of 1,Main Card (fight 6 of 8),,,,180.0 lbs (81.6 kgs),220.0 lbs (99.8 kgs),Gracie Humaita,831-gracie-humaita,Lion's Den,298-lions-den
ufc-1-jason-delucia-vs-trent-jenkins,,ufc-1-the-beginning,7,jason-delucia,trent-jenkins,"Submission, Rear Naked Choke",0:52 Round 1 of 1,Main Card (fight 7 of 8),,,,,,N/A,,N/A,
1226-ufc-1-royce-gracie-vs-gerard-gordeau,,ufc-1-the-beginning,8,royce-gracie,gerard-gordeau,"Submission, Rear Naked Choke",1:44 Round 1 of 1,Main Event (fight 8 of 8),,,,180.0 lbs (81.6 kgs),216.0 lbs (98.0 kgs),Gracie Humaita,831-gracie-humaita,Kamakura,
ufc-2-scott-morris-vs-sean-daugherty,,ufc-2-no-way-out,1,scott-morris,sean-daugherty,"Submission, Guillotine Choke",0:20 Round 1 of 1,Preliminary Card (fight 1 of 15),,,,208.0 lbs (94.3 kgs),,N/A,,N/A,
2688-ufc-2-patrick-pat-smith-vs-ray-wizard,,ufc-2-no-way-out,2,patrick-smith-pat,ray-wizard,"Submission, Guillotine Choke",0:58 Round 1 of 1,Preliminary Card (fight 2 of 15),,,,219.0 lbs (99.3 kgs),,N/A,,N/A,
ufc-2-johnny-rhodes-vs-david-levicki,,ufc-2-no-way-out,3,johnny-rhodes,david-levicki,"Submission, Strikes",12:13 Round 1 of 1,Preliminary Card (fight 3 of 15),,,,210.0 lbs (95.3 kgs),,N/A,,N/A,
ufc-2-frank-hamaker-vs-thaddeus-luster,,ufc-2-no-way-out,4,frank-hamaker,thaddeus-luster,"Submission, Corner Stoppage",4:52 Round 1 of 1,Preliminary Card (fight 4 of 15),,,,,,N/A,,N/A,
ufc-2-orlando-the-gladiator-weit-vs-robert-lucarelli,,ufc-2-no-way-out,5,orlando-weit-the-gladiator,robert-lucarelli,"KO/TKO, Knees to the Head",2:50 Round 1 of 1,Preliminary Card (fight 5 of 15),,,,170.0 lbs (77.1 kgs),,N/A,,N/A,
ufc-2-remco-grizzly-pardoel-vs-alberto-cerra-leon,,ufc-2-no-way-out,6,remco-pardoel-grizzly,alberto-cerra-leon,"Submission, Armlock",9:51 Round 1 of 1,Preliminary Card (fight 6 of 15),,,,260.0 lbs (117.9 kgs),,Pardoel Sports,7158-pardoel-sports,N/A,
ufc-2-jason-delucia-vs-scott-baker,,ufc-2-no-way-out,7,jason-delucia,scott-baker,"Submission, Strikes",6:41 Round 1 of 1,Preliminary Card (fight 7 of 15),,,,190.0 lbs (86.2 kgs),,N/A,,N/A,
2716-ufc-2-royce-gracie-vs-minoki-ichihara,,ufc-2-no-way-out,8,royce-gracie,minoki-ichihara,"Submission, Lapel Choke",5:08 Round 1 of 1,Preliminary Card (fight 8 of 15),,,,176.0 lbs (79.8 kgs),178.0 lbs (80.7 kgs),Gracie Humaita,831-gracie-humaita,N/A,
2720-ufc-2-patrick-pat-smith-vs-scott-morris,,ufc-2-no-way-out,9,patrick-smith-pat,scott-morris,"KO/TKO, Elbows",0:30 Round 1 of 1,Main Card (fight 9 of 15),,,,219.0 lbs (99.3 kgs),208.0 lbs (94.3 kgs),N/A,,N/A,
ufc-2-johnny-rhodes-vs-fred-ettish,,ufc-2-no-way-out,10,johnny-rhodes,fred-ettish,"Submission, Rear Naked Choke",3:07 Round 1 of 1,Main Card (fight 10 of 15),,,,210.0 lbs (95.3 kgs),180.0 lbs (81.6 kgs),N/A,,N/A,
ufc-2-remco-grizzly-pardoel-vs-orlando-the-gladiator-weit,,ufc-2-no-way-out,11,remco-pardoel-grizzly,orlando-weit-the-gladiator,"KO/TKO, Elbows on the Ground",1:29 Round 1 of 1,Main Card (fight 11 of 15),,,,260.0 lbs (117.9 kgs),170.0 lbs (77.1 kgs),Pardoel Sports,7158-pardoel-sports,N/A,
