id,name,date,location,is_ufc_event,event_order
6420efac0578988b,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",1,1.0
a6a9ab5a824e8f66,UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",1,2.0
1a49e0670dfaca31,UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",1,3.0
b60391da771deefe,UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",1,4.0
dedc3bb440d09554,UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",1,5.0
1c3f5e85b59ec710,UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",1,6.0
5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",1,7.0
31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",1,8.0
b63e800c18e011b5,UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",1,9.0
a390eb8a9b2df298,UFC 9: Motor City Madness,1996-05-17,"Detroit, Michigan, USA",1,10.0
aee8eecfc4bfb1e7,UFC 10: The Tournament,1996-07-12,"Birmingham, Alabama, USA",1,11.0
6ceff86fae4f6b3b,UFC 11: The Proving Ground,1996-09-20,"Augusta, Georgia, USA",1,12.0
9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1996-12-07,"Birmingham, Alabama, USA",1,13.0
96eff1a628adcc7f,UFC 12: Judgement Day,1997-02-07,"Dothan, Alabama, USA",1,14.0
5bd533d50c8e7b8a,UFC 13: The Ultimate Force,1997-05-30,"Augusta, Georgia, USA",1,15.0
a6fd2173d5e2d7f0,Brazil Open '97,1997-06-15,Brazil,0,
dc950d59dc590aca,UFC 14: Showdown,1997-07-27,"Birmingham, Alabama, USA",1,16.0
e09dbbd5fe3f0fe2,PRIDE 1,1997-10-11,"Tokyo, Japan",0,
07a18ae55dfc3cd9,UFC 15: Collision Course,1997-10-17,"Bay St. Louis, Mississippi, USA",1,17.0
29f935654825331b,UFC - Ultimate Japan,1997-12-21,"Yokohama, Kanagawa, Japan",1,18.0
d5ed14b2153c6ed2,PRIDE 2,1998-03-05,"Yokohama, Kanagawa, Japan",0,
749685d24e2cac50,UFC 16: Battle in the Bayou,1998-03-13,"New Orleans, Louisiana, USA",1,19.0
4a01dc8376736ef5,UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",1,20.0
d62bb4d84a7267ba,PRIDE 3,1998-06-24,"Tokyo, Japan",0,
621a6c59f88a44fe,PRIDE 4,1998-10-11,"Tokyo, Japan",0,
32a3025d5db456ae,UFC - Ultimate Brazil,1998-10-16,"Sao Paulo, Brazil",1,21.0
6a2f7c151031653d,Vale Tudo Japan 1998,1998-10-25,"Urayasu, Chiba, Japan",0,
c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1999-01-08,"New Orleans, Louisiana, USA",1,22.0
a220be6d41d6f97d,UFC 19: Ultimate Young Guns,1999-03-05,"Bay St. Louis, Mississippi, USA",1,23.0
863d06a7ef8bc98c,PRIDE 5,1999-04-29,"Nagoya, Aichi, Japan",0,
a7b48e18ca27795d,UFC 20: Battle for the Gold,1999-05-07,"Birmingham, Alabama, USA",1,24.0
fb1538b46877a695,BRI 3,1999-06-01,"Littleton, Colorado, USA",0,
b7d524c77c27389b,PRIDE 6,1999-07-04,"Yokohama, Kanagawa, Japan",0,
1a1a4d7a29041d77,UFC 21: Return of the Champions,1999-07-16,"Cedar Rapids, Iowa, USA",1,25.0
04643fd03d9159cc,PRIDE 7,1999-09-12,"Yokohama, Kanagawa, Japan",0,
afaad7d6a581e307,UFC 22: Only One Can be Champion,1999-09-24,"Lake Charles, Louisiana, USA",1,26.0
dbaaf42313af90fa,KOTC 1,1999-10-30,"San Jacinto, California, USA",0,
a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1999-11-19,"Chiba, Japan",1,27.0
029880cdbf5ca089,PRIDE 8,1999-11-21,"Tokyo, Japan",0,
1cf1310684a841f5,PRIDE Grand Prix 2000 Opening Round,2000-01-30,"Tokyo, Japan",0,
20ec0061400178ca,UFC 24: First Defense,2000-03-10,"Lake Charles, Louisiana, USA",1,28.0
d2b1c1317a39f6c6,UFC 25: Ultimate Japan 3,2000-04-14,"Tokyo, Japan",1,29.0
ea3ef6206c7907d5,PRIDE Grand Prix 2000 Finals,2000-05-01,"Tokyo, Japan",0,
84ac950d4c1722dd,Meca 1,2000-05-27,"Curitiba, Parana, Brazil",0,
21b1132949f2a9b0,PRIDE 9: New Blood,2000-06-04,"Nagoya, Aichi, Japan",0,
cedfdf8d423d500c,UFC 26: Ultimate Field Of Dreams,2000-06-09,"Cedar Rapids, Iowa, USA",1,30.0
04f9fe830cf13482,EC 35,2000-06-29,"Davenport, Iowa, USA",0,
2961be02cfb0d2c1,Meca 2,2000-08-12,"Curitiba, Parana, Brazil",0,
622f015c81a9b13a,PRIDE 10: Return of the Warriors,2000-08-27,"Saitama, Japan",0,
31652c9267606d54,UFC 27: Ultimate Bad Boyz,2000-09-22,"New Orleans, Louisiana, USA",1,31.0
46e2ca71fd5089cb,PRIDE 11: Battle of the Rising Sun,2000-10-31,"Osaka, Japan",0,
da6dfd09cca1d705,UFC 28: High Stakes,2000-11-17,"Atlantic City, New Jersey, USA",1,32.0
80c0bed43da0e27b,PRIDE 12: Cold Fury,2000-12-09,"Saitama, Japan",0,
08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,2000-12-16,"Tokyo, Japan",1,33.0
f3388d2cf7ab3f64,Meca 4,2000-12-16,"Curitiba, Parana, Brazil",0,
a8e6a69796280f17,IFC - Warriors Challenge 11,2001-01-13,"Fresno, California, USA",0,
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",1,34.0
6aa1cbc1466e9a0b,Shooto - To the Top 2,2001-03-02,"Tokyo, Japan",0,
bf41b5131545da12,PRIDE 13: Collision Course,2001-03-25,"Saitama, Japan",0,
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",1,35.0
4b4753d19489297f,PRIDE 14: Clash of the Titans,2001-05-27,"Yokohama, Kanagawa, Japan",0,
a7f4d0902bb64092,Meca 5,2001-06-09,"Curitiba, Parana, Brazil",0,
7b9aa973e5c04624,UFC 32: Showdown in the Meadowlands,2001-06-29,"East Rutherford, New Jersey, USA",1,36.0
41e77dc504a192c6,WEC 1: Princes of Pain,2001-06-30,"Lemoore, California, USA",0,
88c8f47241d90040,PRIDE 15: Raging Rumble,2001-07-29,"Saitama, Japan",0,
86f582852a5b240a,GC 5,2001-08-19,"Denver, Colorado, USA",0,
d1a1314976c50bef,K-1 2001 Japan GP Final,2001-08-19,"Saitama, Japan",0,
f7a7f7118d4b01b6,Shooto - To the Top 7,2001-08-26,"Osaka, Japan",0,
adea9f0090aa8e14,PRIDE 16: Beasts from the East,2001-09-24,"Osaka, Japan",0,
c75b99887c8c3f5a,UFC 33: Victory in Vegas,2001-09-28,"Las Vegas, Nevada, USA",1,37.0
4dc496aa0cfc0d95,UFC 34: High Voltage,2001-11-02,"Las Vegas, Nevada, USA",1,38.0
08a7080ff5904661,PRIDE 17: Championship Chaos,2001-11-03,"Tokyo, Japan",0,
d3de4a24f7eefac8,WFA 1,2001-11-03,"Las Vegas, Nevada, USA",0,
9bad58fa651d6196,PRIDE 18: Cold Fury 2,2001-12-23,"Fukuoka, Japan",0,
04c15b52c3cc1cab,Inoki Bom-Ba-Ye 2001,2001-12-31,"Saitama, Japan",0,
