id,name,nickname,height_inches,reach_inches,stance,date_of_birth
002ca196477ce572,Gabriel Silva,,66.0,71.0,Orthodox,1994-08-26
003d82fa384ca1d0,Aalon Cruz,,72.0,78.0,Switch,1989-09-20
0052de90691d4a93,Davi Ramos,Tasmanian Devil,66.0,70.0,Orthodox,1986-11-05
006efbb0c1621fd7,Tyler Hill,,75.0,,Switch,1991-08-10
008c6e1a25751575,Wesley Little,,76.0,,,
008cf84faae9c7a5,Bryan Travers,,,,,1983-04-11
008dc37cca279def,Sean McCorkle,,79.0,81.0,Orthodox,1976-07-17
008ea710276c9606,Jeff Molina,El Jefe,66.0,69.0,Orthodox,1997-07-17
009341ed974bad72,Jiri Prochazka,,75.0,80.0,Orthodox,1992-10-14
009c4420727149ea,AJ Dobson,,73.0,76.0,Orthodox,1992-01-18
00a35c92b03992b0,Oron Kahlon,,68.0,70.0,Orthodox,1984-11-04
00a3ff40c4b2cf21,Glaico Franca Moreira,Nego,72.0,77.0,Orthodox,1991-02-28
00a905a4a4a2b071,Greg McIntyre,,70.0,,Orthodox,1980-04-21
00b490982afd1b17,SangHoon Yoo,Assassin,72.0,74.0,Orthodox,1990-01-18
00debc804e2b1cd4,Dylan Andrews,The Villain,73.0,74.0,Switch,1979-11-15
00e11b5c8b7bfeeb,Luke Rockhold,,75.0,77.0,Southpaw,1984-10-17
010986ee359fb863,John Salter,,73.0,74.0,Southpaw,1985-03-21
0112352cb32f5026,Denis Tiuliulin,,73.0,77.0,Orthodox,1988-05-17
012fc7cd0779c09a,Art Santore,Pachuco,74.0,,,1972-10-26
013da757877044a2,Joe Brammer,The South Side Strangler,68.0,,Orthodox,1983-08-23
01641ba5df0c69b0,Gabriel Bonfim,Marretinha,73.0,72.0,Orthodox,1997-08-20
016a8d958883167c,Gina Mazany,Danger,66.0,68.0,Southpaw,1988-08-19
01784fbc27c68b14,Rachael Ostovich,,63.0,62.0,Orthodox,1991-02-25
