id,name,latitude,longitude,elevation_meters,capacity
1,McNichols Sports Arena,39.74277777777778,-105.0225,1592.0,16000
2,Mammoth Gardens,39.74055555555556,-104.97715555555556,1610.0,3900
3,Grady Cole Center,35.2182,-80.8283,198.5,3000
4,Expo Square Pavilion,36.13666666666666,-95.93277777777779,246.0,6311
5,Bojangles Coliseum,35.20516388888889,-80.79510277777777,203.0,9605
6,Casper Events Center,42.868274,-106.33284,1614.1,9700
7,Buffalo Memorial Auditorium,42.878055555555555,-78.8775,179.0,18000
8,Coliseo Rubén Rodríguez,18.39495833333333,-66.15083333333334,13.0,12000
9,Cobo Arena,42.32611111111112,-83.04694444444445,179.0,12000
10,Fair Park Arena,33.495,-86.874,166.0,5000
11,Augusta Civic Center,33.47,-81.96638888888889,41.0,9167
12,Dothan Civic Center,31.22472222222222,-85.39,98.0,3100
13,Boutwell Memorial Auditorium,33.52159,-86.81101,182.3,5000
14,Casino Magic Bay St. Louis,30.335277777777776,-89.35444444444444,2.0,918
15,Yokohama Arena,35.512388888888886,139.62005555555555,27.7,17000
16,Pontchartrain Center,30.039166666666667,-90.23972222222223,0.0,3700
17,Mobile Civic Center,30.68605,-88.04478,5.0,10112
18,Ginásio da Portuguesa,-23.520133,-46.620289,731.9,8500
19,Five Seasons Events Center,41.980219444444444,-91.66744166666668,223.6,9000
20,Lake Charles Civic Center,30.22833333333333,-93.22111111111111,3.0,7450
21,Tokyo Bay NK Hall,35.62675,139.87524444444446,5.0,7000
22,Yoyogi National Gymnasium,35.6675,139.70030555555553,48.5,12898
23,Lakefront Arena,30.029999999999998,-90.05055555555555,1.0,8933
24,Etess Arena at Trump Taj Mahal,39.35865277777778,-74.41977777777778,2.1,5200
25,Differ Ariake Arena,35.638733333333334,139.78922777777777,6.5,1246
26,Meadowlands Arena,40.81166666666666,-74.0675,3.0,20000
27,Mandalay Bay Events Center,36.09067777777778,-115.17898055555555,662.2,12000
28,MGM Grand Garden Arena,36.10480833333334,-115.1686138888889,644.0,17000
29,Mohegan Sun Arena,41.49111111111111,-72.08972222222222,7.0,10000
30,CenturyTel Center,32.46516666666667,-93.67358333333334,50.0,14000
31,Bellagio,36.113055555555555,-115.1763888888889,647.0,4785
32,Royal Albert Hall,51.50111111111111,-0.1775,31.0,5272
33,Boardwalk Hall,39.355000000000004,-74.43861111111111,1.0,10500
34,Kaseya Center,25.781388888888888,-80.18805555555556,2.0,20021
35,Thomas & Mack Center,36.105000000000004,-115.14416666666668,620.0,18645
36,Cox Pavilion,36.10416666666667,-115.14305555555556,620.0,3286
37,Hard Rock Hotel and Casino,36.10861111111111,-115.15361111111112,627.0,4000
38,Honda Center,33.80777777777777,-117.87666666666667,51.0,18900
39,Crypto.com Arena,34.043055555555554,-118.26722222222222,73.0,21000
40,Red Rock Resort Spa and Casino,36.154444444444444,-115.33027777777778,921.0,2300
41,Seminole Hard Rock Hotel and Casino,26.051318,-80.210034,2.0,5500
42,ARCO Arena,38.649166666666666,-121.51805555555555,10.0,17317
43,Marine Corps Air Station Miramar,32.867777777777775,-117.14166666666668,137.0,3000
44,Nationwide Arena,39.96928333333334,-83.00611111111111,223.4,20000
45,Palms Casino Resort,36.114444444444445,-115.19500000000001,666.0,2400
46,Toyota Center,29.750833333333333,-95.36222222222221,14.0,19300
47,AO Arena,53.488055555555555,-2.243888888888889,45.0,21000
48,The SSE Arena,54.60416666666667,-5.915,16.0,11058
49,The O2 Arena,51.5029,0.0032,22.6,20000
50,U.S. Bank Arena,39.09777777777778,-84.50444444444445,149.0,17556
51,Prudential Center,40.73361111111111,-74.17111111111112,10.0,19500
52,Metro Radio Arena,54.96388888888889,-1.6233333333333333,32.0,11000
53,1stBank Center,39.904527,-105.085334,1649.0,6500
54,Bell Centre,45.49611111111111,-73.56944444444444,30.0,23152
55,Target Center,44.97944444444445,-93.2761111111111,258.0,20500
56,State Farm Arena,33.757222222222225,-84.3963888888889,312.0,21000
57,Omaha Civic Auditorium,41.26166666666666,-95.94,320.0,10960
58,National Indoor Arena,52.47972222222222,-1.9149999999999998,149.0,15800
59,Allstate Arena,42.00527777777778,-87.88777777777779,196.0,22000
60,Crown Coliseum,35.015124,-78.891714,60.4,10000
61,3Arena,53.347500000000004,-6.228611111111111,12.0,13000
62,USF Sun Dome,28.05923611111111,-82.40647222222223,19.5,10500
63,Bridgestone Arena,36.159166666666664,-86.7786111111111,137.0,19891
64,Lanxess Arena,50.93849722222222,6.982952777777778,67.6,20000
65,Wells Fargo Center,39.901111111111106,-75.17194444444445,7.0,21000
66,Moda Center,45.531666666666666,-122.66666666666667,28.0,20500
67,Cox Convention Center,35.46527777777778,-97.51444444444445,365.0,15634
68,American Airlines Center,32.79055555555556,-96.81027777777777,125.0,21000
69,FedExForum,35.138333333333335,-90.05055555555555,74.0,19000
70,EagleBank Arena,38.827,-77.31,126.0,15000
71,Qudos Bank Arena,-33.85,151.06666666666666,20.0,21032
72,"Concert Arena, Yas Island",24.5,54.6,3.0,11000
73,Rogers Arena,49.27777777777778,-123.10888888888888,9.0,19000
74,Pechanga Arena,32.75527777777778,-117.21222222222222,7.0,16100
75,Oracle Arena,37.750277777777775,-122.20305555555557,6.0,19596
76,TD Garden,42.366302777777776,-71.06222777777778,2.4,20000
77,Frank Erwin Center,30.277,-97.7322,161.3,17900
78,Conseco Fieldhouse,39.763888888888886,-86.15555555555557,215.0,19000
79,Rudolf Weber-Arena,51.49,6.871944444444445,44.0,12650
80,The Palace of Auburn Hills,42.69694444444444,-83.24555555555555,294.0,23000
81,Fort Hood,31.139722222222222,-97.76583333333333,287.0,3200
82,KFC Yum! Center,38.2575,-85.7538888888889,134.0,22090
83,Climate Pledge Arena,47.622,-122.354,35.0,17200
84,Rogers Centre,43.64138888888889,-79.38916666666667,86.0,55000
