bout_id,event_id,date,sportsbook,red_odds,blue_odds,red_win
c1356395d6b055d7,46effbd1135423c5,2017-01-15,Bovada,-110,-120,0
ae803440d778a12b,46effbd1135423c5,2017-01-15,Bovada,190,-240,0
3f7684492c9df05e,46effbd1135423c5,2017-01-15,Bovada,-160,130,1
53c3565ee1d3411a,46effbd1135423c5,2017-01-15,Bovada,145,-175,0
8156479490877d08,46effbd1135423c5,2017-01-15,Bovada,-170,140,1
1a81573425c585fb,46effbd1135423c5,2017-01-15,Bovada,-145,115,1
b60bbec8ec98941b,46effbd1135423c5,2017-01-15,Bovada,-170,140,0
bbb67c2ac4453d64,46effbd1135423c5,2017-01-15,Bovada,245,-315,0
7685701c382cd49a,46effbd1135423c5,2017-01-15,Bovada,125,-155,0
8edb831924d69dd9,46effbd1135423c5,2017-01-15,Bovada,-140,110,0
00720c46f864fe03,46effbd1135423c5,2017-01-15,Bovada,-135,105,1
5742025a09190829,46effbd1135423c5,2017-01-15,Bovada,-340,260,1
6eb382e2c51fc4f5,4512e46543b960ad,2017-01-28,Bovada,105,-135,1
0094d2ed98819f7a,4512e46543b960ad,2017-01-28,Bovada,-110,-120,1
99373dc33dfbf6e0,4512e46543b960ad,2017-01-28,Bovada,-155,125,1
481aef2d2802ec68,4512e46543b960ad,2017-01-28,Bovada,-110,-120,1
1cd0ce0e2312ad52,4512e46543b960ad,2017-01-28,BetOnline,165,-190,0
c5865afc31cb6c59,4512e46543b960ad,2017-01-28,Bovada,120,-150,0
637f561cd731fb44,4512e46543b960ad,2017-01-28,Bovada,-150,120,1
3c8eb8ad5e98876f,4512e46543b960ad,2017-01-28,Bovada,120,-150,0
43682a646b9b956f,4512e46543b960ad,2017-01-28,Bovada,120,-150,0
a45596cda51a1816,4512e46543b960ad,2017-01-28,Bovada,290,-380,0
b91756d955e14d2e,4512e46543b960ad,2017-01-28,Bovada,-190,155,0
ab79fe7b35ccc3dc,4512e46543b960ad,2017-01-28,Bovada,-190,155,1
f3bb58f485dc2008,6a8a06b542e1516d,2017-02-04,Bovada,145,-175,0
48e51d4e7172048e,6a8a06b542e1516d,2017-02-04,Bovada,-110,-120,
ebe38ba75cbf2320,6a8a06b542e1516d,2017-02-04,Bovada,-400,300,1
66ad9f88f063d2ef,6a8a06b542e1516d,2017-02-04,Bovada,105,-135,1
478221ad98336565,6a8a06b542e1516d,2017-02-04,Bovada,-325,250,1
74256b4e8d0b1de6,6a8a06b542e1516d,2017-02-04,Bovada,285,-375,
451525a1abe30a91,6a8a06b542e1516d,2017-02-04,Bovada,-650,425,1
49e344834626c144,6a8a06b542e1516d,2017-02-04,Bovada,-260,200,0
36220644401d85e1,6a8a06b542e1516d,2017-02-04,Bovada,-400,300,0
94cecf4bd29793e1,6a8a06b542e1516d,2017-02-04,Bovada,110,-140,0
4a2e7e2c8cfdaf5f,6a8a06b542e1516d,2017-02-04,Bovada,-400,300,0
8c220d4c96895a98,6a8a06b542e1516d,2017-02-04,Bovada,-200,160,0
1f9ac1648b8e501e,865aa315ea62c511,2017-02-11,Bovada,-310,240,1
c4174e22cb22622c,865aa315ea62c511,2017-02-11,Bovada,-185,150,1
ddd9e64d97b095f9,865aa315ea62c511,2017-02-11,Bovada,265,-350,0
febea68b205f6273,865aa315ea62c511,2017-02-11,Bovada,-600,400,1
f680e6ebe3bdfe3e,865aa315ea62c511,2017-02-11,BetOnline,-148,128,0
8b8f9485214f9e48,865aa315ea62c511,2017-02-11,Bovada,-450,325,1
244357514dd89bd6,865aa315ea62c511,2017-02-11,Bovada,-225,175,1
ced241b99eab5f22,865aa315ea62c511,2017-02-11,Bovada,-600,400,1
d29750cee389a0b9,865aa315ea62c511,2017-02-11,Bovada,-110,-120,1
252074c8554bf30d,865aa315ea62c511,2017-02-11,Bovada,100,-130,0
c1d86f1e6d41cd03,b4ad3a06ee4d660c,2017-02-19,Bovada,-300,230,1
e59aabdfba9d6c45,b4ad3a06ee4d660c,2017-02-19,Bovada,135,-165,0
ad9ecef413a5b48f,b4ad3a06ee4d660c,2017-02-19,Bovada,-270,210,1
e4c4c54a10e06973,b4ad3a06ee4d660c,2017-02-19,Bovada,-270,210,0
1db121859d2fcda8,b4ad3a06ee4d660c,2017-02-19,Bovada,245,-315,0
f00ac5af033f44b4,b4ad3a06ee4d660c,2017-02-19,Bovada,-360,270,1
9c256e94c6b584b6,b4ad3a06ee4d660c,2017-02-19,Bovada,-750,475,1
16e28dd989ee1dea,b4ad3a06ee4d660c,2017-02-19,Bovada,-115,-115,1
112e6a0ddce893e6,b4ad3a06ee4d660c,2017-02-19,Bovada,135,-165,0
a5d24caed8afbeef,b4ad3a06ee4d660c,2017-02-19,Bovada,100,-130,1
ab14dbff9d2ae41a,b4ad3a06ee4d660c,2017-02-19,Bovada,-110,-120,1
2d4743a82fc55642,20e403a1acfef130,2017-03-04,Bovada,-140,110,1
6db4d7827082d5b9,20e403a1acfef130,2017-03-04,Bovada,-140,110,1
08b65f5009c34997,20e403a1acfef130,2017-03-04,Bovada,-150,120,1
4804776154430aad,20e403a1acfef130,2017-03-04,Bovada,125,-155,1
3b536afcc9098925,20e403a1acfef130,2017-03-04,Bovada,-700,450,0
42ad1437a1280294,20e403a1acfef130,2017-03-04,Bovada,-170,140,1
c79b862be039d9f0,20e403a1acfef130,2017-03-04,Bovada,-150,120,1
54f9e3e1fad7a589,20e403a1acfef130,2017-03-04,Bovada,110,-140,0
e3ca9462ad0d7685,20e403a1acfef130,2017-03-04,Bovada,-265,205,0
7ac4b9823b1e139b,20e403a1acfef130,2017-03-04,Bovada,-365,275,0
dfc8c5161ea0ccb5,20e403a1acfef130,2017-03-04,Bovada,-115,-115,1
0ace7e71f5d66bc9,47b7e4e60813b7b2,2017-03-11,Bovada,250,-325,0
ebb94e00d6431e7a,47b7e4e60813b7b2,2017-03-11,Bovada,105,-135,0
12740c6b17779fe9,47b7e4e60813b7b2,2017-03-11,Bovada,-300,230,1
dc169cc01d675125,47b7e4e60813b7b2,2017-03-11,Bovada,-235,185,0
f4f5049e789b7716,47b7e4e60813b7b2,2017-03-11,Bovada,-200,160,1
76602c3658d70273,47b7e4e60813b7b2,2017-03-11,Bovada,145,-175,0
24f156a78bd32026,47b7e4e60813b7b2,2017-03-11,Bovada,175,-225,1
b03dd50785e761a0,47b7e4e60813b7b2,2017-03-11,Bovada,-120,-110,
74d4e37b97866514,47b7e4e60813b7b2,2017-03-11,Bovada,110,-140,0
b47e4f0982938e5b,47b7e4e60813b7b2,2017-03-11,Bovada,-170,140,1
34524408fb4d6752,47b7e4e60813b7b2,2017-03-11,Bovada,-170,140,1
58450502a93454c8,47b7e4e60813b7b2,2017-03-11,Bovada,300,-400,
0bb419537705fb04,c0231720fe516994,2017-03-18,BetOnline,-375,310,1
794b63b4c1e1e789,c0231720fe516994,2017-03-18,Bovada,135,-165,1
eee7f546c126ee8b,c0231720fe516994,2017-03-18,Bovada,-185,150,1
88ce808e4e604180,c0231720fe516994,2017-03-18,Bovada,-105,-125,1
f99ee57f75b20b69,c0231720fe516994,2017-03-18,Bovada,170,-210,0
c365a488a8de3c89,c0231720fe516994,2017-03-18,Bovada,-210,170,0
55f727e00553035d,c0231720fe516994,2017-03-18,Bovada,-600,400,1
7ec86f2af631344f,c0231720fe516994,2017-03-18,Bovada,-115,-115,1
1e5c66d12761d4fe,c0231720fe516994,2017-03-18,BetOnline,-149,129,0
7e6f91cbf8e93210,c0231720fe516994,2017-03-18,Bovada,-305,235,1
00be3852000f8fe9,c0231720fe516994,2017-03-18,Bovada,-175,145,1
c4da9ec26a924a7d,e7bfdb5e0112891e,2017-04-08,Bovada,425,-650,0
2464a75ee75dbf2f,e7bfdb5e0112891e,2017-04-08,Bovada,-145,115,1
97b7638c592a95a9,e7bfdb5e0112891e,2017-04-08,Bovada,-200,160,0
8b4eeaa048361ba3,e7bfdb5e0112891e,2017-04-08,Bovada,-280,220,1
e7ad1c3a763c7cae,e7bfdb5e0112891e,2017-04-08,Bovada,-115,-115,1
ddb015ac5c067aa9,e7bfdb5e0112891e,2017-04-08,Bovada,-260,200,1
b2c1f9bdd5d3073d,e7bfdb5e0112891e,2017-04-08,Bovada,-300,230,1
