bout_id,event_id,date,sportsbook,red_odds,blue_odds,red_win
c1356395d6b055d7,46effbd1135423c5,2017-01-15,Bovada,-110,-120,0.0
ae803440d778a12b,46effbd1135423c5,2017-01-15,Bovada,190,-240,0.0
3f7684492c9df05e,46effbd1135423c5,2017-01-15,Bovada,-160,130,1.0
8156479490877d08,46effbd1135423c5,2017-01-15,Bovada,-170,140,1.0
1a81573425c585fb,46effbd1135423c5,2017-01-15,Bovada,-145,115,1.0
b60bbec8ec98941b,46effbd1135423c5,2017-01-15,Bovada,-170,140,0.0
7685701c382cd49a,46effbd1135423c5,2017-01-15,Bovada,125,-155,0.0
8edb831924d69dd9,46effbd1135423c5,2017-01-15,Bovada,-140,110,0.0
00720c46f864fe03,46effbd1135423c5,2017-01-15,Bovada,-135,105,1.0
5742025a09190829,46effbd1135423c5,2017-01-15,Bovada,-340,260,1.0
6eb382e2c51fc4f5,4512e46543b960ad,2017-01-28,Bovada,105,-135,1.0
481aef2d2802ec68,4512e46543b960ad,2017-01-28,Bovada,-110,-120,1.0
637f561cd731fb44,4512e46543b960ad,2017-01-28,Bovada,-150,120,1.0
3c8eb8ad5e98876f,4512e46543b960ad,2017-01-28,Bovada,120,-150,0.0
43682a646b9b956f,4512e46543b960ad,2017-01-28,Bovada,120,-150,0.0
a45596cda51a1816,4512e46543b960ad,2017-01-28,Bovada,290,-380,0.0
b91756d955e14d2e,4512e46543b960ad,2017-01-28,Bovada,-190,155,0.0
f3bb58f485dc2008,6a8a06b542e1516d,2017-02-04,Bovada,145,-175,0.0
48e51d4e7172048e,6a8a06b542e1516d,2017-02-04,Bovada,-110,-120,
478221ad98336565,6a8a06b542e1516d,2017-02-04,Bovada,-325,250,1.0
74256b4e8d0b1de6,6a8a06b542e1516d,2017-02-04,Bovada,285,-375,
94cecf4bd29793e1,6a8a06b542e1516d,2017-02-04,Bovada,110,-140,0.0
8c220d4c96895a98,6a8a06b542e1516d,2017-02-04,Bovada,-200,160,0.0
1f9ac1648b8e501e,865aa315ea62c511,2017-02-11,Bovada,-310,240,1.0
c4174e22cb22622c,865aa315ea62c511,2017-02-11,Bovada,-185,150,1.0
ddd9e64d97b095f9,865aa315ea62c511,2017-02-11,Bovada,265,-350,0.0
febea68b205f6273,865aa315ea62c511,2017-02-11,Bovada,-600,400,1.0
f680e6ebe3bdfe3e,865aa315ea62c511,2017-02-11,BetOnline,-148,128,0.0
8b8f9485214f9e48,865aa315ea62c511,2017-02-11,Bovada,-450,325,1.0
244357514dd89bd6,865aa315ea62c511,2017-02-11,Bovada,-225,175,1.0
ced241b99eab5f22,865aa315ea62c511,2017-02-11,Bovada,-600,400,1.0
d29750cee389a0b9,865aa315ea62c511,2017-02-11,Bovada,-110,-120,1.0
c1d86f1e6d41cd03,b4ad3a06ee4d660c,2017-02-19,Bovada,-300,230,1.0
e59aabdfba9d6c45,b4ad3a06ee4d660c,2017-02-19,Bovada,135,-165,0.0
1db121859d2fcda8,b4ad3a06ee4d660c,2017-02-19,Bovada,245,-315,0.0
f00ac5af033f44b4,b4ad3a06ee4d660c,2017-02-19,Bovada,-360,270,1.0
16e28dd989ee1dea,b4ad3a06ee4d660c,2017-02-19,Bovada,-115,-115,1.0
a5d24caed8afbeef,b4ad3a06ee4d660c,2017-02-19,Bovada,100,-130,1.0
ab14dbff9d2ae41a,b4ad3a06ee4d660c,2017-02-19,Bovada,-110,-120,1.0
6db4d7827082d5b9,20e403a1acfef130,2017-03-04,Bovada,-140,110,1.0
4804776154430aad,20e403a1acfef130,2017-03-04,Bovada,125,-155,1.0
