event_id,description,is_not,betsite,odds
1013,Exactly eight fights end in KO/TKO,0,5Dimes,9150
1013,Exactly eight fights end in KO/TKO,0,SportBet,9150
1013,Exactly eight fights end in KO/TKO,1,5Dimes,-25600
1013,Exactly eight fights end in KO/TKO,1,SportBet,-25600
1013,Exactly eight fights go the distance,0,5Dimes,568
1013,Exactly eight fights go the distance,0,SportBet,568
1013,Exactly eight fights go the distance,1,5Dimes,-835
1013,Exactly eight fights go the distance,1,SportBet,-835
1013,Exactly eleven fights go the distance,0,5Dimes,18500
1013,Exactly eleven fights go the distance,0,SportBet,18500
1013,Exactly eleven fights go the distance,1,5Dimes,-55500
1013,Exactly eleven fights go the distance,1,SportBet,-55500
1013,Exactly five fights end in KO/TKO,0,5Dimes,442
1013,Exactly five fights end in KO/TKO,0,SportBet,442
1013,Exactly five fights end in KO/TKO,1,5Dimes,-583
1013,Exactly five fights end in KO/TKO,1,SportBet,-583
1013,Exactly five fights end in submission,0,5Dimes,2925
1013,Exactly five fights end in submission,0,SportBet,2925
1013,Exactly five fights end in submission,1,5Dimes,-6700
1013,Exactly five fights end in submission,1,SportBet,-6700
1013,Exactly five fights go the distance,0,5Dimes,373
1013,Exactly five fights go the distance,0,SportBet,373
1013,Exactly five fights go the distance,1,5Dimes,-468
1013,Exactly five fights go the distance,1,SportBet,-468
1013,Exactly four fights end in KO/TKO,0,5Dimes,281
1013,Exactly four fights end in KO/TKO,0,SportBet,281
1013,Exactly four fights end in KO/TKO,1,5Dimes,-341
1013,Exactly four fights end in KO/TKO,1,SportBet,-341
1013,Exactly four fights end in submission,0,5Dimes,981
1013,Exactly four fights end in submission,0,SportBet,981
1013,Exactly four fights end in submission,1,5Dimes,-1481
1013,Exactly four fights end in submission,1,SportBet,-1481
1013,Exactly four fights go the distance,0,5Dimes,613
1013,Exactly four fights go the distance,0,SportBet,613
1013,Exactly four fights go the distance,1,5Dimes,-925
1013,Exactly four fights go the distance,1,SportBet,-925
1013,Exactly nine fights go the distance,0,5Dimes,1304
1013,Exactly nine fights go the distance,0,SportBet,1304
1013,Exactly nine fights go the distance,1,5Dimes,-2170
1013,Exactly nine fights go the distance,1,SportBet,-2170
1013,Exactly one fight ends in KO/TKO,0,5Dimes,1160
1013,Exactly one fight ends in KO/TKO,0,SportBet,1160
1013,Exactly one fight ends in KO/TKO,1,5Dimes,-1820
1013,Exactly one fight ends in KO/TKO,1,SportBet,-1820
