id,name,nickname
1,Sam Stout,Hands Of Stone
2,Spencer Fisher,The King
3,Jon Fitch,
4,Roan Carneiro,Jucão
5,Drew McFedries,The Massacre
6,Jordan Radev,
7,Forrest Petz,The Meat Cleaver
8,Luigi Fioravanti,The Italian Tank
9,Pete Spratt,Secret Weapon
10,Tamdan McCrory,The Barn Cat
11,Gleison Tibau,
12,Jeff Cox,
13,Chad Reiner,The Grinder
14,Steve Bruno,Hollywood
15,Luke Caudillo,Lil' Hulk
16,Nate Mohr,
17,Rich Franklin,Ace
18,Yushin Okami,Thunder
19,Forrest Griffin,
20,Hector Ramirez,Sick Dog
21,Jason MacDonald,The Athlete
22,Rory Singer,Outburst
23,Clay Guida,The Carpenter
24,Tyson Griffin,
25,Jason Tan,
26,Marcus Davis,The Irish Hand Grenade
27,Colin Robinson,Big C
28,Eddie Sanchez,The Manic Hispanic
29,Ed Herman,Short Fuse
30,Scott Smith,Hands of Steel
31,Dustin Hazelett,McLovin
32,Steven Lynch,
33,Frank Shamrock,The Legend
34,Phil Baroni,The New York Badass
35,BJ Penn,The Prodigy
37,Jens Pulver,Little Evil
38,Anderson Silva,The Spider
39,Nate Marquardt,The Great
40,Hermes França,
41,Sean Sherk,The Muscle Shark
42,Rashad Evans,Suga
43,Tito Ortiz,The Huntington Beach Bad Boy
44,Alvin Robinson,Kid
45,Kenny Florian,KenFlo
46,Antônio Rodrigo Nogueira,Minotauro
47,Heath Herring,The Texas Crazy Horse
48,Mike Nickels,Big
49,Stephan Bonnar,The American Psycho
50,Diego Saraiva,The Octopus
51,Jorge Gurgel,JG
52,Chris Lytle,Lights Out
53,Drew Fickett,The Master
54,Frankie Edgar,The Answer
55,Mark Bocek,
56,Dan Henderson,Hendo
57,Quinton Jackson,Rampage
58,Cheick Kongo,The Darkness
59,Mirko Filipović,Cro Cop
60,Matt Hamill,The Hammer
61,Michael Bisping,The Count
62,Manny Gamburyan,The Anvil
63,Nate Diaz,
64,Douglas Evans,
65,Roger Huerta,El Matador
66,Floyd Sword,
67,Thales Leites,
68,Brandon Melendez,The Murderer
69,Joe Lauzon,J-Lau
70,Andy Wang,
71,Cole Miller,Magrinho
72,Gray Maynard,The Bully
73,Rob Emerson,The Saint
74,Allen Berubie,Monstah
75,Leonard Garcia,Bad Boy
76,Brian Geraghty,The Duke
77,Matt Wiman,Handsome
78,Gabriel Gonzaga,Napão
79,Randy Couture,The Natural
80,Georges St-Pierre,Rush
81,Josh Koscheck,Kos
82,Joe Stevenson,Daddy
83,Kurt Pellegrino,Batman
84,Jason Gilliam,
85,Matt Hughes,
86,Matt Serra,The Terror
87,David Abbott,Tank
88,Kimbo Slice,
89,Branden Lee Hinkle,The Iron Lion
91,Eddie Alvarez,The Underground King
97,Trevor Prangley,
98,Yuki Kondo,Yukisora
99,Jorge Masvidal,Gamebred
100,Yves Edwards,Thugjitsu Master
102,Nick Agallar,
105,Amar Suloev,
106,Chael Sonnen,
109,Diego Sanchez,Nightmare
110,Maurício Rua,Shogun
112,Chris Leben,The Crippler
113,Mike Swick,Quick
114,Chuck Liddell,The Iceman
115,Wanderlei Silva,The Axe Murderer
116,Din Thomas,Dinyero
117,Kuniyoshi Hironaka,
118,Thiago Alves,Pitbull
119,Keith Jardine,The Dean of Mean
120,Kendall Grove,Da Spyder
121,Patrick Cote,The Predator
122,Antoni Hardonk,
123,Frank Mir,
124,Marcus Aurelio,Maximus
125,David Heath,The Headhunter
126,Renato Sobral,Babalu
127,Alberto Crane,
128,Ryan Jensen,
129,Travis Lutter,The Serial Killer
130,Dennis Siver,
131,Naoyuki Kotani,
132,Alessio Sakara,Legionarius
133,Houston Alexander,The Assassin
134,Paul Taylor,Relentless
135,Anthony Johnson,Rumble
136,Jess Liaudin,Joker
137,Jonathan Goulet,The Road Warrior
138,Terry Martin,Dangerous
139,Thiago Tavares,
140,Jason Lambert,The Punisher
141,Wilson Gouveia,
142,Brock Larson,
143,Carlos Condit,The Natural Born Killer
144,Joe Doerksen,El Dirte
146,Jeff Curran,The Big Frog
148,Jamie Varner,C-4
152,Antonio Banuelos,
155,Logan Clark,The Pink Pounder
157,Tiki Ghosn,
159,Steve Cantwell,The Robot
160,Kazuhiro Nakamura,Kaz
161,Lyoto Machida,The Dragon
162,Michihiro Omigawa,Michi
163,Thiago Silva,
164,Tomasz Drwal,Gorilla
165,Alan Belcher,The Talent
166,Kalib Starnes,
167,Júnior Assunção,
168,Joe Veres,Mighty Joe
169,Edilberto de Oliveira,Crocotá
170,Luke Cummo,
171,Nate Quarry,Rock
172,Pete Sell,Drago
173,Brandon Vera,The Truth
174,Tim Sylvia,The Maine-iac
175,Jeff Monson,The Snowman
176,Pedro Rizzo,The Rock
177,Jeremy Horn,Gumby
178,Jorge Santiago,The Sandman
179,Carlo Prater,Neo
180,Keith Wisniewski,The Polish Connection
182,Ron Waterman,H2O
183,Cristiano Marcello,
186,Alex Andrade,El Toro
189,Anthony Njokuani,The Assassin
193,Dennis Hallman,Superman
194,Ricardo Almeida,Cachorrão
195,Terry Etim,
196,Richard Crunkilton,Cleat
199,Rani Yahya,
200,Brian Stann,All American
202,John Alessio,The Natural
207,Jesse Forbes,Kid Hercules
208,Christian Wellisch,The Hungarian Nightmare
209,Justin McCully,The Insane One
210,Jeremy Stephens,Lil' Heathen
211,Josh Burkman,The People's Warrior
212,Eric Schafer,Red
213,Demian Maia,
214,Marvin Eastman,The Beastman
215,Jason Black,The Black Legion
216,Matt Grice,The Real One
217,Anthony Torres,The Crush
219,Miguel Torres,
220,Donald Cerrone,Cowboy
224,Ian McCall,Uncle Creepy
227,Robbie Lawler,Ruthless
229,Nick Diaz,
231,Riki Fukuda,
232,Jake Shields,
233,Renato Verissimo,Charuto
235,Tonya Evinger,Triple Threat
241,Scott Junk,Punk Haole
