id,event_id,bout_order,fighter_1_id,fighter_2_id
2108,227,1,417,592
2109,227,2,720,841
2118,227,3,424,584
2117,227,4,382,176
2116,227,5,81,842
2115,227,6,189,575
2107,227,7,735,229
2114,227,8,381,172
2113,227,9,353,283
2112,227,10,365,131
2111,227,11,187,318
2110,227,12,223,100
1629,173,1,746,964
1628,173,2,840,963
1627,173,3,574,734
1626,173,4,286,890
1625,173,5,2,111
1623,173,6,323,123
1624,173,7,755,418
1622,173,8,252,645
1621,173,9,354,860
1620,173,10,6,962
1619,173,11,186,849
1521,151,1,493,871
1520,151,2,489,358
1519,151,3,4,915
1518,151,4,428,914
1517,151,5,325,874
1516,151,6,733,302
1515,151,7,227,913
1514,151,8,373,831
1513,151,9,484,171
1512,151,10,288,689
1511,151,11,132,195
1510,151,12,416,465
1509,151,13,468,7
1508,150,1,119,687
1507,150,2,603,912
1506,150,3,295,911
1505,150,4,469,106
1504,150,5,440,764
1503,150,6,48,297
1502,150,7,473,521
1501,150,8,188,122
1500,150,9,910,392
1499,150,10,557,766
1498,150,11,129,44
1497,150,12,501,319
1491,147,1,763,853
1490,147,2,33,901
1489,147,3,196,627
1488,147,4,291,37
1487,147,5,597,368
1486,147,6,718,543
1485,147,7,166,516
1484,147,8,170,900
1482,147,9,163,686
1483,147,10,873,583
1481,147,11,372,322
1480,147,12,43,581
1479,146,1,432,872
1478,146,2,386,899
1477,146,3,741,850
1476,146,4,898,258
1475,146,5,349,355
1474,146,6,589,279
1473,146,7,197,843
1472,146,8,431,867
1471,146,9,306,168
1470,146,10,130,354
1469,146,11,607,251
1468,145,1,621,184
1467,145,2,884,405
1466,145,3,76,828
1465,145,4,136,897
1464,145,5,226,731
1462,145,6,551,838
1461,145,7,73,221
1460,145,8,343,281
1459,145,9,725,896
1458,145,10,74,120
1457,145,11,277,467
1456,144,1,463,895
1455,144,2,760,894
1454,144,3,362,844
1453,144,4,146,34
1452,144,5,121,91
1451,144,6,611,839
1450,144,7,244,176
1449,144,8,382,385
1448,144,9,395,327
1447,144,10,97,771
1446,144,11,523,45
1445,144,12,425,138
1444,143,1,518,893
1443,143,2,485,892
1442,143,3,520,891
1441,143,4,3,874
1440,143,5,407,299
1439,143,6,369,890
1438,143,7,14,645
1437,143,8,4,865
1436,143,9,282,287
1435,143,10,324,294
1434,143,11,252,155
1433,143,12,522,889
1432,142,1,89,575
1431,142,2,2,754
1430,142,3,548,298
1429,142,4,289,786
1428,142,5,746,888
1427,142,6,220,297
1426,142,7,796,77
1425,142,8,320,280
1424,142,9,228,224
1423,142,10,353,473
1422,142,11,103,325
1421,142,12,101,133
1420,142,13,849,1
1419,141,1,578,887
1418,141,2,686,886
1417,141,3,172,441
1416,141,4,296,495
1415,141,5,16,885
1414,141,6,192,785
1413,141,7,421,658
1412,141,8,669,440
1411,141,9,46,884
1410,141,10,132,188
1409,141,11,483,883
1408,140,1,721,882
1407,140,2,9,881
1406,140,3,10,262
1405,140,4,78,729
1404,140,5,445,880
1403,140,6,312,194
1402,140,7,227,143
1401,140,8,383,706
1400,140,9,494,879
1399,140,10,381,390
1398,140,11,553,318
1397,140,12,223,99
1396,139,1,235,878
1395,139,2,338,877
1394,139,3,162,689
1393,139,4,493,830
1392,139,5,377,597
1391,139,6,606,876
1390,139,7,288,722
1389,139,8,514,373
1388,139,9,81,489
1387,139,10,416,634
1386,139,11,557,253
1385,138,1,401,875
1384,138,2,500,741
1383,138,3,302,758
1382,138,4,429,783
1381,138,5,158,152
1380,138,6,295,21
1379,138,7,490,825
1378,138,8,189,695
1377,138,9,469,755
1376,138,10,735,225
1375,138,11,102,135
1374,138,12,157,573
1373,138,13,186,248
1372,137,1,512,150
1371,137,2,358,874
1370,137,3,486,184
1369,137,4,549,291
1368,137,5,718,424
1367,137,6,125,621
1366,137,7,428,631
1365,137,8,873,646
1364,137,9,472,163
1363,137,10,589,363
1362,136,1,193,872
1361,136,2,367,871
1360,136,3,105,831
1359,136,4,870,336
1358,136,5,122,869
1357,136,6,54,430
1356,136,7,174,191
1355,136,8,281,156
1354,136,9,471,539
1353,136,10,136,197
1352,136,11,100,657
1351,136,12,187,354
1350,136,13,501,129
1349,135,1,443,868
1348,135,2,290,545
1347,135,3,298,261
1346,135,4,327,867
1345,135,5,87,551
1344,135,6,9,514
1343,135,7,4,752
1342,135,8,256,866
1341,135,9,226,452
1340,135,10,400,306
1338,135,11,155,343
1336,116,1,145,832
1337,116,2,405,299
1335,116,3,123,91
1334,116,4,229,465
1333,116,5,369,362
1332,116,6,48,746
1331,116,7,104,603
1330,116,8,75,349
1329,116,9,385,764
1328,116,10,323,382
1327,116,11,417,781
1326,116,12,431,395
1325,116,13,725,288
1324,115,1,82,865
1323,115,2,337,121
1322,115,3,307,760
1321,115,4,200,782
1320,115,5,255,368
1319,115,6,119,166
1318,115,7,364,330
1317,115,8,296,733
1316,115,9,583,168
1315,115,10,324,170
1314,115,11,468,251
1236,114,1,111,754
1235,114,2,113,784
1234,114,3,686,775
1233,114,4,658,850
1232,114,5,521,498
1231,114,6,282,146
1230,114,7,188,195
1229,114,8,606,312
1228,114,9,279,341
1227,114,10,97,523
1226,114,11,607,849
1225,114,12,1280,98
1224,113,1,477,357
1223,113,2,235,144
1222,113,3,79,11
1221,113,4,165,520
1220,113,5,254,540
1219,113,6,108,847
1218,113,7,555,846
1217,113,8,772,821
1216,113,9,388,436
1215,113,10,131,392
1214,112,1,533,774
1213,112,2,402,719
1212,112,3,476,18
1211,112,4,33,845
1210,112,5,421,72
1209,112,6,554,844
1208,112,7,387,16
1207,112,8,10,843
1206,112,9,253,14
1205,112,10,1,766
1204,112,11,44,319
1203,111,1,479,842
1202,111,2,106,841
1201,111,3,355,840
1200,111,4,313,547
1199,111,5,75,755
1198,111,6,76,244
1197,111,7,364,669
1196,111,8,280,839
1195,111,9,381,484
1194,111,10,103,796
1193,111,11,425,81
1192,110,1,391,687
1191,110,2,322,771
1190,110,3,228,800
1189,110,4,221,548
1188,110,5,320,227
1187,110,6,224,838
1186,110,7,383,289
1185,110,8,418,717
1184,110,9,101,553
1183,110,10,339,285
1182,110,11,467,277
1181,109,1,537,173
1180,109,2,152,446
1179,109,3,265,451
1178,109,4,481,837
1177,109,5,376,836
1176,109,6,297,835
1175,109,7,729,834
1174,109,8,300,492
1173,109,9,508,243
1172,109,10,707,445
1171,108,1,356,38
1170,108,2,773,150
1169,108,3,19,479
1168,108,4,34,832
1167,108,5,162,83
1166,108,6,575,495
1165,108,7,298,255
1164,108,8,138,82
1163,108,9,417,145
1162,108,10,424,769
1161,108,11,192,229
1160,108,12,7,225
1158,107,1,262,11
1157,107,2,419,164
1156,107,3,121,831
1155,107,4,584,830
1159,107,5,78,463
1154,107,6,573,432
1153,107,7,500,113
1152,107,8,119,172
1151,107,9,188,337
1150,107,10,130,136
1149,107,11,223,365
1148,106,1,299,653
1147,106,2,161,371
1146,106,3,387,293
1145,106,4,9,303
1144,106,5,423,287
1143,106,6,358,531
1142,106,7,512,429
1141,106,8,106,143
1140,106,9,606,4
1139,106,10,133,318
1138,106,11,522,47
1137,106,12,157,103
1136,105,1,702,329
1135,105,2,291,257
1134,105,3,597,540
1133,105,4,325,490
1132,105,5,373,758
1131,105,6,196,338
1130,105,7,124,829
1129,105,8,120,261
1128,105,9,256,518
1127,105,10,163,728
1126,105,11,416,735
1125,105,12,155,250
1124,104,1,724,535
1123,104,2,706,828
1122,104,3,313,477
1121,104,4,422,328
1120,104,5,718,654
1119,104,6,431,54
1118,104,7,295,440
1117,104,8,473,336
1116,104,9,523,363
1115,104,10,187,159
1114,104,11,339,286
1113,127,1,453,24
1112,127,2,742,827
1111,127,3,543,72
1110,127,4,450,731
1109,127,5,441,825
1108,127,6,135,197
1107,127,7,238,739
1105,127,8,472,525
991,99,1,549,740
990,99,2,27,443
989,99,3,87,201
988,99,4,541,787
987,99,5,524,200
986,99,6,77,271
985,99,7,320,611
984,99,8,248,400
983,98,1,545,786
982,98,2,331,785
981,98,3,476,784
980,98,4,231,783
979,98,5,533,235
978,98,6,48,290
977,98,7,327,108
976,98,8,46,521
975,98,9,2,262
974,98,10,174,589
973,98,11,189,657
972,98,12,279,483
971,98,13,98,97
970,97,1,368,510
969,97,2,542,485
968,97,3,258,782
967,97,4,489,547
966,97,5,294,781
965,97,6,166,746
964,97,7,302,265
963,97,8,428,111
962,97,9,372,226
961,97,10,156,324
960,97,11,251,1
959,96,1,310,269
958,96,2,282,34
957,96,3,79,401
956,96,4,575,356
955,96,5,364,228
954,96,6,390,508
953,96,7,354,581
951,95,1,158,39
950,95,2,342,767
949,95,3,434,20
948,95,4,780,332
947,95,5,603,152
946,95,6,306,236
945,95,7,430,53
944,95,8,122,355
943,95,9,383,254
942,95,10,433,435
941,95,11,360,413
940,95,12,426,438
952,95,13,725,6
939,94,1,347,743
938,94,2,268,311
937,94,3,82,305
936,94,4,283,745
935,94,5,33,23
934,94,6,118,687
933,94,7,382,755
932,94,8,284,405
931,94,9,469,132
930,94,10,417,192
929,94,11,188,76
928,94,12,285,395
927,94,13,43,101
926,93,1,270,502
925,93,2,244,38
924,93,3,554,555
923,93,4,572,83
922,93,5,81,312
921,93,6,297,367
920,93,7,418,123
919,93,8,7,281
918,93,9,249,252
917,93,10,186,557
915,92,1,257,775
914,92,2,760,774
913,92,3,484,548
912,92,4,659,573
911,92,5,578,486
910,92,6,193,539
909,92,7,146,288
908,92,8,358,19
907,92,9,10,348
906,92,10,299,176
905,92,11,121,706
904,92,12,225,229
903,92,13,353,163
902,91,1,454,149
901,91,2,255,736
900,91,3,773,720
899,91,4,386,9
898,91,5,772,78
897,91,6,105,376
896,91,7,385,373
895,91,8,349,143
894,91,9,421,104
893,91,10,97,45
892,91,11,187,251
891,91,12,157,424
890,90,1,654,114
889,90,2,167,292
888,90,3,496,42
887,90,4,377,453
886,90,5,653,733
885,90,6,162,724
884,90,7,161,196
883,90,8,391,166
882,90,9,363,393
881,90,10,5,177
880,90,11,160,179
879,90,12,130,428
878,89,1,85,267
877,89,2,540,261
876,89,3,406,412
875,89,4,325,543
874,89,5,721,402
873,89,6,90,144
872,89,7,509,165
871,89,8,331,87
870,89,9,156,735
869,89,10,250,343
868,88,1,159,88
867,88,2,452,314
866,88,3,547,531
865,88,4,770,771
864,88,5,113,463
863,88,6,574,658
862,88,7,514,91
861,88,8,132,686
860,88,9,471,138
859,88,10,657,8
858,88,11,223,323
857,87,1,409,334
856,87,2,730,741
855,87,3,451,448
854,87,4,432,769
853,87,5,437,577
852,87,6,300,170
851,87,7,2,306
850,87,8,470,102
849,87,9,253,583
848,87,10,523,279
847,87,11,425,606
846,86,1,111,236
845,86,2,442,153
844,86,3,299,309
843,86,4,20,767
842,86,5,18,447
841,86,6,12,732
840,86,7,440,164
839,86,8,120,441
838,86,9,79,10
837,86,10,191,766
835,85,1,80,110
834,85,2,305,233
833,85,3,765,293
832,85,4,328,734
831,85,5,384,764
830,85,6,147,315
829,85,7,387,763
828,85,8,47,171
836,85,9,324,551
827,85,10,46,256
826,85,11,73,119
825,84,1,23,762
824,84,2,761,603
823,84,3,719,465
822,84,4,258,291
821,84,5,103,500
820,84,6,537,25
819,84,7,224,294
818,84,8,339,431
817,84,9,467,155
815,83,1,546,246
813,83,2,301,759
812,83,3,337,96
811,83,4,173,24
810,83,5,303,758
809,83,6,82,476
814,83,7,347,15
808,83,8,115,35
807,83,9,112,237
806,83,10,74,757
805,82,1,139,756
804,82,2,535,538
803,82,3,422,584
802,82,4,53,555
801,82,5,227,755
800,82,6,493,118
799,82,7,4,479
816,82,8,124,760
798,82,9,521,375
797,82,10,76,195
796,82,11,188,418
795,81,1,232,477
794,81,2,262,754
793,81,3,34,722
792,81,4,234,753
791,81,5,271,752
790,81,6,541,420
789,81,7,226,602
788,81,8,3,77
787,81,9,524,578
