id,event_id,bout_order,red_fighter_id,blue_fighter_id,winner_id,card_segment
158192,400255729,1,2335738,2504081,2335738,Main Card
158194,400255729,2,2335728,2504082,2504082,Main Card
158196,400255729,3,2335697,2335638,2335697,Main Card
158198,400255729,4,2335653,2335742,2335653,Main Card
158193,400255729,5,2335738,2504082,2335738,Main Card
158195,400255729,6,2335697,2335653,2335697,Main Card
158199,400255729,7,2335757,2335635,2335635,Main Card
158197,400255729,8,2335738,2335697,2335697,Main Card
160801,400255726,1,2951336,2951197,2951336,Main Card
172209,400255726,2,2335742,2951510,2335742,Main Card
159663,400255726,3,2951372,2951297,2951372,Main Card
160803,400255726,4,2951244,2951305,2951244,Main Card
172210,400255726,5,2951505,2951304,2951505,Main Card
160804,400255726,6,2559188,2951295,2559188,Main Card
159665,400255726,7,2335635,2951141,2335635,Main Card
159666,400255726,8,2335697,2559187,2335697,Main Card
172211,400255726,9,2335742,2951336,2335742,Main Card
160802,400255726,10,2951372,2951213,2951372,Main Card
172212,400255726,11,2559188,2951505,2559188,Main Card
162367,400255726,12,2335697,2335635,2335697,Main Card
172213,400255726,13,2335742,2951372,2335742,Main Card
162366,400255726,14,2335697,2559188,2335697,Main Card
159664,400255726,15,2335697,2335742,2335697,Main Card
160799,400255721,1,2559190,2951123,2559190,Main Card
265748,400255721,2,2335653,2557851,2335653,Main Card
265747,400255721,3,2951256,2951358,2951256,Main Card
159667,400255721,4,2335697,2557318,2335697,Main Card
159066,400255721,5,2504615,2335653,2335653,Main Card
172189,400255721,6,2951256,2951265,2951265,Main Card
160794,400255719,1,2499919,2504082,2499919,Main Card
160795,400255719,2,2951151,2951199,2951151,Main Card
160796,400255719,3,2335646,2952788,2335646,Main Card
159670,400255719,4,2335697,2559189,2335697,Main Card
159669,400255719,5,2559190,2951453,2559190,Main Card
160797,400255719,6,2951265,2952790,2951265,Main Card
172169,400255719,7,2500342,2335726,2335726,Main Card
162369,400255719,8,2335697,2559190,2335697,Main Card
160798,400255719,9,2335726,2951151,2335726,Main Card
159668,400255719,10,2335697,2335726,2335697,Main Card
172149,400255714,1,2951146,2951163,2951146,Main Card
160789,400255714,2,2335646,2951206,2335646,Main Card
160790,400255714,3,2499916,2951135,2499916,Main Card
160791,400255714,4,2488903,2951179,2488903,Main Card
160792,400255714,5,2501400,2951495,2501400,Main Card
172150,400255714,6,2335726,2499919,2335726,Main Card
160788,400255714,7,2951146,2488903,2951146,Main Card
160793,400255714,8,2335726,2501400,2335726,Main Card
160131,400255714,9,2335653,2335697,,Main Card
172151,400255714,10,2335726,2951146,2335726,Main Card
162166,400255712,1,2951471,2951323,2951471,Main Card
160784,400255712,2,2500342,2951230,2500342,Main Card
172129,400255712,3,2354050,2952787,2354050,Main Card
160785,400255712,4,2951121,2951124,2951121,Main Card
