id,name,date,hour_utc,venue_id,event_order
400255729,UFC 1: The Beginning,1993-11-13,2,2549,1
400255726,UFC 2: No Way Out,1994-03-12,2,2546,2
400255721,UFC 3: The American Dream,1994-09-10,1,2814,3
400255719,UFC 4: Revenge of the Warriors,1994-12-17,2,3447,4
400255714,UFC 5: Return of the Beast,1995-04-08,1,241,5
400255712,UFC 6: Clash of the Titans,1995-07-15,1,3048,6
400255710,UFC 7: The Brawl in Buffalo,1995-09-09,1,2856,7
400255707,UFC: Ultimate Ultimate 95,1995-12-17,2,2546,8
400255705,UFC 8: David vs. Goliath,1996-02-17,2,3313,9
400255701,UFC 9: Motor City Madness,1996-05-18,1,2634,10
400255697,UFC 10: The Tournament,1996-07-13,1,2467,11
400255694,UFC 11: The Proving Ground,1996-09-21,1,2715,12
400255688,UFC: Ultimate Ultimate 96,1996-12-08,2,2467,13
400255685,UFC 12:  Judgement Day,1997-02-08,2,2470,14
400255678,UFC 13: The Ultimate Force,1997-05-31,1,2715,15
400255669,UFC 14:  Showdown,1997-07-28,1,2469,16
400255653,UFC 15: Collision Course,1997-10-18,1,2806,17
400255645,UFC - Ultimate Japan,1997-12-22,2,2251,18
400255637,UFC 16: Battle in the Bayou,1998-03-14,2,2627,19
400255629,UFC 17: Redemption,1998-05-16,1,326,20
400255609,UFC 17.5: Ultimate Brazil,1998-10-17,1,3385,21
400255591,UFC 18: The Road to the Heavyweight Title,1999-01-09,2,2627,22
400255576,UFC 19: Ultimate Young Guns,1999-03-06,2,2806,23
400255552,UFC 20: Battle for the Gold,1999-05-08,1,2469,24
400255529,UFC 21: Return of the Champions,1999-07-17,1,2740,25
400255511,UFC 22: There Can Be Only One Champion,1999-09-25,1,3390,26
400255493,UFC 23: Ultimate Japan 2,1999-11-20,2,2578,27
400255459,UFC 24: First Defense,2000-03-11,2,3390,28
400255445,UFC 25: Ultimate Japan 3,2000-04-15,1,2243,29
400255423,UFC 26: Ultimate Field of Dreams,2000-06-10,1,2730,30
400255377,UFC 27: Ultimate Bad Boyz,2000-09-23,1,,31
400255359,UFC 28: High Stakes,2000-11-18,2,2643,32
400255343,UFC 29: Defense of the Belts,2000-12-17,2,2580,33
400255324,UFC 30: The Battle on the Boardwalk,2001-02-24,2,2643,34
400255284,UFC 31: Locked & Loaded,2001-05-05,1,2643,35
400255263,UFC 32: Showdown in the Meadowlands,2001-06-30,1,2562,36
400255224,UFC 33: Victory in Vegas,2001-09-29,1,2233,37
400255208,UFC 34: High Voltage,2001-11-03,2,1403,38
400255174,UFC 35: Throwdown,2002-01-12,2,2160,39
400255147,UFC 36: Worlds Collide,2002-03-23,2,1403,40
400255123,UFC 37: High Impact,2002-05-11,1,2776,41
400255100,UFC 37.5: As Real As It Gets,2002-06-23,1,2843,42
400255089,UFC 38: Brawl at the Hall,2002-07-14,1,3079,43
400255053,UFC 39: The Warriors Return,2002-09-28,1,2160,44
400255022,UFC 40: Vendetta,2002-11-23,2,1403,45
400254969,UFC 41: Onslaught,2003-03-01,2,722,46
400254929,UFC 42: Sudden Impact,2003-04-26,1,3438,47
400254903,UFC 43: Meltdown,2003-06-07,1,,48
400254829,UFC 44: Undisputed,2003-09-27,1,2233,49
400254794,UFC 45: Revolution,2003-11-22,2,2160,50
400254744,UFC 46: Supernatural,2004-02-01,2,2233,51
400254696,UFC 47: It's On,2004-04-03,2,2233,52
400254626,UFC 48: Payback,2004-06-20,1,2233,53
400254578,UFC 49: Unfinished Business,2004-08-22,1,1403,54
400254525,UFC 50: The War of '04,2004-10-23,1,722,55
400254447,UFC 51: Super Saturday,2005-02-06,2,2233,56
400254386,The Ultimate Fighter 1 Finale,2005-04-10,1,1051,57
400254377,UFC 52: Couture vs. Liddell 2,2005-04-17,1,1403,58
400254327,UFC 53: Heavy Hitters,2005-06-05,1,722,59
400254263,UFC Fight Night 1,2005-08-07,1,1051,60
400254255,UFC 54: Boiling Point,2005-08-21,1,1403,61
400254204,UFC Fight Night 2,2005-10-04,1,2649,62
400254203,UFC 55: Fury,2005-10-08,1,2160,63
400254173,The Ultimate Fighter 2 Finale,2005-11-06,2,2649,64
400254160,UFC 56: Full Force,2005-11-20,2,1403,65
400254102,UFC Fight Night 3,2006-01-17,2,2649,66
400254090,UFC 57: Liddell vs. Couture 3,2006-02-05,2,2233,67
400254052,UFC 58: USA vs. Canada,2006-03-05,2,2233,68
400254010,UFC Fight Night 4,2006-04-07,1,2649,69
400253995,UFC 59: Reality Check,2006-04-16,1,1842,70
400253940,UFC 60: Hughes vs. Gracie,2006-05-28,1,1841,71
400253907,The Ultimate Fighter 3 Finale,2006-06-25,1,2649,72
400253904,UFC Fight Night 5,2006-06-29,1,2649,73
400253893,UFC 61: Bitter Rivals,2006-07-09,1,2233,74
400253844,UFC Fight Night 6,2006-08-18,1,2851,75
400253830,UFC 62: Liddell vs. Sobral,2006-08-27,1,2233,76
400253794,UFC 63: Hughes vs. Penn,2006-09-24,1,1842,77
400253768,UFC Ortiz vs. Shamrock 3: The Final Chapter,2006-10-11,1,2597,78
400253761,UFC 64: Unstoppable,2006-10-15,1,2233,79
400253716,The Ultimate Fighter 4 Finale,2006-11-12,2,2649,80
400253705,UFC 65: Bad Intentions,2006-11-19,2,2247,81
400253667,UFC Fight Night: Sanchez vs. Riggs,2006-12-14,2,2513,82
400253658,UFC 66: Liddell vs. Ortiz 2,2006-12-31,2,1403,83
400253642,UFC Fight Night: Evans vs Salmon,2007-01-26,2,2597,84
400253629,UFC 67: All or Nothing,2007-02-04,2,2233,85
400253598,UFC 68: The Uprising,2007-03-04,2,1828,86
400253549,UFC Fight Night: Stevenson vs. Guillard,2007-04-06,1,2650,87
400253544,UFC 69: Shootout,2007-04-08,1,1394,88
400253525,UFC 70: Nations Collide,2007-04-22,1,4480,89
400253468,UFC 71: Liddell vs. Jackson,2007-05-27,1,1403,90
400253440,UFC Fight Night: Stout vs. Fisher,2007-06-13,1,2597,91
400253437,UFC 72: Victory,2007-06-17,1,3329,92
400253426,The Ultimate Fighter 5 Finale,2007-06-24,1,2650,93
400253410,UFC 73: Stacked,2007-07-08,1,2247,94
400253356,UFC 74: Respect,2007-08-26,1,2233,95
400253344,UFC 75: Champion vs. Champion,2007-09-09,1,2590,96
400253331,UFC Fight Night: Thomas vs. Florian,2007-09-20,1,2650,97
400253326,UFC 76: Knockout,2007-09-23,1,1842,98
400253284,UFC 77: Hostile Territory,2007-10-21,1,1638,99
400253246,UFC 78: Validation,2007-11-18,2,1826,100
400253208,The Ultimate Fighter 6 Finale,2007-12-09,2,2650,101
400253184,UFC 79: Nemesis,2007-12-30,2,2233,102
400253172,UFC 80: Rapid Fire,2008-01-20,2,2696,103
400253169,UFC Fight Night: Swick vs Burkman,2008-01-24,2,2650,104
400253152,UFC 81: Breaking Point,2008-02-03,2,1403,105
400253127,UFC 82: Pride of a Champion,2008-03-02,2,1828,106
400253084,UFC Fight Night: Florian vs. Lauzon,2008-04-03,1,2464,107
400253059,UFC 83: Serra vs. St-Pierre 2,2008-04-20,1,1831,108
400253007,UFC 84: Ill Will,2008-05-25,1,1403,109
400252989,UFC 85: Bedlam,2008-06-08,1,2590,110
400252973,The Ultimate Fighter 7 Finale,2008-06-22,1,2650,111
400252959,UFC 86: Jackson vs. Griffin,2008-07-06,1,2233,112
400252944,UFC Fight Night: Silva vs. Irvin,2008-07-20,1,2650,113
400252922,UFC 87: Seek and Destroy,2008-08-10,1,2029,114
400252900,UFC 88: Breakthrough,2008-09-07,1,1827,115
400252886,UFC Fight Night: Diaz vs. Neer,2008-09-18,1,352,116
400252845,UFC 89: Bisping vs. Leben,2008-10-19,1,2697,117
