id,name,nickname,date_of_birth,reach_inches,height_inches,stance,team_id,nationality,fighting_style
2180412,Jan Jorgensen,The Janimal,1984-08-21,76.5,75,,2247,USA,
2216681,Zeke Tuinei-Wily,,1988-01-31,78.0,77,,61,USA,
2220951,Greg Hardy,Prince of War,1988-07-28,80.5,77,Orthodox,25,USA,Striker
2223033,Austen Lane,,1987-11-09,80.0,78,Orthodox,10960,USA,Mixed Martial Artist
2312150,Mohammed Usman,The Motor,1989-04-01,79.0,74,Orthodox,10967,Nigeria,Mixed Martial Artist
2323652,Clayton York,C-4,1990-06-08,75.5,72,,7647,USA,
2335243,Carlos Condit,The Natural Born Killer,1984-04-26,75.5,74,Orthodox,81,USA,"Brazilian Jiu-Jitsu,Striker"
2335256,Carmelo Marrero,The Fury,1981-01-26,73.0,74,Orthodox,25,,
2335298,Brock Lesnar,,1977-07-12,81.0,75,Orthodox,41,,
2335301,Frank Mir,,1979-05-24,79.0,75,Southpaw,6687,USA,Brazilian Jiu-Jitsu
2335302,Heath Herring,Texas Crazy Horse,1978-03-02,78.0,76,Orthodox,154,USA,Muay Thai
2335338,Randy Couture,The Natural,1963-06-22,75.0,74,Orthodox,61,,Greco-Roman
2335447,Anderson Silva,The Spider,1975-04-14,77.0,74,Southpaw,24,Brazil,"Muay Thai,Striker"
2335448,Patrick Cote,The Predator,1980-02-29,75.0,71,Orthodox,,,
2335449,Thales Leites,,1981-06-09,78.0,73,Orthodox,301,,
2335458,James Irvin,The Sandman,1978-09-12,75.0,74,Orthodox,,,
2335464,Chuck Liddell,Iceman,1969-12-17,76.5,74,Orthodox,805,,
2335465,Rashad Evans,Suga,1979-09-25,75.0,71,Orthodox,7933,USA,
2335467,Wanderlei Silva,The Axe Murderer,1976-07-03,74.0,71,Orthodox,381,Brazil,Striker
2335469,Keith Jardine,The Dean of Mean,1975-10-31,76.0,74,Orthodox,81,,
2335470,Quinton Jackson,Rampage,1978-06-20,73.0,73,Orthodox,101,USA,Striker
2335472,Tito Ortiz,The People's Champ,1975-01-23,74.0,75,Orthodox,427,USA,"Wrestling,Boxing"
2335474,Drew McFedries,The Massacre,1978-07-27,72.0,72,Southpaw,1067,,
2335475,Nate Marquardt,The Great,1979-04-20,74.0,72,Orthodox,1746,USA,Wrestling
2335476,Renato Sobral,Babalu,1975-07-09,75.5,72,Orthodox,121,,
2335477,Jeremy Horn,Gumby,1975-08-25,74.0,73,Orthodox,,USA,
2335480,Pete Sell,Drago,1982-08-05,75.0,71,Orthodox,,USA,
2335483,Ryan Jensen,,1977-09-20,76.0,70,Orthodox,81,,
2335484,Floyd Sword,,,,71,Orthodox,,,
2335486,Alan Belcher,The Talent,1984-04-24,75.0,74,Orthodox,1533,,
2335487,Wilson Gouveia,,1978-03-10,76.0,74,Orthodox,25,,
2335488,Ricardo Almeida,Cachorrao,1976-11-29,74.0,71,Orthodox,162,USA,Brazilian Jiu-Jitsu
2335489,Nick Catone,The Jersey Devil,1981-09-01,72.5,72,Southpaw,162,,
2335490,Tim Credeur,Crazy,1977-07-09,75.0,75,Orthodox,825,,
2335491,Martin Kampmann,Hitman,1982-04-17,72.0,72,Orthodox,61,,
2335495,Jason Day,Dooms,,72.0,72,Orthodox,,,
2335496,Joe Doerksen,El Dirte,1977-09-10,75.0,72,Orthodox,,,
2335497,Dan Henderson,Hendo,1970-08-24,74.0,71,Orthodox,282,,
2335498,Rich Franklin,Ace,1974-10-05,76.0,73,Southpaw,,,
2335513,Chris Leben,The Crippler,1980-07-21,73.0,71,Southpaw,1532,USA,
2335514,Mauricio Rua,Shogun,1981-11-25,76.0,73,Orthodox,3427,Brazil,Striker
2335515,Mark Coleman,The Hammer,1964-12-20,75.0,73,Orthodox,,,
2335516,Alistair Overeem,The Demolition Man,1980-05-17,80.0,76,Orthodox,3827,Netherlands,Striker
2335517,Kazuhiro Nakamura,Kaz,1979-07-16,70.0,71,Orthodox,363,,
2335518,Kevin Randleman,The Monster,1971-08-10,,70,Orthodox,150,,
2335519,Cyrille Diabate,Snake,1973-06-10,81.0,78,Southpaw,645,France,
2335520,Ricardo Arona,The Brazilian Tiger,1978-07-17,,71,Orthodox,,,
2335521,Antonio Rodrigo Nogueira,Minotauro,1976-06-02,77.0,75,Orthodox,24,Brazil,Brazilian Jiu-Jitsu
2335522,Forrest Griffin,,1979-07-01,77.0,75,Orthodox,61,,
2335523,Vernon White,Tiger,1971-12-03,,72,Southpaw,1725,,
2335524,Lyoto Machida,The Dragon,1978-05-30,74.0,73,Southpaw,164,Brazil,Karate
2335525,Stephan Bonnar,The American Psycho,1977-04-04,79.0,76,Orthodox,1006,,
2335526,Thiago Silva,,1982-11-12,74.0,73,Orthodox,10967,Brazil,Striker
2335527,Matt Hamill,The Hammer,1976-10-05,76.0,73,Orthodox,,,
2335528,Razak Al-Hassan,Razor,1983-04-14,,74,Orthodox,,Ghana,
2335529,Houston Alexander,The Assassin,1972-03-22,72.0,72,Orthodox,426,USA,Striker
2335530,Ryan Bader,Darth,1983-06-07,73.0,74,Orthodox,910,USA,Wrestling
2335531,Tim Boetsch,The Barbarian,1981-01-28,74.0,72,Orthodox,7727,USA,Wrestling
2335532,Jason Brilz,The Hitman,1975-07-07,71.5,71,Orthodox,,,
2335602,Michael Bisping,The Count,1979-02-28,75.5,73,Orthodox,101,,
2335603,Sean Salmon,,1977-11-09,,70,Southpaw,,,
2335604,Jason Lambert,The Punisher,1977-09-23,75.0,73,Orthodox,147,USA,
