bout_id,fighter_id,round_number,points_deducted,reason
751,219,4,1,Illegal Knee to a Downed Opponent
755,454,2,1,Grabbing the Cage
863,309,2,1,Illegal Upkick to a Downed Opponent
625,268,1,1,Illegal Downward Elbow
401,393,2,1,Illegal Downward Elbow
1593,486,3,1,Stomp
342,113,2,1,Grabbing the Cage
1017,322,2,1,Illegal Knee to a Downed Opponent
1017,322,3,1,Elbowing to the Back of the Head
1018,406,3,1,Grabbing the Cage
2811,1724,2,1,Grabbing Opponent's Gloves
2811,1724,3,1,Illegal Knee to a Downed Opponent
2805,232,2,1,Grabbing the Cage
1267,685,2,1,Illegal Upkick to a Downed Opponent
1927,1012,3,2,Illegal Kick to a Downed Opponent
1928,1013,2,1,Grabbing Opponent's Shorts
1707,874,3,1,Grabbing the Cage
1350,722,2,1,Illegal Upkick to a Downed Opponent
1400,349,3,1,Low Blow (Kick)
1721,644,3,1,Low Blow (Kick)
1938,1026,5,1,Illegal Upkick to a Downed Opponent
1489,685,3,1,Low Blow (Kick)
1501,655,3,1,Low Blow (Kick)
1523,356,2,1,Eye Poke
1732,910,2,1,Low Blow (Kick)
1969,269,3,1,Grabbing Opponent's Shorts
2059,315,3,1,Punching to the Back of the Head
2515,1026,1,1,Illegal Upkick to a Downed Opponent
2770,1290,3,1,Low Blow (Kick)
3133,1932,1,1,Low Blow (Kick)
3156,1951,2,1,Spitting Out Mouthpiece
3179,1800,3,1,Illegal Upkick to a Downed Opponent
3289,1396,2,2,Low Blow (Kick)
3383,2041,2,1,Low Blow (Knee)
7654,4134,1,1,Grabbing the fence
3482,1091,1,1,Illegal Knee to a Downed Opponent
3518,2096,1,1,Illegal Upkick to a Downed Opponent
3687,1418,3,1,Low Blow
3707,2143,1,1,Low Blow (Punch)
3861,1986,1,1,Illegal Knee to a Downed Opponent
7760,1384,2,1,Illegal Upkick
3946,1313,3,1,Illegal Knee to a Downed Opponent
3992,2173,2,1,Grabbing the Cage
4062,2165,1,1,Illegal Knee to a Downed Opponent
4062,2165,3,2,Low blow
4132,2412,2,1,Grabbing the Cage
4226,2474,3,1,Punching to the Back of the Head
4260,1749,1,1,Grabbing the Cage
4298,2504,2,1,Low blow (kick)
4385,430,1,1,Grabbing the Cage
4473,2600,2,1,Grabbing the Fence
4591,602,3,1,Eye Poke
4639,2690,3,1,Low Blow
4647,1420,3,1,Illegal Knee to a Downed Opponent
4689,1442,3,1,Low Blow
5849,3308,3,1,Grabbing the Ropes
4752,2740,3,1,Illegal Kick to a Downed Opponent
4805,2778,3,1,Illegal Kick to a Downed Opponent
4816,2583,2,1,Illegal Knee to a Downed Opponent
4870,1845,3,1,Low Blow (Kick)
4992,2776,1,1,Illegal Upkick
4992,2776,2,1,Grabbing the Cage
4994,2248,2,1,Grabbing the Shorts
5034,2198,1,1,Low Blow (Knee)
5078,2935,1,1,Grabbing the Cage
5086,1646,2,1,Kneeing a Downed Opponent
5147,2506,1,1,Headbutt
5218,1101,3,1,Kneeing a Downed Opponent
5537,2207,2,1,Low blow (kick)
5605,267,3,1,Headbutt
5701,3239,3,2,Headbutt
5686,3243,2,1,Low Blow (knee)
5905,2420,2,1,Illegal Kick to a Downed Opponent
5916,2828,2,1,Low blow
6041,552,5,1,Timidity
6227,3366,1,1,Kneeing a Downed Opponent
6325,3073,1,1,Kneeing a Downed Opponent
6399,2156,2,1,Low Blow
6496,1887,2,1,Illegal Knee to a Downed Opponent
6504,3600,2,1,Kneeing a downed opponent
