id,name,promotion,date,venue,location,event_order
5,UFC 5: The Return of the Beast,UFC,1995-04-07,Independence Arena,"Charlotte, North Carolina, USA",1
7,UFC 7: The Brawl in Buffalo,UFC,1995-09-08,Buffalo Memorial Auditorium,"Buffalo, New York, USA",2
8,UU 95: Ultimate Ultimate 95,UFC,1995-12-16,Mammoth Gardens,"Denver, Colorado, USA",3
9,UFC 8: David vs. Goliath,UFC,1996-02-16,Coliseo Rubén Rodríguez,"San Juan, Puerto Rico",4
10,UFC 9: Motor City Madness,UFC,1996-05-17,Cobo Arena,"Detroit, Michigan, USA",5
11,UFC 10: The Tournament,UFC,1996-07-12,Fair Park Arena,"Birmingham, Alabama, USA",6
12,UFC 11: The Proving Ground,UFC,1996-09-20,Augusta Civic Center,"Augusta, Georgia, USA",7
14,UFC 12: Judgement Day,UFC,1997-02-07,Dothan Civic Center,"Dothan, Alabama, USA",8
15,UFC 13: The Ultimate Force,UFC,1997-05-30,Augusta Civic Center,"Augusta, Georgia, USA",9
16,UFC 14: Showdown,UFC,1997-07-27,Boutwell Auditorium,"Birmingham, Alabama, USA",10
17,UFC 15: Collision Course,UFC,1997-10-17,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, USA",11
18,UFC Japan: Ultimate Japan 1,UFC,1997-12-21,Yokohama Arena,"Yokohama, Japan",12
19,UFC 16: Battle in the Bayou,UFC,1998-03-13,Pontchartrain Center,"New Orleans, Louisiana, USA",13
20,UFC 17: Redemption,UFC,1998-05-15,Mobile Civic Center,"Mobile, Alabama, USA",14
21,UFC Brazil: Ultimate Brazil,UFC,1998-10-16,Ginásio da Portuguesa,"Sao Paulo, Brazil",15
22,UFC 18: Road to the Heavyweight Title,UFC,1999-01-08,Pontchartrain Center,"New Orleans, Louisiana, USA",16
23,UFC 19: Ultimate Young Guns,UFC,1999-03-05,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, USA",17
24,UFC 20: Battle for the Gold,UFC,1999-05-07,Boutwell Auditorium,"Birmingham, Alabama, USA",18
25,UFC 21: Return of the Champions,UFC,1999-07-16,Five Seasons Events Center,"Cedar Rapids, Iowa, USA",19
26,UFC 22: There Can Only Be One Champion,UFC,1999-09-24,Lake Charles Civic Center,"Lake Charles, Louisiana, USA",20
27,UFC 23: Ultimate Japan 2,UFC,1999-11-19,Tokyo Bay NK Hall,"Chiba, Japan",21
28,UFC 24: First Defense,UFC,2000-03-10,Lake Charles Civic Center,"Lake Charles, Louisiana, USA",22
29,UFC 25: Ultimate Japan 3,UFC,2000-04-14,Yoyogi National Gymnasium,"Tokyo, Japan",23
30,UFC 26: Ultimate Field of Dreams,UFC,2000-06-09,Five Seasons Events Center,"Cedar Rapids, Iowa, USA",24
31,UFC 27: Ultimate Bad Boyz,UFC,2000-09-22,Lakefront Arena,"New Orleans, Louisiana, USA",25
32,UFC 28: High Stakes,UFC,2000-11-17,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",26
33,UFC 29: Defense of the Belts,UFC,2000-12-16,Differ Ariake Arena,"Tokyo, Japan",27
34,UFC 30: Battle on the Boardwalk,UFC,2001-02-23,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",28
35,UFC 31: Locked & Loaded,UFC,2001-05-04,Trump Taj Mahal Casino Resort,"Atlantic City, New Jersey, USA",29
36,UFC 32: Showdown in the Meadowlands,UFC,2001-06-29,Continental Airlines Arena,"East Rutherford, New Jersey, USA",30
37,UFC 33: Victory in Vegas,UFC,2001-09-28,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",31
38,UFC 34: High Voltage,UFC,2001-11-02,MGM Grand Arena,"Las Vegas, Nevada, USA",32
39,UFC 35: Throwdown,UFC,2002-01-11,Mohegan Sun Arena,"Uncasville, Connecticut, USA",33
40,UFC 36: Worlds Collide,UFC,2002-03-22,MGM Grand Arena,"Las Vegas, Nevada, USA",34
41,UFC 37: High Impact,UFC,2002-05-10,CenturyTel Center,"Bossier City, Louisiana, USA",35
42,UFC 37.5: As Real As It Gets,UFC,2002-06-22,Bellagio,"Las Vegas, Nevada, USA",36
43,UFC 38: Brawl at the Hall,UFC,2002-07-13,Royal Albert Hall,"London, England",37
44,UFC 39: The Warriors Return,UFC,2002-09-27,Mohegan Sun Arena,"Uncasville, Connecticut, USA",38
46,UFC 41: Onslaught,UFC,2003-02-28,Boardwalk Hall,"Atlantic City, New Jersey, USA",39
47,UFC 42: Sudden Impact,UFC,2003-04-25,AmericanAirlines Arena,"Miami, Florida, USA",40
48,UFC 43: Meltdown,UFC,2003-06-06,Thomas and Mack Center,"Las Vegas, Nevada, USA",41
49,UFC 44: Undisputed,UFC,2003-09-26,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",42
50,UFC 45: Revolution,UFC,2003-11-21,Mohegan Sun Arena,"Uncasville, Connecticut, USA",43
51,UFC 46: Super Natural,UFC,2004-01-31,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",44
52,UFC 47: It's On,UFC,2004-04-02,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",45
53,UFC 48: Payback,UFC,2004-06-19,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",46
54,UFC 49: Unfinished Business,UFC,2004-08-21,MGM Grand Arena,"Las Vegas, Nevada, USA",47
55,UFC 50: The War of '04,UFC,2004-10-22,Boardwalk Hall,"Atlantic City, New Jersey, USA",48
56,UFC 51: Super Saturday,UFC,2005-02-05,Mandalay Bay Events Center,"Las Vegas, Nevada, USA",49
57,TUF 1 Finale: The Ultimate Fighter Finale,UFC,2005-04-09,Cox Pavilion,"Las Vegas, Nevada, USA",50
58,UFC 52: Couture vs Liddell 2,UFC,2005-04-16,MGM Grand Arena,"Las Vegas, Nevada, USA",51
59,UFC 53: Heavy Hitters,UFC,2005-06-04,Boardwalk Hall,"Atlantic City, New Jersey, USA",52
60,UFN 1: Ultimate Fight Night,UFC,2005-08-06,Cox Pavilion,"Las Vegas, Nevada, USA",53
61,UFC 54: Boiling Point,UFC,2005-08-20,MGM Grand Arena,"Las Vegas, Nevada, USA",54
62,UFN 2: Ultimate Fight Night 2,UFC,2005-10-03,Hard Rock Hotel and Casino,"Las Vegas, Nevada, USA",55
