bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
42,1,3,1,1,
42,Total,3,1,1,0
42,1,1,2,1,
42,Total,1,2,1,0
42,1,2,3,1,
42,Total,2,3,1,0
43,1,3,1,1,
43,Total,3,1,1,0
43,1,1,2,1,
43,Total,1,2,1,0
43,1,2,3,1,
43,Total,2,3,1,0
44,1,3,1,1,
44,Total,3,1,1,0
44,1,1,2,1,
44,Total,1,2,1,0
44,1,2,3,1,
44,Total,2,3,1,0
78,1,5,1,1,
78,Total,5,1,1,0
78,1,4,2,1,
78,Total,4,2,1,0
78,1,6,3,1,
78,Total,6,3,1,0
95,1,9,1,1,
95,Total,9,1,1,0
95,1,7,2,,1
95,Total,7,2,0,1
95,1,8,3,1,
95,Total,8,3,1,0
97,1,10,1,1,
97,Total,10,1,1,0
97,1,3,2,1,
97,Total,3,2,1,0
97,1,8,3,1,
97,Total,8,3,1,0
114,1,1,1,1,
114,Total,1,1,1,0
114,1,8,2,1,
114,Total,8,2,1,0
114,1,11,3,1,
114,Total,11,3,1,0
116,1,1,1,1,
116,Total,1,1,1,0
116,1,8,2,1,
116,Total,8,2,1,0
116,1,11,3,1,
116,Total,11,3,1,0
132,1,3,1,1,
132,Total,3,1,1,0
132,1,12,2,1,
132,Total,12,2,1,0
132,1,11,3,1,
132,Total,11,3,1,0
140,1,3,1,1,
140,Total,3,1,1,0
140,1,13,2,1,
140,Total,13,2,1,0
140,1,11,3,1,
140,Total,11,3,1,0
149,1,3,1,1,
149,Total,3,1,1,0
149,1,12,2,1,
149,Total,12,2,1,0
149,1,14,3,1,
149,Total,14,3,1,0
155,1,3,1,1,
155,Total,3,1,1,0
155,1,12,2,1,
155,Total,12,2,1,0
155,1,14,3,1,
155,Total,14,3,1,0
156,1,3,1,1,
156,Total,3,1,1,0
156,1,12,2,,1
156,Total,12,2,0,1
156,1,13,3,1,
156,Total,13,3,1,0
159,1,3,1,1,
159,Total,3,1,1,0
159,1,12,2,1,
159,Total,12,2,1,0
159,1,13,3,1,
159,Total,13,3,1,0
164,1,33,1,1,
164,Total,33,1,1,0
164,1,17,2,1,
164,Total,17,2,1,0
164,1,16,3,1,
164,Total,16,3,1,0
169,1,33,1,1,
169,Total,33,1,1,0
169,1,17,2,1,
169,Total,17,2,1,0
169,1,16,3,1,1
169,Total,16,3,1,1
173,1,3,1,,1
173,Total,3,1,0,1
173,1,12,2,1,
173,Total,12,2,1,0
173,1,18,3,1,
173,Total,18,3,1,0
176,1,3,1,1,
176,Total,3,1,1,0
176,1,12,2,1,
176,Total,12,2,1,0
176,1,18,3,1,
176,Total,18,3,1,0
