bout_id,fighter_id,ko_tko_percentage,submission_percentage,decision_percentage,overall_percentage,num_picks
24627-ufc-120-fbio-caipira-de-ao-maldonado-vs-james-the-hammer-mcsweeney,james-mcsweeney-the-hammer,75.0,0.0,25.0,29,28
24627-ufc-120-fbio-caipira-de-ao-maldonado-vs-james-the-hammer-mcsweeney,fabio-maldonado,45.0,30.0,25.0,71,28
3517-ufc-120-spencer-the-king-fisher-vs-curt-the-war-warburton,spencer-fisher-the-king,52.0,12.0,36.0,90,29
3517-ufc-120-spencer-the-king-fisher-vs-curt-the-war-warburton,curt-warburton-the-war,0.0,0.0,100.0,10,29
23539-ufc-120-paul-sassangle-sass-vs-mark-boots-holst,paul-sass-sassangle,0.0,50.0,50.0,83,24
23539-ufc-120-paul-sassangle-sass-vs-mark-boots-holst,mark-holst-boots,0.0,50.0,50.0,17,24
3516-ufc-120-rob-the-bear-broughton-vs-vinicius-spartan-quieroz,vinicius-kappke-de-quieroz-spartan,43.8,37.5,18.8,76,21
3516-ufc-120-rob-the-bear-broughton-vs-vinicius-spartan-quieroz,rob-broughton-the-bear,60.0,0.0,40.0,24,21
3548-ufc-120-alexander-the-mauler-gustafsson-vs-cyrille-the-snake-diabate,alexander-gustafsson-the-mauler,38.5,30.8,30.8,43,30
3548-ufc-120-alexander-the-mauler-gustafsson-vs-cyrille-the-snake-diabate,cyrille-diabate-the-snake,82.4,0.0,17.7,57,30
5771-ufc-120-claude-the-prince-patrick-vs-james-lightning-wilks,james-wilks-lightning,0.0,62.5,37.5,24,33
5771-ufc-120-claude-the-prince-patrick-vs-james-lightning-wilks,claude-patrick-the-prince,16.0,52.0,32.0,76,33
3514-ufc-120-cheick-kongo-vs-travis-hapa-browne,cheick-kongo,82.1,0.0,17.9,74,38
3514-ufc-120-cheick-kongo-vs-travis-hapa-browne,travis-browne-hapa,90.0,10.0,0.0,26,38
10175-ufc-120-mike-quicksand-pyle-vs-john-the-hitman-hathaway,mike-pyle-quicksand,0.0,25.0,75.0,12,34
10175-ufc-120-mike-quicksand-pyle-vs-john-the-hitman-hathaway,john-hathaway-the-hitman,36.7,13.3,50.0,88,34
3385-ufc-120-the-natural-born-killer-carlos-condit-vs-dan-the-outlaw-hardy,carlos-condit-the-natural-born-killer,26.7,13.3,60.0,35,43
3385-ufc-120-the-natural-born-killer-carlos-condit-vs-dan-the-outlaw-hardy,dan-hardy-the-outlaw,60.7,3.6,35.7,65,43
3538-ufc-120-michael-the-count-bisping-vs-sexyama-yoshihiro-akiyama,michael-bisping-the-count,37.1,0.0,62.9,71,49
3538-ufc-120-michael-the-count-bisping-vs-sexyama-yoshihiro-akiyama,yoshihiro-akiyama-sexyama,46.2,0.0,53.9,29,49
23937-ufc-121-jon-madsen-vs-gilbert-the-hurricane-yvel,jon-madsen,35.7,14.3,50.0,47,32
23937-ufc-121-jon-madsen-vs-gilbert-the-hurricane-yvel,gilbert-yvel-the-hurricane,94.1,0.0,5.9,53,32
10172-ufc-121-chris-camozzi-vs-dongi-the-ox-yang,dongi-yang-the-ox,50.0,31.3,18.8,63,27
10172-ufc-121-chris-camozzi-vs-dongi-the-ox-yang,chris-camozzi,20.0,20.0,60.0,37,27
3540-ufc-121-sam-hands-of-stone-stout-vs-relentless-paul-taylor,paul-taylor-relentless,0.0,0.0,100.0,6,34
3540-ufc-121-sam-hands-of-stone-stout-vs-relentless-paul-taylor,sam-stout-hands-of-stone,38.7,0.0,61.3,94,34
22829-ufc-121-daniel-ninja-roberts-vs-mike-the-joker-guymon,daniel-roberts-ninja,25.0,45.0,30.0,84,25
