bout_id,fighter_id,weigh_in_result_lbs,fight_night_weight_lbs,weight_gain_lbs
377273-ufc-227-marlon-chito-vera-vs-wuliji-the-beastmaster-buren,48144-marlon-vera-chito,135.5,150.0,14.5
377273-ufc-227-marlon-chito-vera-vs-wuliji-the-beastmaster-buren,64510-wu-li-ji-buren,135.5,149.5,14.0
367234-ufc-227-danielle-dynamite-taylor-vs-weili-zhang,83443-weili-zhang,115.5,127.0,11.5
367234-ufc-227-danielle-dynamite-taylor-vs-weili-zhang,40903-danielle-taylor,115.3,124.5,9.3
376175-ufc-227-jose-shorty-torres-vs-alex-perez,alex-perez,126.0,146.5,20.5
376175-ufc-227-jose-shorty-torres-vs-alex-perez,44900-jose-torres,125.0,143.0,18.0
374713-ufc-227-sheymon-moraes-vs-matt-sayles,32709-sheymon-da-silva-moraes,146.0,164.0,18.0
374713-ufc-227-sheymon-moraes-vs-matt-sayles,75678-matt-sayles-robo,145.8,165.0,19.3
366876-ufc-227-kyung-ho-mr-perfect-kang-vs-ricardo-carcacinha-ramos,56182-ricardo-ramos-carcacinha,135.5,153.5,18.0
366876-ufc-227-kyung-ho-mr-perfect-kang-vs-ricardo-carcacinha-ramos,kyung-ho-kang,136.0,154.0,18.0
377912-ufc-227-ricky-simon-vs-montel-quick-jackson,33229-ricky-simon,135.3,152.0,16.8
377912-ufc-227-ricky-simon-vs-montel-quick-jackson,89335-montel-jackson,136.0,152.0,16.0
374970-ufc-227-pedro-the-young-punisher-munhoz-vs-brett-the-pikey-johns,5243-pedro-munoz-pedrinho,135.0,151.0,16.0
374970-ufc-227-pedro-the-young-punisher-munhoz-vs-brett-the-pikey-johns,22153-brett-johns,135.3,158.0,22.8
377916-ufc-227-thiago-marreta-santos-vs-kevin-trail-blazer-holland,31174-thiago-santos-marreta,185.5,209.5,24.0
377916-ufc-227-thiago-marreta-santos-vs-kevin-trail-blazer-holland,35757-kevin-holland,184.8,193.0,8.3
367232-ufc-227-polyana-poly-viana-vs-jj-aldrich,28420-jj-aldrich,115.8,130.5,14.8
367232-ufc-227-polyana-poly-viana-vs-jj-aldrich,85751-polyana-mota-poly,115.0,129.5,14.5
367230-ufc-227-cub-swanson-vs-renato-moicano-carneiro,16950-renato-carneiro-moicano,146.0,165.5,19.5
367230-ufc-227-cub-swanson-vs-renato-moicano-carneiro,cub-swanson,145.3,160.5,15.3
371994-ufc-227-demetrious-mighty-mouse-johnson-vs-henry-the-messenger-cejudo-ii,42359-henry-cejudo,124.5,141.0,16.5
371994-ufc-227-demetrious-mighty-mouse-johnson-vs-henry-the-messenger-cejudo-ii,demetrious-johnson-mighty-mouse,125.0,142.0,17.0
361494-ufc-227-t-j-dillashaw-vs-cody-no-love-garbrandt,19126-tj-dillashaw,135.0,149.5,14.5
361494-ufc-227-t-j-dillashaw-vs-cody-no-love-garbrandt,21780-cody-garbrandt-no-love,134.8,142.0,7.3
396153-ufc-232-brian-boom-kelleher-vs-montel-quick-jackson,89335-montel-jackson,137.0,155.0,18.0
396153-ufc-232-brian-boom-kelleher-vs-montel-quick-jackson,13751-Brian-Kelleher,135.0,148.0,13.0
393074-ufc-232-curtis-curtious-millender-vs-siyar-the-great-bahadurzada,52092-curtis-millender,170.0,183.5,13.5
393074-ufc-232-curtis-curtious-millender-vs-siyar-the-great-bahadurzada,siyar-bahadurzada-the-great,171.0,184.5,13.5
383944-ufc-232-uriah-prime-time-hall-vs-bevon-lewis,uriah-hall,185.5,203.5,18.0
383944-ufc-232-uriah-prime-time-hall-vs-bevon-lewis,49806-bevon-lewis,186.0,194.5,8.5
399054-ufc-232-nathaniel-the-prospect-wood-vs-andre-ewell,27454-nathaniel-wood,135.5,147.0,11.5
399054-ufc-232-nathaniel-the-prospect-wood-vs-andre-ewell,116569-andre-ewell,135.5,145.0,9.5
385324-ufc-232-the-prodigy-bj-penn-vs-ryan-the-wizard-hall,37328-ryan-hall,154.0,156.0,2.0
385324-ufc-232-the-prodigy-bj-penn-vs-ryan-the-wizard-hall,bj-penn-the-prodigy,156.0,163.5,7.5
393384-ufc-232-petr-no-mercy-yan-vs-douglas-d-silva-andrade,90075-petr-yan,135.5,149.5,14.0
393384-ufc-232-petr-no-mercy-yan-vs-douglas-d-silva-andrade,38718-douglas-dsilva,134.5,154.5,20.0
390352-ufc-232-megan-anderson-vs-alpha-cat-zingano,58669-megan-anderson,146.0,157.0,11.0
390352-ufc-232-megan-anderson-vs-alpha-cat-zingano,cat-zingano-alpha,144.0,156.0,12.0
392818-ufc-232-andrei-the-pitbull-arlovski-vs-walt-the-big-ticket-harris,andrei-arlovski-the-pitbull,245.5,248.0,2.5
392818-ufc-232-andrei-the-pitbull-arlovski-vs-walt-the-big-ticket-harris,17046-walter-harris,258.5,260.0,1.5
394481-ufc-232-chad-money-mendes-vs-alexander-the-great-volkanovski,41705-alex-volkanski,145.0,166.5,21.5
394481-ufc-232-chad-money-mendes-vs-alexander-the-great-volkanovski,chad-mendes-money,146.0,160.5,14.5
383220-ufc-232-ilir-the-sledgehammer-latifi-vs-corey-overtime-anderson,29807-corey-anderson,204.5,225.0,20.5
383220-ufc-232-ilir-the-sledgehammer-latifi-vs-corey-overtime-anderson,ilir-latifi,205.5,219.0,13.5
386260-ufc-232-the-natural-born-killer-carlos-condit-vs-mike-maverick-chiesa,15253-mike-chiesa-maverick,170.5,188.0,17.5
386260-ufc-232-the-natural-born-killer-carlos-condit-vs-mike-maverick-chiesa,carlos-condit-the-natural-born-killer,171.0,184.5,13.5
376153-ufc-232-cristiane-cyborg-justino-vs-amanda-the-lioness-nunes,amanda-nunes-lioness-of-the-ring,145.0,156.0,11.0
376153-ufc-232-cristiane-cyborg-justino-vs-amanda-the-lioness-nunes,cristiane-santos-cyborg,144.0,160.5,16.5
387634-ufc-232-jon-bones-jones-vs-alexander-the-mauler-gustafsson-ii,jon-jones-bones,204.0,222.5,18.5
387634-ufc-232-jon-bones-jones-vs-alexander-the-mauler-gustafsson-ii,alexander-gustafsson-the-mauler,204.5,219.5,15.0
440053-ufc-on-espn-13-benito-the-golden-boy-lopez-vs-vince-vandetta-morales,47476-benito-lopez-golden-boy,136.0,147.4,11.4
440053-ufc-on-espn-13-benito-the-golden-boy-lopez-vs-vince-vandetta-morales,91401-vince-morales,135.5,148.8,13.3
