bout_id,round_number,fighter_id,round_time_seconds,knockdowns_scored,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,submissions_attempted,reversals_scored,control_time_seconds,significant_strikes_landed,significant_strikes_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_distance_landed,significant_strikes_distance_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
567a09fd200cfa05,1,279093302a6f44b3,26,0,3,5,0,0,0,0,,3,5,3,5,0,0,0,0,1,3,0,0,2,2
567a09fd200cfa05,1,96eff1a628adcc7f,26,0,0,1,0,1,0,0,,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2d2bbc86e941e05c,1,598a58db87b890ee,260,2,38,53,0,0,0,0,,15,27,12,23,3,4,0,0,4,10,4,9,7,8
2d2bbc86e941e05c,1,d3711d3784b76255,260,0,13,29,0,0,0,0,,12,28,7,19,3,6,2,3,0,7,10,19,2,2
cecdc0da584274b9,1,429e7d3725852ce9,138,0,4,7,1,1,0,0,,0,3,0,1,0,0,0,2,0,3,0,0,0,0
cecdc0da584274b9,1,a5c53b3ddb31cc7d,138,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46acd54cc0c905fb,1,63b65af1c5cb02cb,109,0,4,4,1,2,2,0,,1,1,1,1,0,0,0,0,0,0,0,0,1,1
46acd54cc0c905fb,1,46c8ec317aff28ac,109,0,16,20,0,0,0,0,,4,8,1,4,1,1,2,3,1,1,1,1,2,6
ac7ca2ec38b96c1a,1,279093302a6f44b3,59,1,11,17,0,0,0,0,,11,17,7,13,1,1,3,3,5,8,0,0,6,9
ac7ca2ec38b96c1a,1,598a58db87b890ee,59,0,0,3,0,0,0,0,,0,3,0,1,0,1,0,1,0,3,0,0,0,0
ffd16691c4c4aafc,1,429e7d3725852ce9,57,0,12,12,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ffd16691c4c4aafc,1,63b65af1c5cb02cb,57,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b0796724ec1c09,1,6ceff86fae4f6b3b,52,0,3,9,1,2,1,0,,3,9,3,7,0,1,0,1,3,9,0,0,0,0
00b0796724ec1c09,1,02fc8f50f56eb307,52,0,1,7,0,0,0,0,,1,7,0,5,0,1,1,1,1,7,0,0,0,0
64139d1d505e46c5,1,429e7d3725852ce9,104,0,3,4,1,3,1,0,,1,2,1,1,0,0,0,1,0,1,0,0,1,1
64139d1d505e46c5,1,279093302a6f44b3,104,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4acab67848e78327,1,be9d259be012e8a4,20,0,2,2,1,1,1,0,,1,1,1,1,0,0,0,0,0,0,1,1,0,0
4acab67848e78327,1,a683f9ddb70aa4bd,20,0,1,5,0,0,0,0,,0,4,0,2,0,0,0,2,0,3,0,1,0,0
4b9ae533ccb3fcdf,1,46c8ec317aff28ac,58,0,1,1,0,1,1,0,,1,1,0,0,1,1,0,0,0,0,1,1,0,0
4b9ae533ccb3fcdf,1,ea0ad155451ed1f5,58,0,2,2,0,0,0,0,,1,1,0,0,0,0,1,1,1,1,0,0,0,0
ccee020be2e8d9f6,1,319fa1bd3176bded,733,0,74,86,1,1,0,0,,11,17,9,15,1,1,1,1,1,1,1,1,9,15
ccee020be2e8d9f6,1,49590e0508b2c19f,733,0,95,102,0,0,0,0,,4,5,4,5,0,0,0,0,1,2,2,2,1,1
d917c8c7461b9831,1,c3c23c99477c041b,292,0,14,15,1,1,3,1,,2,3,2,3,0,0,0,0,1,1,0,0,1,2
d917c8c7461b9831,1,505934897b8b4824,292,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b020d4914b44fc8,1,a6c2f5381d575920,170,0,11,15,0,0,0,0,,8,12,7,11,1,1,0,0,1,3,0,0,7,9
3b020d4914b44fc8,1,96087e90d900f0ef,170,0,2,6,1,1,1,0,,2,6,1,2,0,1,1,3,2,6,0,0,0,0
17ee4caf06981b81,1,749685d24e2cac50,591,0,20,22,1,1,1,0,,4,6,4,5,0,0,0,1,0,1,0,0,4,5
17ee4caf06981b81,1,6e02c318762f52f1,591,0,9,11,0,0,0,0,,1,3,1,3,0,0,0,0,1,1,0,0,0,2
c53325be8ce33b8b,1,6ceff86fae4f6b3b,401,0,20,25,0,1,5,4,,3,5,1,2,1,2,1,1,2,4,0,0,1,1
c53325be8ce33b8b,1,7d5b12de1625984e,401,0,14,23,1,1,0,2,,0,2,0,2,0,0,0,0,0,2,0,0,0,0
fcd8e8ec45eb6b9f,1,429e7d3725852ce9,308,0,110,114,1,1,2,0,,2,4,0,0,0,0,2,4,2,4,0,0,0,0
fcd8e8ec45eb6b9f,1,4565d435005319c0,308,0,12,16,0,0,0,0,,3,7,3,6,0,0,0,1,0,2,0,0,3,5
8ea72cf82fac07f6,1,46c8ec317aff28ac,30,0,19,25,0,0,0,0,,13,17,12,16,1,1,0,0,0,0,1,1,12,16
8ea72cf82fac07f6,1,be9d259be012e8a4,30,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b72acedda7ddc006,1,319fa1bd3176bded,187,1,21,38,0,0,1,0,,13,29,12,28,0,0,1,1,3,6,1,2,9,21
b72acedda7ddc006,1,8d5daf67983b65ba,187,0,7,11,0,0,0,0,,4,7,0,1,2,4,2,2,4,7,0,0,0,0
c4aa04781989699e,1,749685d24e2cac50,89,0,7,7,1,1,0,0,,7,7,7,7,0,0,0,0,0,0,0,0,7,7
c4aa04781989699e,1,a6c2f5381d575920,89,0,5,7,0,0,0,0,,1,2,0,1,0,0,1,1,1,2,0,0,0,0
5655639baecd8f6a,1,429e7d3725852ce9,67,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5655639baecd8f6a,1,6ceff86fae4f6b3b,67,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8fbdde20b712b8da,1,46c8ec317aff28ac,67,0,5,12,0,0,1,0,,5,12,1,4,2,2,2,6,3,10,2,2,0,0
8fbdde20b712b8da,1,319fa1bd3176bded,67,0,4,9,0,0,0,0,,4,9,2,5,0,0,2,4,4,9,0,0,0,0
aa161c7159741766,1,429e7d3725852ce9,91,0,0,0,1,2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
