fighter_id,bout_id,notice_time_days
485,1443,17
865,1437,17
294,1435,16
53,945,5
240,749,9
505,735,8
361,716,26
25,10,29
36,18,6
128,54,18
127,56,12
137,68,22
219,82,10
218,84,9
273,1553,26
227,112,45
274,111,6
188,110,13
275,133,12
276,131,26
316,157,19
223,147,14
227,174,25
314,190,38
458,194,22
371,198,38
341,195,13
9,206,30
461,224,13
459,220,36
176,236,25
356,231,22
465,229,7
21,249,32
464,245,25
203,260,30
478,255,38
35,270,28
317,269,16
41,282,21
429,275,24
264,293,18
493,298,26
504,294,10
373,290,32
458,292,11
178,303,33
506,323,31
526,334,5
517,336,11
317,340,26
234,348,18
381,372,20
556,364,6
552,390,19
463,366,14
544,383,19
564,410,18
562,380,9
563,376,8
579,419,17
576,417,26
418,393,34
137,401,16
595,407,16
599,457,12
530,437,23
299,455,12
333,471,24
327,473,17
620,444,28
112,480,18
673,613,9
224,486,46
299,492,17
556,510,12
778,635,10
593,537,8
779,533,8
716,530,18
795,599,8
594,640,29
805,1038,6
801,1033,17
806,1039,5
803,645,13
804,643,5
148,1025,8
852,1007,5
778,1089,28
853,1091,5
851,1242,5
859,1252,11
131,1052,11
950,1069,7
951,1584,27
347,1085,32
595,1562,7
966,1080,9
175,1672,13
28,1566,8
977,1647,4
976,1634,11
988,1599,12
500,1646,12
298,1646,25
1001,1661,9
497,1665,23
1006,1682,30
277,1674,2
1013,1700,15
1019,1793,11
1024,1726,13
8,1706,17
357,1814,10
1031,1821,9
1038,1784,11
1039,1785,17
1052,1822,17
1055,1811,30
1054,1810,9
180,1801,11
367,1883,11
1057,1828,8
1058,1827,11
537,1872,5
401,1848,29
497,1901,5
561,1920,18
461,1911,23
1017,1926,38
960,2040,7
1094,1937,7
1095,1938,10
1092,2012,22
1090,2013,31
1093,2016,7
82,1931,31
1113,2138,7
1105,2095,26
1097,2097,11
1112,2065,14
1006,2078,8
1127,2103,9
1130,2150,7
62,2119,7
608,2361,8
1153,2280,11
1176,2356,10
1180,2357,17
1196,2421,4
1190,2371,8
1234,2334,10
1296,2510,6
1311,2491,4
1202,2474,5
1317,2472,3
634,2465,7
1215,2586,6
1329,2578,4
17,2599,10
1326,2598,11
561,2611,11
1339,2649,7
1337,2584,10
1350,2702,7
1351,2706,7
6,2602,16
1200,2789,10
777,2838,11
190,2838,11
1257,2876,10
1267,2866,22
1410,2868,8
9,2840,1
1429,2979,18
684,2966,14
363,2948,22
1458,2973,9
1427,2975,11
1157,2911,11
1464,3034,11
120,3049,10
544,2971,28
1478,3105,12
1116,3234,5
1257,3232,10
1629,3192,6
1636,3257,6
1100,3251,26
1325,3437,9
141,3415,10
198,3248,7
240,3441,7
503,3265,15
1689,3342,9
1686,3350,22
1583,3344,9
1239,3538,4
1755,3585,6
1237,3537,6
1763,3653,14
157,3613,3
1404,3614,5
1776,3626,15
1775,3624,28
1785,3630,14
1786,3703,25
1686,3702,10
1221,3754,4
582,3545,8
1805,3765,16
1809,3763,30
80,3760,16
213,3726,8
1377,3734,23
1037,3735,19
1820,3740,6
1831,3841,4
1825,3767,9
776,3846,4
1014,3869,6
1931,3939,4
1920,3882,11
1102,4032,11
1935,3942,5
1947,3960,8
1978,4083,10
1390,4008,11
2002,4100,11
366,4102,11
2022,4138,5
2073,4244,5
2075,4236,10
366,4074,10
1573,4212,5
2045,4400,11
1481,4306,18
2170,4412,1
2030,4323,11
1598,4477,6
74,4332,15
2236,4537,8
349,4590,1
2019,4545,5
1931,4583,10
1985,4685,20
213,4675,17
1214,4689,5
926,4631,13
2293,4826,2
2294,4861,4
2297,4850,4
2037,4872,2
2300,4886,4
2305,4868,3
788,4936,4
2306,4961,2
1506,4955,9
2319,4950,6
2337,4980,7
1707,5025,2
2343,5008,2
206,4953,12
356,4998,3
1732,4921,9
2399,5098,2
1497,5067,3
1499,5059,2
1899,4999,5
97,5060,19
1668,5169,1
1546,5070,3
2413,5088,2
75,5153,8
1263,5152,9
505,5132,2
2466,5128,9
2483,5147,8
2473,5219,7
1485,5148,8
2484,5223,9
1656,5146,14
260,5144,12
2498,5267,10
349,5228,13
458,5277,10
245,5438,5
2587,5453,3
1985,5344,9
2376,5350,7
2628,5520,9
2623,5514,4
378,5373,2
