id,name,nickname,date_of_birth,height,reach,stance,team_id,nationality,fighting_style
2180412,Jan Jorgensen,The Janimal,21/8/1984,"6' 3""","76.5""",--,2247.0,USA,
2216681,Zeke Tuinei-Wily,,31/1/1988,"6' 5""","78""",--,61.0,USA,
2220951,Greg Hardy,Prince of War,28/7/1988,"6' 5""","80.5""",Orthodox,25.0,USA,Striker
2223033,Austen Lane,,9/11/1987,"6' 6""","80""",Orthodox,10960.0,USA,Mixed Martial Artist
2312150,Mohammed Usman,The Motor,1/4/1989,"6' 2""","79""",Orthodox,10967.0,Nigeria,Mixed Martial Artist
2323652,Clayton York,C-4,8/6/1990,"6' 0""","75.5""",--,7647.0,USA,
2335243,Carlos Condit,The Natural Born Killer,26/4/1984,"6' 2""","75.5""",Orthodox,81.0,USA,"Brazilian Jiu-Jitsu,Striker"
2335256,Carmelo Marrero,The Fury,26/1/1981,"6' 2""","73""",Orthodox,25.0,,
2335298,Brock Lesnar,,12/7/1977,"6' 3""","81""",Orthodox,41.0,,
2335301,Frank Mir,,24/5/1979,"6' 3""","79""",Southpaw,6687.0,USA,Brazilian Jiu-Jitsu
2335302,Heath Herring,Texas Crazy Horse,2/3/1978,"6' 4""","78""",Orthodox,154.0,USA,Muay Thai
2335338,Randy Couture,The Natural,22/6/1963,"6' 2""","75""",Orthodox,61.0,,Greco-Roman
2335447,Anderson Silva,The Spider,14/4/1975,"6' 2""","77""",Southpaw,24.0,Brazil,"Muay Thai,Striker"
2335448,Patrick Cote,The Predator,29/2/1980,"5' 11""","75""",Orthodox,,,
2335449,Thales Leites,,9/6/1981,"6' 1""","78""",Orthodox,301.0,,
2335458,James Irvin,The Sandman,12/9/1978,"6' 2""","75""",Orthodox,,,
2335464,Chuck Liddell,Iceman,17/12/1969,"6' 2""","76.5""",Orthodox,805.0,,
2335465,Rashad Evans,Suga,25/9/1979,"5' 11""","75""",Orthodox,7933.0,USA,
2335467,Wanderlei Silva,The Axe Murderer,3/7/1976,"5' 11""","74""",Orthodox,381.0,Brazil,Striker
2335469,Keith Jardine,The Dean of Mean,31/10/1975,"6' 2""","76""",Orthodox,81.0,,
2335470,Quinton Jackson,Rampage,20/6/1978,"6' 1""","73""",Orthodox,101.0,USA,Striker
2335472,Tito Ortiz,The People's Champ,23/1/1975,"6' 3""","74""",Orthodox,427.0,USA,"Wrestling,Boxing"
2335474,Drew McFedries,The Massacre,27/7/1978,"6' 0""","72""",Southpaw,1067.0,,
2335475,Nate Marquardt,The Great,20/4/1979,"6' 0""","74""",Orthodox,1746.0,USA,Wrestling
2335476,Renato Sobral,Babalu,9/7/1975,"6' 0""","75.5""",Orthodox,121.0,,
2335477,Jeremy Horn,Gumby,25/8/1975,"6' 1""","74""",Orthodox,,USA,
2335480,Pete Sell,Drago,5/8/1982,"5' 11""","75""",Orthodox,,USA,
2335483,Ryan Jensen,,20/9/1977,"5' 10""","76""",Orthodox,81.0,,
2335484,Floyd Sword,,,"5' 11""",,Orthodox,,,
2335486,Alan Belcher,The Talent,24/4/1984,"6' 2""","75""",Orthodox,1533.0,,
2335487,Wilson Gouveia,,10/3/1978,"6' 2""","76""",Orthodox,25.0,,
2335488,Ricardo Almeida,Cachorrao,29/11/1976,"5' 11""","74""",Orthodox,162.0,USA,Brazilian Jiu-Jitsu
2335489,Nick Catone,The Jersey Devil,1/9/1981,"6' 0""","72.5""",Southpaw,162.0,,
2335490,Tim Credeur,Crazy,9/7/1977,"6' 3""","75""",Orthodox,825.0,,
2335491,Martin Kampmann,Hitman,17/4/1982,"6' 0""","72""",Orthodox,61.0,,
2335495,Jason Day,Dooms,,"6' 0""","72""",Orthodox,,,
2335496,Joe Doerksen,El Dirte,10/9/1977,"6' 0""","75""",Orthodox,,,
2335497,Dan Henderson,Hendo,24/8/1970,"5' 11""","74""",Orthodox,282.0,,
2335498,Rich Franklin,Ace,5/10/1974,"6' 1""","76""",Southpaw,,,
2335513,Chris Leben,The Crippler,21/7/1980,"5' 11""","73""",Southpaw,1532.0,USA,
2335514,Mauricio Rua,Shogun,25/11/1981,"6' 1""","76""",Orthodox,3427.0,Brazil,Striker
2335515,Mark Coleman,The Hammer,20/12/1964,"6' 1""","75""",Orthodox,,,
2335516,Alistair Overeem,The Demolition Man,17/5/1980,"6' 4""","80""",Orthodox,3827.0,Netherlands,Striker
2335517,Kazuhiro Nakamura,Kaz,16/7/1979,"5' 11""","70""",Orthodox,363.0,,
2335518,Kevin Randleman,The Monster,10/8/1971,"5' 10""",,Orthodox,150.0,,
2335519,Cyrille Diabate,Snake,10/6/1973,"6' 6""","81""",Southpaw,645.0,France,
2335520,Ricardo Arona,The Brazilian Tiger,17/7/1978,"5' 11""",,Orthodox,,,
2335521,Antonio Rodrigo Nogueira,Minotauro,2/6/1976,"6' 3""","77""",Orthodox,24.0,Brazil,Brazilian Jiu-Jitsu
2335522,Forrest Griffin,,1/7/1979,"6' 3""","77""",Orthodox,61.0,,
2335523,Vernon White,Tiger,3/12/1971,"6' 0""",,Southpaw,1725.0,,
2335524,Lyoto Machida,The Dragon,30/5/1978,"6' 1""","74""",Southpaw,164.0,Brazil,Karate
2335525,Stephan Bonnar,The American Psycho,4/4/1977,"6' 4""","79""",Orthodox,1006.0,,
2335526,Thiago Silva,,12/11/1982,"6' 1""","74""",Orthodox,10967.0,Brazil,Striker
2335527,Matt Hamill,The Hammer,5/10/1976,"6' 1""","76""",Orthodox,,,
2335528,Razak Al-Hassan,Razor,14/4/1983,"6' 2""",,Orthodox,,Ghana,
2335529,Houston Alexander,The Assassin,22/3/1972,"6' 0""","72""",Orthodox,426.0,USA,Striker
2335530,Ryan Bader,Darth,7/6/1983,"6' 2""","73""",Orthodox,910.0,USA,Wrestling
2335531,Tim Boetsch,The Barbarian,28/1/1981,"6' 0""","74""",Orthodox,7727.0,USA,Wrestling
2335532,Jason Brilz,The Hitman,7/7/1975,"5' 11""","71.5""",Orthodox,,,
2335602,Michael Bisping,The Count,28/2/1979,"6' 1""","75.5""",Orthodox,101.0,,
2335603,Sean Salmon,,9/11/1977,"5' 10""",,Southpaw,,,
2335604,Jason Lambert,The Punisher,23/9/1977,"6' 1""","75""",Orthodox,147.0,USA,
2335605,Sam Hoger,Alaskan Assassin,28/6/1980,"6' 2""",,Orthodox,,,
2335606,Brad Imes,The Hillbilly Heartthrob,16/3/1977,"6' 7""",,Orthodox,,,
2335608,Hector Ramirez,Sick Dog,28/3/1976,"6' 0""",,Orthodox,,USA,
2335610,Rameau Thierry Sokoudjou,The African Assassin,18/4/1984,"5' 10""","78""",Orthodox,282.0,Cameroon,Striker
2335627,David Heath,,2/10/1976,"5' 11""","72.5""",Orthodox,,,
2335629,BJ Penn,The Prodigy,13/12/1978,"5' 9""","70""",Orthodox,1.0,USA,Brazilian Jiu-Jitsu
2335633,Steve Cantwell,The Robot,8/12/1986,"6' 2""","75""",Orthodox,1006.0,,
2335634,Luiz Cane,Banha,2/4/1981,"6' 2""","77""",Southpaw,908.0,,
2335635,Jason DeLucia,,,"5' 11""",,Southpaw,,,
2335636,Tomasz Drwal,Gorilla,22/1/1982,"6' 1""","76""",Orthodox,147.0,Poland,Striker
2335637,Andre Gusmao,,,"6' 2""",,Orthodox,,,
2335638,Art Jimmerson,,,"6' 1""",,Orthodox,,,
2335639,Jon Jones,Bones,19/7/1987,"6' 4""","84.5""",Orthodox,7728.0,USA,"Wrestling,Muay Thai,Striker"
2335640,Kyle Kingsbury,Kingsbu,22/3/1982,"6' 4""","79""",Orthodox,22.0,,
2335641,Tom Lawlor,Filthy,15/5/1983,"6' 0""","75""",Southpaw,830.0,USA,Wrestling
