id,name,city,state,country,is_indoor
20,Times Union Center,Albany,NY,USA,1
112,Blue Cross Arena,Rochester,NY,,1
241,Bojangles Coliseum,Charlotte,NC,,1
326,Mobile Civic Center,Mobile,AL,,1
352,Omaha Civic Auditorium,Omaha,NE,,1
516,American Airlines Center,Dallas,TX,,1
687,VyStar Veterans Memorial Arena,Jacksonville,FL,USA,1
697,Pechanga Arena,San Diego,CA,,1
722,Jim Whelan Boardwalk Hall,Atlantic City,NJ,USA,1
780,Frost Bank Center,San Antonio,TX,,1
892,Ball Arena,Denver,CO,,1
914,Save Mart Center,Fresno,CA,,1
977,Allstate Arena,Rosemont,IL,USA,1
985,Smoothie King Center,New Orleans,LA,USA,1
999,PNC Arena,Raleigh,NC,,1
1051,Cox Pavilion,Las Vegas,NV,,1
1245,The Arena at Gwinnett Center,Duluth,GA,USA,1
1363,Colisee Pepsi,Quebec City,PQ,,1
1392,FedExForum,Memphis,TN,,1
1394,Toyota Center (Houston),Houston,TX,,1
1396,Amalie Arena,Tampa,FL,USA,1
1397,Canada Life Centre,Winnipeg,MB,,1
1403,MGM Grand,Las Vegas,NV,,1
1638,US Bank Arena,Cincinnati,OH,,1
1653,SAP Center at San Jose,San Jose,CA,USA,1
1822,Rogers Centre,Toronto,ON,,1
1823,Capital One Arena,Washington,DC,USA,1
1824,TD Garden,Boston,MA,USA,1
1825,Nassau Veterans Memorial Coliseum,Uniondale,NY,USA,1
1826,Prudential Center,Newark,NJ,USA,1
1827,State Farm Arena,Atlanta,GA,,1
1828,Nationwide Arena,Columbus,OH,,1
1829,Gila River Arena,Glendale,AZ,,1
1830,Madison Square Garden,New York,NY,USA,1
1831,Bell Centre,Montreal,PQ,Canada,1
1832,Canadian Tire Centre,Ottawa,ON,,1
1833,Rogers Arena,Vancouver,BC,,1
1834,Bridgestone Arena,Nashville,TN,,1
1837,PPG Paints Arena,Pittsburgh,PA,,1
1838,Scotiabank Arena,Toronto,ON,,1
1839,Enterprise Center,St. Louis,MO,,1
1840,BB&T Center,Sunrise,FL,,1
1841,crypto.com Arena,Los Angeles,CA,,1
1842,Honda Center,Anaheim,CA,,1
1843,Scotiabank Saddledome,Calgary,AB,,1
1845,Wells Fargo Center,Philadelphia,PA,,1
1847,United Center,Chicago,IL,,1
1848,KeyBank Center,Buffalo,NY,USA,1
1893,Spectrum Center,Charlotte,NC,,1
1894,SaskTel Centre,Saskatoon,SK,Canada,1
1911,BOK Center,Tulsa,OK,,1
1940,Chartway Arena,Norfolk,VA,,1
1949,Footprint Center,Phoenix,AZ,,1
2029,Target Center,Minneapolis,MN,,1
2030,KFC Yum! Center,Louisville,KY,USA,1
2041,Yuengling Center,Tampa,FL,USA,1
2099,BMO Harris Bradley Center,Milwaukee,WI,,1
2160,Mohegan Sun Arena,Uncasville,CT,USA,1
2167,EagleBank Arena,Fairfax,VA,,1
2183,Bankers Life Fieldhouse,Indianapolis,IN,,1
2184,KeyArena,Seattle,WA,USA,1
2195,Frank Erwin Center,Austin,TX,USA,1
2214,Ericsson Globe,Stockholm,,,1
2215,O2 World (Berlin),Berlin,,,1
2229,Idaho Central Arena,Boise,ID,,1
2233,Mandalay Bay,Las Vegas,NV,,1
2243,Yoyogi National Gymnasium,Tokyo,,,1
2247,Sleep Train Arena,Sacramento,CA,,1
2251,Yokohama Arena,Yokohama,,,1
2464,1stBank Center,Broomfield,CO,,1
2465,Oracle Arena,Oakland,CA,,1
2467,Fair Park Arena,Birmingham,AL,,1
2469,Boutwell Auditorium,Birmingham,AL,,1
2470,Dothan Civic Center,Dothan,AL,USA,1
2505,The Forum (USA),Los Angeles,CA,,1
