bout_id,round,judge_id,judge_order,fighter_1_score,fighter_2_score
42,1,3.0,1,1.0,
42,Total,3.0,1,1.0,0.0
42,1,1.0,2,1.0,
42,Total,1.0,2,1.0,0.0
42,1,2.0,3,1.0,
42,Total,2.0,3,1.0,0.0
43,1,3.0,1,1.0,
43,Total,3.0,1,1.0,0.0
43,1,1.0,2,1.0,
43,Total,1.0,2,1.0,0.0
43,1,2.0,3,1.0,
43,Total,2.0,3,1.0,0.0
44,1,3.0,1,1.0,
44,Total,3.0,1,1.0,0.0
44,1,1.0,2,1.0,
44,Total,1.0,2,1.0,0.0
44,1,2.0,3,1.0,
44,Total,2.0,3,1.0,0.0
78,1,5.0,1,1.0,
78,Total,5.0,1,1.0,0.0
78,1,4.0,2,1.0,
78,Total,4.0,2,1.0,0.0
78,1,6.0,3,1.0,
78,Total,6.0,3,1.0,0.0
95,1,9.0,1,1.0,
95,Total,9.0,1,1.0,0.0
95,1,7.0,2,,1.0
95,Total,7.0,2,0.0,1.0
95,1,8.0,3,1.0,
95,Total,8.0,3,1.0,0.0
97,1,10.0,1,1.0,
97,Total,10.0,1,1.0,0.0
97,1,3.0,2,1.0,
97,Total,3.0,2,1.0,0.0
97,1,8.0,3,1.0,
97,Total,8.0,3,1.0,0.0
114,1,1.0,1,1.0,
114,Total,1.0,1,1.0,0.0
114,1,8.0,2,1.0,
114,Total,8.0,2,1.0,0.0
114,1,11.0,3,1.0,
114,Total,11.0,3,1.0,0.0
116,1,1.0,1,1.0,
116,Total,1.0,1,1.0,0.0
116,1,8.0,2,1.0,
116,Total,8.0,2,1.0,0.0
116,1,11.0,3,1.0,
116,Total,11.0,3,1.0,0.0
132,1,3.0,1,1.0,
132,Total,3.0,1,1.0,0.0
132,1,12.0,2,1.0,
132,Total,12.0,2,1.0,0.0
132,1,11.0,3,1.0,
132,Total,11.0,3,1.0,0.0
140,1,3.0,1,1.0,
140,Total,3.0,1,1.0,0.0
140,1,13.0,2,1.0,
140,Total,13.0,2,1.0,0.0
140,1,11.0,3,1.0,
140,Total,11.0,3,1.0,0.0
149,1,3.0,1,1.0,
149,Total,3.0,1,1.0,0.0
149,1,12.0,2,1.0,
149,Total,12.0,2,1.0,0.0
149,1,14.0,3,1.0,
149,Total,14.0,3,1.0,0.0
155,1,3.0,1,1.0,
155,Total,3.0,1,1.0,0.0
155,1,12.0,2,1.0,
155,Total,12.0,2,1.0,0.0
155,1,14.0,3,1.0,
155,Total,14.0,3,1.0,0.0
156,1,3.0,1,1.0,
156,Total,3.0,1,1.0,0.0
156,1,12.0,2,,1.0
156,Total,12.0,2,0.0,1.0
156,1,13.0,3,1.0,
156,Total,13.0,3,1.0,0.0
159,1,3.0,1,1.0,
159,Total,3.0,1,1.0,0.0
159,1,12.0,2,1.0,
159,Total,12.0,2,1.0,0.0
159,1,13.0,3,1.0,
159,Total,13.0,3,1.0,0.0
164,1,33.0,1,1.0,
164,Total,33.0,1,1.0,0.0
164,1,17.0,2,1.0,
164,Total,17.0,2,1.0,0.0
164,1,16.0,3,1.0,
164,Total,16.0,3,1.0,0.0
169,1,33.0,1,1.0,
169,Total,33.0,1,1.0,0.0
169,1,17.0,2,1.0,
169,Total,17.0,2,1.0,0.0
169,1,16.0,3,1.0,1.0
169,Total,16.0,3,1.0,1.0
173,1,3.0,1,,1.0
173,Total,3.0,1,0.0,1.0
173,1,12.0,2,1.0,
173,Total,12.0,2,1.0,0.0
173,1,18.0,3,1.0,
173,Total,18.0,3,1.0,0.0
176,1,3.0,1,1.0,
176,Total,3.0,1,1.0,0.0
176,1,12.0,2,1.0,
176,Total,12.0,2,1.0,0.0
176,1,18.0,3,1.0,
176,Total,18.0,3,1.0,0.0
178,1,3.0,1,1.0,
178,Total,3.0,1,1.0,0.0
178,1,19.0,2,1.0,
178,Total,19.0,2,1.0,0.0
178,1,18.0,3,1.0,
178,Total,18.0,3,1.0,0.0
180,1,3.0,1,1.0,
180,Total,3.0,1,1.0,0.0
180,1,19.0,2,1.0,
180,Total,19.0,2,1.0,0.0
180,1,18.0,3,1.0,
180,Total,18.0,3,1.0,0.0
184,1,3.0,1,1.0,
184,Total,3.0,1,1.0,0.0
184,1,19.0,2,,1.0
184,Total,19.0,2,0.0,1.0
184,1,18.0,3,1.0,
184,Total,18.0,3,1.0,0.0
190,1,20.0,1,1.0,
190,Total,20.0,1,1.0,0.0
190,1,12.0,2,1.0,
190,Total,12.0,2,1.0,0.0
190,1,21.0,3,1.0,
190,Total,21.0,3,1.0,0.0
191,1,20.0,1,,
191,Total,20.0,1,0.0,0.0
191,1,12.0,2,,
191,Total,12.0,2,0.0,0.0
191,1,21.0,3,,
191,Total,21.0,3,0.0,0.0
197,1,23.0,1,1.0,
197,Total,23.0,1,1.0,0.0
197,1,22.0,2,1.0,
197,Total,22.0,2,1.0,0.0
197,1,24.0,3,1.0,
197,Total,24.0,3,1.0,0.0
199,1,23.0,1,,1.0
199,Total,23.0,1,0.0,1.0
199,1,22.0,2,1.0,
199,Total,22.0,2,1.0,0.0
199,1,24.0,3,1.0,
199,Total,24.0,3,1.0,0.0
200,1,23.0,1,1.0,
200,Total,23.0,1,1.0,0.0
200,1,22.0,2,1.0,
200,Total,22.0,2,1.0,0.0
200,1,24.0,3,1.0,
200,Total,24.0,3,1.0,0.0
205,1,26.0,1,1.0,
205,Total,26.0,1,1.0,0.0
205,1,25.0,2,1.0,
205,Total,25.0,2,1.0,0.0
205,1,12.0,3,1.0,
205,Total,12.0,3,1.0,0.0
215,1,23.0,1,,1.0
215,Total,23.0,1,0.0,1.0
215,1,27.0,2,1.0,
215,Total,27.0,2,1.0,0.0
215,1,25.0,3,1.0,
215,Total,25.0,3,1.0,0.0
217,1,28.0,1,,
217,2,28.0,1,,
217,Total,28.0,1,1.0,0.0
217,1,29.0,2,,
217,2,29.0,2,,
217,Total,29.0,2,1.0,0.0
217,1,18.0,3,,
217,2,18.0,3,,
217,Total,18.0,3,1.0,0.0
226,1,27.0,1,,
226,2,27.0,1,,
226,Total,27.0,1,0.0,0.0
226,1,12.0,2,,
226,2,12.0,2,,
226,Total,12.0,2,0.0,0.0
226,1,30.0,3,,
226,2,30.0,3,,
226,Total,30.0,3,0.0,0.0
228,1,27.0,1,,
228,2,27.0,1,,
228,3,27.0,1,,
228,Total,27.0,1,1.0,0.0
228,1,12.0,2,,
228,2,12.0,2,,
228,3,12.0,2,,
228,Total,12.0,2,1.0,0.0
228,1,30.0,3,,
228,2,30.0,3,,
228,3,30.0,3,,
