id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,event_order
ufc-1-the-beginning,,7,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 1: The Beginning,1
ufc-2-no-way-out,,8,,,https://en.wikipedia.org/wiki/UFC_2,UFC 2: No Way Out,2
ufc-3-the-american-dream,,9,,,https://en.wikipedia.org/wiki/UFC_3,UFC 3: The American Dream,3
ufc-4-revenge-of-the-warriors,,10,,,https://en.wikipedia.org/wiki/UFC_4,UFC 4: Revenge of the Warriors,4
ufc-5-return-of-the-beast,,11,,,https://en.wikipedia.org/wiki/UFC_5,UFC 5: Return of the Beast,5
ufc-6-clash-of-the-titans,,12,,,https://en.wikipedia.org/wiki/UFC_6,UFC 6: Clash of the Titans,6
ufc-7-the-brawl-in-buffalo,,13,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 7: The Brawl in Buffalo,7
ufc-75-ultimate-ultimate-1995,,14,,,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1995,UFC 7.5: Ultimate Ultimate 1995,8
ufc-8-david-vs-goliath,,15,,,https://en.wikipedia.org/wiki/UFC_8,UFC 8: David vs Goliath,9
ufc-9-motor-city-madness,,16,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 9: Motor City Madness,10
ufc-10-the-tournament,,17,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 10: The Tournament,11
ufc-11-the-proving-ground,,18,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 11: The Proving Ground,12
ufc-115-ultimate-ultimate-1996,,19,,,https://en.wikipedia.org/wiki/Ultimate_Ultimate_1996,UFC 11.5: Ultimate Ultimate 1996,13
ufc-12-judgement-day,,20,,,https://en.wikipedia.org/wiki/UFC_12,UFC 12: Judgement Day,14
ufc-13-ultimate-force,,21,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 13: Ultimate Force,15
ufc-14-showdown,,22,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 14: Showdown,16
ufc-15-collision-course,,23,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 15: Collision Course,17
ufc-155-ultimate-japan,,24,,,https://en.wikipedia.org/wiki/UFC_Japan,UFC 15.5: Ultimate Japan,18
ufc-16-battle-in-the-bayou,,25,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 16: Battle in the Bayou,19
ufc-17-redemption,,26,,,https://en.wikipedia.org/wiki/UFC_17,UFC 17: Redemption,20
ufc-175-ultimate-brazil,,27,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 17.5: Ultimate Brazil,21
ufc-18-the-road-to-the-heavyweight-title,,28,,,https://en.wikipedia.org/wiki/UFC_18,UFC 18: The Road to the Heavyweight Title,22
ufc-19-ultimate-young-guns,,29,,,https://en.wikipedia.org/wiki/UFC_19,UFC 19: Ultimate Young Guns,23
ufc-20-battle-for-the-gold,,30,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 20: Battle for the Gold,24
ufc-21-return-of-the-champions,,31,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 21: Return of the Champions,25
ufc-22-only-one-can-be-champion,,32,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 22: Only One Can be Champion,26
ufc-23-ultimate-japan-2,,33,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 23: Ultimate Japan 2,27
ufc-24-first-defense,,34,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 24: First Defense,28
ufc-25-ultimate-japan-3,,35,,,https://en.wikipedia.org/wiki/UFC_25,UFC 25: Ultimate Japan 3,29
ufc-26-ultimate-field-of-dreams,,36,,,https://en.wikipedia.org/wiki/UFC_26,UFC 26: Ultimate Field of Dreams,30
ufc-27-ultimate-bad-boyz,,37,,,https://en.wikipedia.org/wiki/UFC_27,UFC 27: Ultimate Bad Boyz,31
ufc-28-high-stakes,,38,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 28: High Stakes,32
ufc-29-defense-of-the-belts,,39,,,https://en.wikipedia.org/wiki/UFC_29,UFC 29: Defense of the Belts,33
ufc-30-battle-on-the-boardwalk,,40,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 30: Battle on the Boardwalk,34
ufc-31-locked-and-loaded,,282,,,https://en.wikipedia.org/wiki/UFC_31,UFC 31: Locked and Loaded,35
ufc-32-showdown-in-the-meadowlands,,429,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 32: Showdown in the Meadowlands,36
ufc-33-victory-in-vegas,,430,,,https://en.wikipedia.org/wiki/Ultimate_Fighting_Championship,UFC 33: Victory in Vegas,37
