id,name,name_alternative,location,parent_id,parent_name
1-tristar-gym,Tristar Gym,,"Montreal, Quebec, Canada",,
10-arrachion-olsztyn,Arrachion Olsztyn,,"Olsztyn, Poland",,
10009-chunbo-mixed-martial-arts-club,Chunbo Mixed Martial Arts Club,"广州春波综合格斗俱乐部, Windmill Jiu Jitsu","Guangzhou, Guangdong, China",,
10026-mafia-013,DAMAS 013,,"Santos, Sao Paulo, Brazil",,
10030-outsiders-combat-club,Outsiders Combat Club,,"Oklahoma City, Oklahoma",,
1004-rusfighters-mma,RusFighters MMA,"RusFighters Sport Club Gym, Спортивная команда","St. Petersburg, Russia",,
1005-wajyutsu-keisyukai,Wajutsu Keishukai Tokyo,"和術慧舟會, 和術慧舟會RJW, 和術慧舟會 東京道場, Wajutsu Keishukai Tokyo Headquarters, Wajutsu Keishukai Tokyo","Koto, Tokyo, Japan",,
10093-real-kombat-technique,Real Kombat Technique,RKT,"Brasilia, Federal District, Brazil",,
10094-ct-wr,CT WR,"WR Team, Centro de Treinamento WR","Vicosa, Minas Gerais, Brazil",,
1010-tag-mma,TAG MMA,TAG Mixed Martial Arts,"Morganfield, KY",,
10139-fifty-50-martial-arts-academy,Fifty/50 Martial Arts Academy,,"Falls Church, Virginia",,
10170-woirin-team-elite,Woirin Team Elite,WTE,France,,
10184-10th-planet-austin,10th Planet Austin,,"Austin, Texas",228-10th-planet-jiu-jitsu,10th Planet Jiu Jitsu
1019-para-bellum-mma,Para Bellum MMA,,"Oakville, Ontario, Canada",,
10218-ecr-fight-center,ECR Fight Center,Bujutsu Jiu Jitsu,"Cancun, Quintana Roo, Mexico",,
1022-team-shredder,Team Shredder,,"Sudbury, Ontario, Canada",,
1028-pure-fitness-mma,Pure Fitness MMA,,"Red Deer, Alberta, Canada",,
1030-krepost-fight-club,Krepost Fight Club,,"Moscow, Russia",,
10310-american-combat-gym,American Combat Gym,,"Boca Raton, Florida",,
1035-advanced-martial-arts,Advanced Martial Arts,,"North Brunswick, New Jersey",,
10372-team-kioshi,Team Kioshi,Team Kioshi BJJ,"Itapetininga, Sao Paulo, Brazil",,
10375-gordin-fight-team,Gordin Fight Team,,"Belo Horizonte, Minas Gerais, Brazil",,
10377-brazilian-black-thai,Brazilian Black Thai,BBT,"Jundiaí, São Paulo, Brazil",,
10378-cwb-fighter,CWB Fighter,,"Duque de Caxias, Rio de Janeiro, Brazil",,
10386-fighting-nerds,Fighting Nerds,The Fighting Nerds Combat Club,"Sao Paulo, Sao Paulo, Brazil",,
10396-bangtao-muay-thai-mma,Bangtao Muay Thai & MMA,,"Phuket, Thailand",,
10400-bulgarian-top-team,Bulgarian Top Team,,"Sofia, Bulgaria",,
1046-impact-jiu-jitsu,Impact Jiu Jitsu,Impact Jiu-Jitsu,"Beaverton, Oregon",,
10470-muradov-legion-team,Muradov Legion Team,,"Tashkent, Uzbekistan",,
10476-fighters-angels,Fighters Angels,,"Venice, Italy",,
10481-alfa-team,Alfa Team,,"Córdoba, Argentina",,
10526-range-martial-arts-academy,Range Martial Arts Academy,Gloucester Range Fighters,"Gloucester, England",,
10528-soma-fight-club,Soma Fight Club,,Bali,,
1054-rose-city-fc,Rose City FC,,"Portland, Oregon",,
10559-frey-mma,Frey MMA,,"Fort Worth, Texas, USA",,
1057-sports-lab,Sports Lab,,"Portland, Oregon",,
1059-team-quest-portland,Team Quest Portland,,"Portland, Oregon",902-team-quest,Team Quest
1066-amc-pankration,AMC Pankration,,"Kirkland, Washington",,
10661-galpao-da-luta,Galpão da Luta,Galpao da Luta,"Salvador, Bahia, Brazil",,
10681-brothers-of-life-mma,Brothers of Life MMA,,"Mar de Plata, Argentina",,
10684-american-top-team-brasil,American Top Team Brasil,ATT Brasil,"Curitiba, Paraná, Brazil",,
10701-team-lucas-mineiro,Team Lucas Mineiro,Team Mineiro,"São Paulo, Brazil",,
10702-amazon-school,Amazon School,,"São Paulo, Brazil",,
1075-c3-mma,Charlie's Combat Club,,"Everett, Washington",,
10750-carolina-combat-sports-and-fitness,Carolina Combat Sports and Fitness,,"Indian Trail, North Carolina",,
10760-fight4life-home,Fight4Life Home,,"Alboraya, Valencia, Spain",,
1077-combat-sport-fitness,Combat Sport & Fitness,,"Enumclaw, Washington",,
10792-orion-mma-academy,Orion MMA Academy,,"Tønsberg, Norway",,
10799-mma-013,Insanis MMA 013,,"Guarujá, São Paulo, Brazil",,
108-team-alpha-male,Team Alpha Male,Urijah Faber's Ultimate Fitness,"Sacramento, California",,
10810-pharaohs-muay-thai,Pharaohs Muay Thai,,"Sparta, New Jersey",,
10830-top-team-salzburg,Top Team Salzburg,,"Salzburg, Austria",,
1084-gladiator-mma,Gladiator MMA,,"Vancouver, Washington",,
10848-10th-planet-jiu-jitsu-bethlehem,10th Planet Jiu Jitsu Bethlehem,Finishers MMA,"Bethlehem, Pennsylvania",766-10th-planet-jiu-jitsu-van-nuys,10th Planet Jiu Jitsu Van Nuys
10851-pat-smith-s-pit,Pat Smith's Pit,,"Cuba, Missouri",,
10858-new-england-cartel,New England Cartel,,"Haverhill, Massachusetts",,
10877-budapest-top-team,Budapest Top Team,,"Budapest, Hungary",,
10883-dar-pro-team-kazakhstan,Dar Pro Team Kazakhstan,Darteam,"Almaty, Kazakhstan",,
10911-black-lion-jiu-jitsu-academy,Black Lion Jiu Jitsu Academy,Team Kroyler Gracie,"Byron Center, Michigan",,
1096-ring-demon-jiu-jitsu,Ring Demon Mixed Martial Arts Academy,Ring Demon MMA,"Kent, Washington",,
10971-lion-club-comrat,Lion Club Comrat,Lion Fight Academy,"Comrat, Moldova",,
1098-sikjitsu,Sikjitsu,Sik-jitsu,"Spokane, Washington",,
1102-united-training-center,United Training Center,UTC MMA,"Olympia, Washington",,
1104-victory-athletics,Victory Athletics,,"Lakewood, Washington",,
