id,event_id,bout_order,red_fighter_id,blue_fighter_id,red_outcome,blue_outcome,weight_class,type_verbose,performance_bonus,outcome_method,outcome_method_details,end_round,end_round_time_seconds,round_time_format,total_time_seconds
567a09fd200cfa05,6420efac0578988b,1,279093302a6f44b3,96eff1a628adcc7f,W,L,Open Weight,Open Weight Bout,0,KO/TKO,Kick to Head On Ground,1,26,No Time Limit,26
2d2bbc86e941e05c,6420efac0578988b,2,598a58db87b890ee,d3711d3784b76255,W,L,Open Weight,Open Weight Bout,0,KO/TKO,to Corner Stoppage,1,260,No Time Limit,260
cecdc0da584274b9,6420efac0578988b,3,429e7d3725852ce9,a5c53b3ddb31cc7d,W,L,Open Weight,Open Weight Bout,0,Submission,Other Position - Mount,1,138,No Time Limit,138
46acd54cc0c905fb,6420efac0578988b,4,63b65af1c5cb02cb,46c8ec317aff28ac,W,L,Open Weight,Open Weight Bout,0,Submission,Heel Hook From Guard,1,109,No Time Limit,109
ac7ca2ec38b96c1a,6420efac0578988b,5,279093302a6f44b3,598a58db87b890ee,W,L,Open Weight,Open Weight Bout,0,KO/TKO,to Corner Stoppage,1,59,No Time Limit,59
ffd16691c4c4aafc,6420efac0578988b,6,429e7d3725852ce9,63b65af1c5cb02cb,W,L,Open Weight,Open Weight Bout,0,Submission,Rear Naked Choke,1,57,No Time Limit,57
00b0796724ec1c09,6420efac0578988b,7,6ceff86fae4f6b3b,02fc8f50f56eb307,W,L,Open Weight,Open Weight Bout,0,Submission,Rear Naked Choke,1,52,No Time Limit,52
64139d1d505e46c5,6420efac0578988b,8,429e7d3725852ce9,279093302a6f44b3,W,L,Open Weight,UFC 1 Tournament Title Bout,0,Submission,Rear Naked Choke,1,104,No Time Limit,104
4acab67848e78327,a6a9ab5a824e8f66,1,be9d259be012e8a4,a683f9ddb70aa4bd,W,L,Open Weight,Open Weight Bout,0,Submission,Guillotine Choke From Mount,1,20,No Time Limit,20
4b9ae533ccb3fcdf,a6a9ab5a824e8f66,2,46c8ec317aff28ac,ea0ad155451ed1f5,W,L,Open Weight,Open Weight Bout,0,Submission,Guillotine Choke Standing,1,58,No Time Limit,58
