event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,949.18,5,61.8,10.98
4512e46543b960ad,901.55,11,140.97,42.52
6a8a06b542e1516d,900.79,16,171.82,72.61
865aa315ea62c511,865.63,20,206.98,72.61
b4ad3a06ee4d660c,838.06,24,234.55,72.61
20e403a1acfef130,844.69,29,263.9,108.59
47b7e4e60813b7b2,833.82,34,309.64,143.46
c0231720fe516994,844.21,39,374.16,218.37
e7bfdb5e0112891e,822.25,41,396.12,218.37
ed069a95aaaf4f56,838.48,50,470.34,308.82
bc7f7f0ba3db74d2,823.12,51,485.7,308.82
5df10509264586e5,812.71,54,522.69,335.4
1c7cce2f5c17160d,807.83,60,575.14,382.97
1507214bbc7a79e2,783.45,64,616.43,399.88
90e7447d8b7f3f35,776.41,68,638.26,414.67
353de740bb6c7e75,728.91,75,685.76,414.67
99bf06f20491cb54,720.73,84,752.34,473.07
23bd78c3f89bdb54,738.86,89,790.91,529.77
686cccbf1a4de453,717.46,92,812.31,529.77
d7907a9a968e4d29,731.48,98,869.23,600.71
9f3d6ddef3d3cccc,712.52,104,910.23,622.75
ff9578cdbfabd323,734.73,110,941.73,676.46
f4a031ac205ac580,689.11,116,999.45,688.56
a3244e3238541482,689.11,116,999.45,688.56
d86e913c548c07c2,777.03,122,1043.14,820.17
1979c80150f630c4,791.13,124,1058.98,850.11
9211aae062b799d6,749.96,128,1100.15,850.11
cc5834a495d1ea08,728.68,134,1136.41,865.09
d6b68eaf4b68b160,720.24,138,1166.56,886.8
a7724f51e32e763e,710.92,143,1187.73,898.65
a25b71fe5e31fa97,708.59,151,1248.12,956.71
d856a0080ac09ed7,696.23,156,1276.5,972.73
caced97768818230,693.96,162,1307.39,1001.35
e7bc606d269896aa,710.88,168,1340.8,1051.68
30e8b4505f5ccf92,748.96,172,1380.73,1129.69
9e30f69cc0869301,744.46,177,1412.15,1156.61
bcd124bcd3d5be46,688.43,183,1468.18,1156.61
eaa0a728cc91ef60,689.26,189,1495.53,1184.79
04076783ca83d6ae,683.01,191,1506.07,1189.08
fc1868f56d3036eb,749.52,194,1557.27,1306.79
02177caefe7c07d4,800.96,201,1621.94,1422.9
602bb270f2bdbf02,810.06,206,1666.03,1476.09
7cf20446453f852b,854.04,215,1733.74,1587.78
15515e797aedc137,894.01,220,1775.79,1669.8
d181689653115b6a,874.6,225,1819.32,1693.92
daa89f01e1c0f42a,869.17,230,1852.43,1721.6
7929be8290289a47,839.4,234,1886.59,1725.99
eed2b71d77d95416,908.71,239,1921.42,1830.13
49e7e05f902479ca,884.43,243,1983.36,1867.79
620be7e0712d431b,849.49,246,2018.3,1867.79
ad99fa5325519169,846.96,251,2049.48,1896.44
67ec58d7cf599835,806.57,255,2089.87,1896.44
3144121470023e9a,788.29,263,2140.67,1928.96
f5990c11974d8e9c,851.48,268,2186.76,2038.24
d29b5c4f22c6357d,851.48,268,2186.76,2038.24
2eae41f61776c60f,808.28,272,2229.96,2038.24
ac5f67109accb482,779.03,275,2259.21,2038.24
8215e4fe24e8e81b,774.84,280,2321.43,2096.27
35585d970300d45a,855.29,287,2373.17,2228.46
b45d6b73f4ca4467,882.41,293,2435.87,2318.28
4f732e58ed907eff,886.97,301,2499.89,2386.86
322a56923b396b4d,872.69,307,2551.41,2424.1
03b1e846b09f721d,867.07,312,2587.49,2454.56
c0342805a1948cbb,915.94,319,2644.53,2560.47
d5ae8074631762fc,945.01,323,2676.54,2621.55
8d49545dadf9b919,896.64,327,2724.91,2621.55
852454c572675334,886.22,334,2788.68,2674.9
1ef0eae31904e534,883.2,339,2850.96,2734.16
33a331684283900f,930.85,344,2903.01,2833.86
20821819c401ced8,924.5,349,2964.99,2889.49
42c96a9c4802e2e1,849.22,354,3040.27,2889.49
aa3153a9941b4d44,831.0,359,3083.22,2914.22
de25520d54eab12d,903.11,362,3112.68,3015.79
c7ac79839e86ce33,860.56,365,3155.23,3015.79
