event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,910.54,7,89.46,0.0
4512e46543b960ad,821.61,14,178.39,0.0
6a8a06b542e1516d,815.38,19,235.43,50.81
865aa315ea62c511,753.64,25,297.17,50.81
b4ad3a06ee4d660c,697.9,31,365.23,63.13
20e403a1acfef130,777.86,35,410.44,188.3
47b7e4e60813b7b2,779.88,43,476.76,256.64
c0231720fe516994,767.24,49,542.12,309.36
e7bfdb5e0112891e,756.09,54,600.7,356.79
ed069a95aaaf4f56,763.37,62,673.42,436.79
bc7f7f0ba3db74d2,735.06,68,724.22,459.28
5df10509264586e5,710.73,71,767.63,478.36
1c7cce2f5c17160d,729.37,78,828.6,557.97
1507214bbc7a79e2,703.93,84,883.16,587.09
90e7447d8b7f3f35,713.53,88,927.8,641.33
353de740bb6c7e75,643.43,96,997.9,641.33
99bf06f20491cb54,615.55,105,1061.84,677.39
23bd78c3f89bdb54,644.16,112,1114.04,758.2
686cccbf1a4de453,610.23,119,1158.56,768.79
d7907a9a968e4d29,585.05,125,1217.73,802.78
9f3d6ddef3d3cccc,577.49,131,1267.74,845.23
ff9578cdbfabd323,589.42,138,1320.52,909.94
f4a031ac205ac580,568.44,145,1374.92,943.36
a3244e3238541482,568.44,145,1374.92,943.36
d86e913c548c07c2,682.01,152,1430.8,1112.81
1979c80150f630c4,647.79,157,1470.72,1118.51
9211aae062b799d6,594.89,161,1523.62,1118.51
cc5834a495d1ea08,567.23,169,1568.33,1135.56
d6b68eaf4b68b160,535.0,174,1605.64,1140.64
a7724f51e32e763e,533.36,180,1640.05,1173.41
a25b71fe5e31fa97,523.71,189,1690.47,1214.18
d856a0080ac09ed7,517.09,196,1740.54,1257.63
caced97768818230,515.34,203,1783.37,1298.71
e7bc606d269896aa,502.79,210,1824.52,1327.31
30e8b4505f5ccf92,533.09,216,1871.88,1404.97
9e30f69cc0869301,495.01,222,1913.26,1408.27
bcd124bcd3d5be46,457.32,230,1960.75,1418.07
eaa0a728cc91ef60,463.26,236,1993.37,1456.63
04076783ca83d6ae,459.03,241,2012.71,1471.74
fc1868f56d3036eb,496.2,246,2054.96,1551.16
02177caefe7c07d4,523.3,252,2102.13,1625.43
602bb270f2bdbf02,526.6,258,2131.74,1658.34
7cf20446453f852b,544.69,266,2179.74,1724.43
15515e797aedc137,537.19,270,2220.05,1757.24
d181689653115b6a,506.08,274,2256.51,1762.59
daa89f01e1c0f42a,499.73,280,2305.64,1805.37
7929be8290289a47,478.43,287,2332.78,1811.21
eed2b71d77d95416,540.05,293,2371.65,1911.7
49e7e05f902479ca,565.3,298,2420.22,1985.52
620be7e0712d431b,536.01,303,2451.76,1987.77
ad99fa5325519169,532.48,306,2481.33,2013.81
67ec58d7cf599835,500.12,310,2513.69,2013.81
