event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,978.59,3,21.41,0.0
4512e46543b960ad,995.9,5,47.35,43.25
6a8a06b542e1516d,966.98,8,82.91,49.89
865aa315ea62c511,936.98,15,117.38,54.36
b4ad3a06ee4d660c,936.4,16,117.96,54.36
20e403a1acfef130,1010.93,19,161.13,172.06
47b7e4e60813b7b2,1025.27,24,186.68,211.95
c0231720fe516994,1026.88,29,249.57,276.45
e7bfdb5e0112891e,1053.0,31,272.28,325.28
ed069a95aaaf4f56,1098.03,38,331.23,429.26
bc7f7f0ba3db74d2,1106.57,43,373.63,480.2
5df10509264586e5,1101.49,45,378.71,480.2
1c7cce2f5c17160d,1087.72,47,392.48,480.2
1507214bbc7a79e2,1069.57,49,410.63,480.2
90e7447d8b7f3f35,1066.4,50,413.8,480.2
353de740bb6c7e75,1046.79,52,433.41,480.2
99bf06f20491cb54,1049.76,58,463.63,513.39
23bd78c3f89bdb54,1084.09,61,479.41,563.5
686cccbf1a4de453,1082.77,62,480.73,563.5
d7907a9a968e4d29,1084.12,64,512.37,596.49
9f3d6ddef3d3cccc,1147.58,69,592.23,739.81
ff9578cdbfabd323,1176.77,72,628.54,805.31
f4a031ac205ac580,1158.74,77,686.0,844.74
a3244e3238541482,1150.16,81,721.56,871.72
d86e913c548c07c2,1184.21,84,751.94,936.15
1979c80150f630c4,1159.96,87,776.19,936.15
9211aae062b799d6,1225.55,89,814.07,1039.62
cc5834a495d1ea08,1185.32,95,855.75,1041.07
d6b68eaf4b68b160,1199.54,96,867.6,1067.14
a7724f51e32e763e,1189.46,98,877.68,1067.14
a25b71fe5e31fa97,1199.86,103,932.73,1132.59
d856a0080ac09ed7,1257.77,109,1000.03,1257.8
caced97768818230,1256.18,113,1032.56,1288.74
e7bc606d269896aa,1213.36,115,1075.38,1288.74
30e8b4505f5ccf92,1213.36,115,1075.38,1288.74
9e30f69cc0869301,1201.52,119,1125.17,1326.69
bcd124bcd3d5be46,1173.29,123,1153.4,1326.69
eaa0a728cc91ef60,1166.58,125,1160.11,1326.69
04076783ca83d6ae,1175.57,126,1165.91,1341.48
fc1868f56d3036eb,1284.48,128,1235.7,1520.18
02177caefe7c07d4,1313.93,131,1276.02,1589.95
602bb270f2bdbf02,1339.19,137,1372.68,1711.87
7cf20446453f852b,1316.2,141,1414.48,1730.68
15515e797aedc137,1367.15,145,1476.22,1843.37
d181689653115b6a,1385.48,149,1495.84,1881.32
daa89f01e1c0f42a,1357.11,152,1524.21,1881.32
7929be8290289a47,1340.41,154,1540.91,1881.32
eed2b71d77d95416,1289.19,156,1592.13,1881.32
49e7e05f902479ca,1271.93,158,1622.85,1894.78
620be7e0712d431b,1257.87,159,1636.91,1894.78
ad99fa5325519169,1252.6,160,1642.18,1894.78
67ec58d7cf599835,1173.23,163,1721.55,1894.78
3144121470023e9a,1267.76,166,1776.09,2043.85
f5990c11974d8e9c,1352.92,170,1834.03,2186.95
d29b5c4f22c6357d,1317.69,173,1869.26,2186.95
2eae41f61776c60f,1259.5,176,1927.45,2186.95
ac5f67109accb482,1226.19,179,1960.76,2186.95
8215e4fe24e8e81b,1245.97,180,1977.24,2223.21
35585d970300d45a,1274.33,182,1996.26,2270.59
b45d6b73f4ca4467,1274.33,182,1996.26,2270.59
4f732e58ed907eff,1300.88,186,2036.48,2337.36
322a56923b396b4d,1305.59,189,2085.13,2390.72
03b1e846b09f721d,1300.36,191,2090.36,2390.72
c0342805a1948cbb,1268.13,195,2122.59,2390.72
d5ae8074631762fc,1314.49,199,2155.69,2470.18
8d49545dadf9b919,1304.2,201,2165.98,2470.18
852454c572675334,1267.92,203,2202.26,2470.18
1ef0eae31904e534,1338.05,206,2244.81,2582.86
33a331684283900f,1340.04,209,2260.7,2600.74
20821819c401ced8,1298.18,213,2304.71,2602.89
42c96a9c4802e2e1,1206.39,218,2396.5,2602.89
aa3153a9941b4d44,1165.45,222,2437.44,2602.89
