event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,965.42,5,81.7,47.12
4512e46543b960ad,855.96,9,191.16,47.12
6a8a06b542e1516d,806.63,15,295.62,102.25
865aa315ea62c511,752.03,18,350.22,102.25
b4ad3a06ee4d660c,735.83,20,366.42,102.25
20e403a1acfef130,845.76,28,470.86,316.62
47b7e4e60813b7b2,768.64,32,558.84,327.48
c0231720fe516994,770.16,38,636.02,406.18
e7bfdb5e0112891e,747.43,40,658.75,406.18
ed069a95aaaf4f56,800.83,46,739.37,540.2
bc7f7f0ba3db74d2,837.18,49,815.95,653.13
5df10509264586e5,828.98,50,824.15,653.13
1c7cce2f5c17160d,787.5,53,865.63,653.13
1507214bbc7a79e2,816.04,59,954.02,770.06
90e7447d8b7f3f35,829.1,62,977.02,806.12
353de740bb6c7e75,740.58,67,1065.54,806.12
99bf06f20491cb54,807.81,72,1163.23,971.04
23bd78c3f89bdb54,828.17,77,1235.77,1063.94
686cccbf1a4de453,787.03,81,1276.91,1063.94
d7907a9a968e4d29,780.92,87,1347.01,1127.93
9f3d6ddef3d3cccc,778.15,92,1425.65,1203.8
ff9578cdbfabd323,813.74,96,1516.93,1330.67
f4a031ac205ac580,787.16,101,1583.95,1371.11
a3244e3238541482,787.16,101,1583.95,1371.11
d86e913c548c07c2,881.9,107,1675.81,1557.71
1979c80150f630c4,932.59,111,1740.36,1672.95
9211aae062b799d6,907.92,117,1840.54,1748.46
cc5834a495d1ea08,907.92,117,1840.54,1748.46
d6b68eaf4b68b160,885.44,121,1890.92,1776.36
a7724f51e32e763e,837.4,126,1946.71,1784.11
a25b71fe5e31fa97,899.59,133,2121.37,2020.96
d856a0080ac09ed7,867.48,139,2212.95,2080.43
caced97768818230,835.21,143,2260.31,2095.52
e7bc606d269896aa,934.47,147,2336.62,2271.09
30e8b4505f5ccf92,965.85,150,2363.19,2329.04
9e30f69cc0869301,970.46,157,2442.12,2412.58
bcd124bcd3d5be46,912.55,164,2527.07,2439.62
eaa0a728cc91ef60,843.48,168,2607.94,2451.42
04076783ca83d6ae,841.41,171,2637.18,2478.59
fc1868f56d3036eb,1000.19,175,2765.1,2765.29
02177caefe7c07d4,1099.84,180,2888.15,2987.99
602bb270f2bdbf02,1045.24,185,3028.0,3073.24
7cf20446453f852b,1088.4,190,3086.12,3174.52
15515e797aedc137,1157.4,195,3223.0,3380.4
d181689653115b6a,1090.36,198,3290.04,3380.4
daa89f01e1c0f42a,1053.81,203,3437.34,3491.15
7929be8290289a47,984.41,207,3506.74,3491.15
eed2b71d77d95416,1024.2,210,3529.97,3554.17
49e7e05f902479ca,986.64,214,3649.08,3635.72
620be7e0712d431b,908.2,220,3738.54,3646.74
ad99fa5325519169,926.87,222,3774.79,3701.66
67ec58d7cf599835,832.78,228,3878.58,3711.36
3144121470023e9a,806.14,233,3926.3,3732.44
f5990c11974d8e9c,957.02,237,3989.46,3946.48
d29b5c4f22c6357d,876.08,242,4070.4,3946.48
2eae41f61776c60f,804.1,245,4142.38,3946.48
ac5f67109accb482,751.23,250,4195.25,3946.48
8215e4fe24e8e81b,733.43,255,4239.43,3972.86
35585d970300d45a,848.9,259,4316.31,4165.21
b45d6b73f4ca4467,902.49,262,4365.39,4267.88
4f732e58ed907eff,906.12,268,4425.57,4331.69
322a56923b396b4d,886.46,274,4498.09,4384.55
03b1e846b09f721d,876.0,279,4557.81,4433.81
c0342805a1948cbb,893.37,284,4629.16,4522.53
d5ae8074631762fc,935.95,287,4694.28,4630.23
8d49545dadf9b919,878.08,290,4752.15,4630.23
852454c572675334,896.88,297,4885.0,4781.88
1ef0eae31904e534,991.52,301,4973.31,4964.83
33a331684283900f,1033.05,305,5025.01,5058.06
20821819c401ced8,1033.05,305,5025.01,5058.06
42c96a9c4802e2e1,837.13,312,5220.93,5058.06
aa3153a9941b4d44,842.89,317,5337.49,5180.38
de25520d54eab12d,882.67,321,5372.68,5255.35
c7ac79839e86ce33,834.36,325,5420.99,5255.35
d1d20e651e6cbc02,832.51,331,5514.16,5346.67
2a74bbba57058f12,807.59,335,5543.86,5351.45
7a703c565ccaa18f,830.18,338,5566.8,5396.98
c046100aea0dba9a,841.76,342,5632.2,5473.96
d4da8995fc91e7ef,858.85,345,5676.53,5535.38
84283233ec42be5f,864.67,348,5730.17,5594.84
b5882371e2a3900d,852.8,349,5742.04,5594.84
a7a79b8efbceaaac,848.34,351,5758.2,5606.54
6546af7ab545b90c,958.87,356,5869.84,5828.71
2d5fbe2103f97053,966.98,360,5922.41,5889.39
e96d8538d3f9d0ed,930.28,364,6046.89,5977.17
80eacd4da0617c57,898.99,367,6095.04,5994.03
487c170da059857d,1259.31,373,6312.28,6571.59
9649d75defe0dedb,1276.7,378,6420.3,6697.0
b0550072e5f0afa7,1303.33,386,6605.38,6908.71
7dcf06c1967801c1,1368.54,390,6732.78,7101.32
c912f676692c353a,1389.59,395,6786.5,7176.09
351264d11286d09a,1302.08,399,6874.01,7176.09
9de7c97e1c0d7927,1464.7,406,7076.26,7540.96
6b8f28da9a483049,1464.7,406,7076.26,7540.96
cbc071cb20ea59c7,1658.26,410,7330.14,7988.4
e31502e3f79d00c5,1700.14,413,7463.05,8163.19
b16a7e6a627e9789,1587.15,419,7660.96,8248.11
c0c1bc0766df4c00,1641.16,423,7806.4,8447.56
6c9383ffab2725a5,1824.61,427,7951.15,8775.76
2f8f3c69522db931,1911.82,432,8119.1,9030.92
9e0f28d1f639ad73,2421.7,438,8437.23,9858.93
abcf7e55a0a9ed89,2697.84,440,8751.1,10448.94
03da33a102d9a45f,2744.63,445,9101.13,10845.76
e5d03e4d966126bd,2576.61,452,9570.07,11146.68
70167689d6a01793,2667.07,454,9750.09,11417.16
2c104b7e59a72629,2810.21,456,9876.28,11686.49
a79bfbc01b2264d6,3081.57,460,10133.65,12215.22
4834ff149dc9542a,3538.55,466,10638.03,13176.58
94a5aaf573f780ad,3387.38,469,11086.04,13473.42
1bf49bf829964144,3155.36,472,11318.06,13473.42
3cf68c1d17f66af7,2702.8,477,11788.58,13491.38
0941df56f6ac954b,2790.89,479,11861.69,13652.58
3ae10ac4df3df05c,2699.83,486,12255.14,13954.97
df05aa15b2d66f57,2781.71,490,12420.97,14202.68
fd87b1bbfcde9d5e,2966.05,494,12555.87,14521.92
8d5daf67983b65ba,2969.26,499,12666.0,14635.26
81ca2c245b19b3c5,2811.01,505,12950.2,14761.21
b09890ba7ce1d1e2,2751.13,509,13079.98,14831.11
4565d435005319c0,2751.13,509,13079.98,14831.11
74fefd43f073cd2f,3067.28,516,13524.3,15591.58
0c1773639c795466,3555.95,521,13838.76,16394.71
44aa652b181bcf68,3876.59,527,14374.6,17251.19
b26d3e3746fb4024,4285.4,531,14731.79,18017.19
5df17b3620145578,4713.56,536,15369.8,19083.36
33b2f68ef95252e0,4313.15,541,15776.65,19089.8
fc9a9559a05f2704,4757.29,543,16058.64,19815.93
0b5b6876c2a4723f,4773.07,546,16406.61,20179.68
53278852bcd91e11,4781.18,552,16861.46,20642.64
898337ef520fe4d3,4979.4,553,16960.57,20939.97
5f8e00c27b7e7410,4820.8,555,17119.17,20939.97
dfb965c9824425db,5216.85,560,17793.02,22009.87
14b9e0f2679a2205,5609.28,563,18237.76,22847.04
4c12aa7ca246e7a4,5838.26,567,18399.06,23237.32
1e13936d708bcff7,5588.76,572,18912.06,23500.82
2eab7a6c8b0ed8cc,5674.71,576,19309.81,23984.52
c32eab6c2119e989,5435.69,577,19548.83,23984.52
dbd198f780286aca,4948.92,583,20411.8,24360.72
18f5669a92e99d92,5516.09,589,21180.46,25696.55
ddbd0d6259ce57cc,5256.43,594,21832.33,26088.76
dde70a112e053a6c,5308.85,601,22537.95,26846.8
3746e21bb508391a,5177.94,603,22668.86,26846.8
7a82635ffa9b59fe,5204.46,606,22881.05,27085.51
bda04c573563cc2e,4834.44,609,23251.07,27085.51
af1e5c64b8663aa0,4817.23,612,23352.97,27170.2
e29cf523ebd155c5,4929.36,617,23754.82,27684.18
542db012217ecb83,4608.8,621,24111.44,27720.24
9c37681096c6f3a9,4608.8,621,24111.44,27720.24
831b937811804dad,4608.8,621,24111.44,27720.24
