event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,888.79,3,111.21,0.0
4512e46543b960ad,758.2,10,241.8,0.0
6a8a06b542e1516d,771.67,16,331.27,102.94
865aa315ea62c511,687.06,21,415.88,102.94
b4ad3a06ee4d660c,600.57,27,509.59,110.16
20e403a1acfef130,740.6,31,560.67,301.27
47b7e4e60813b7b2,796.12,35,625.9,422.02
c0231720fe516994,777.05,42,701.89,478.94
e7bfdb5e0112891e,793.27,49,788.7,581.97
ed069a95aaaf4f56,884.52,58,899.14,783.66
bc7f7f0ba3db74d2,854.06,63,1012.93,866.99
5df10509264586e5,823.2,65,1062.56,885.76
1c7cce2f5c17160d,783.38,71,1151.84,935.22
1507214bbc7a79e2,800.8,77,1229.97,1030.77
90e7447d8b7f3f35,787.44,81,1281.91,1069.35
353de740bb6c7e75,787.44,81,1281.91,1069.35
99bf06f20491cb54,783.8,89,1392.18,1175.98
23bd78c3f89bdb54,782.43,95,1491.41,1273.84
686cccbf1a4de453,679.02,101,1594.82,1273.84
d7907a9a968e4d29,614.92,107,1692.37,1307.29
9f3d6ddef3d3cccc,604.87,114,1772.33,1377.2
ff9578cdbfabd323,642.15,122,1856.09,1498.24
f4a031ac205ac580,680.54,125,1932.83,1613.37
a3244e3238541482,790.45,131,2020.26,1810.71
d86e913c548c07c2,921.38,140,2138.0,2059.38
1979c80150f630c4,866.98,146,2199.05,2066.03
9211aae062b799d6,846.98,152,2318.97,2165.95
cc5834a495d1ea08,748.11,159,2434.52,2182.63
d6b68eaf4b68b160,691.09,167,2508.0,2199.09
a7724f51e32e763e,707.05,173,2585.0,2292.05
a25b71fe5e31fa97,746.16,180,2679.08,2425.24
d856a0080ac09ed7,757.56,188,2785.58,2543.14
caced97768818230,832.27,193,2869.93,2702.2
e7bc606d269896aa,738.58,202,2991.29,2729.87
30e8b4505f5ccf92,700.51,209,3098.38,2798.89
9e30f69cc0869301,605.91,216,3192.98,2798.89
bcd124bcd3d5be46,547.07,223,3281.55,2828.62
eaa0a728cc91ef60,552.25,229,3345.54,2897.79
04076783ca83d6ae,540.88,233,3384.03,2924.91
fc1868f56d3036eb,591.67,240,3445.14,3036.81
02177caefe7c07d4,634.01,246,3528.86,3162.87
602bb270f2bdbf02,634.36,252,3606.52,3240.88
7cf20446453f852b,655.6,259,3684.9,3340.5
15515e797aedc137,648.03,264,3774.38,3422.41
d181689653115b6a,592.18,270,3837.08,3429.26
daa89f01e1c0f42a,575.96,276,3923.08,3499.04
7929be8290289a47,539.17,281,3959.87,3499.04
eed2b71d77d95416,552.83,285,3998.32,3551.15
49e7e05f902479ca,578.24,290,4051.09,3629.33
620be7e0712d431b,559.45,295,4094.37,3653.82
ad99fa5325519169,569.46,298,4136.44,3705.9
67ec58d7cf599835,512.27,304,4193.63,3705.9
3144121470023e9a,474.84,311,4249.05,3723.89
f5990c11974d8e9c,571.67,316,4305.59,3877.26
d29b5c4f22c6357d,493.38,323,4383.88,3877.26
2eae41f61776c60f,493.38,323,4383.88,3877.26
ac5f67109accb482,453.72,333,4456.85,3910.57
8215e4fe24e8e81b,480.93,340,4517.15,3998.08
35585d970300d45a,514.44,345,4557.55,4071.99
b45d6b73f4ca4467,557.49,351,4627.99,4185.48
4f732e58ed907eff,515.07,359,4704.77,4219.84
322a56923b396b4d,540.03,365,4777.51,4317.54
03b1e846b09f721d,551.49,371,4831.57,4383.06
c0342805a1948cbb,625.73,378,4901.73,4527.46
d5ae8074631762fc,722.11,383,4971.95,4694.06
8d49545dadf9b919,655.47,390,5038.59,4694.06
852454c572675334,672.21,397,5117.28,4789.49
1ef0eae31904e534,666.33,401,5175.83,4842.16
33a331684283900f,803.8,410,5262.85,5066.65
20821819c401ced8,766.11,416,5348.09,5114.2
42c96a9c4802e2e1,712.91,424,5462.05,5174.96
aa3153a9941b4d44,659.17,432,5563.66,5222.83
de25520d54eab12d,723.26,439,5655.16,5378.42
c7ac79839e86ce33,637.68,447,5752.87,5390.55
d1d20e651e6cbc02,738.6,454,5832.56,5571.16
2a74bbba57058f12,738.6,454,5832.56,5571.16
7a703c565ccaa18f,784.24,458,5905.68,5689.92
c046100aea0dba9a,853.28,464,5995.63,5848.91
d4da8995fc91e7ef,849.11,473,6105.4,5954.51
84283233ec42be5f,940.12,478,6193.82,6133.94
b5882371e2a3900d,833.07,483,6300.87,6133.94
a7a79b8efbceaaac,770.49,489,6396.54,6167.03
6546af7ab545b90c,878.99,493,6483.2,6362.19
2d5fbe2103f97053,897.46,498,6568.51,6465.97
e96d8538d3f9d0ed,897.46,498,6568.51,6465.97
80eacd4da0617c57,833.52,501,6632.45,6465.97
487c170da059857d,1036.23,506,6754.15,6790.38
9649d75defe0dedb,1036.23,506,6754.15,6790.38
b0550072e5f0afa7,1034.89,510,6842.54,6877.43
7dcf06c1967801c1,1091.2,513,6930.23,7021.43
c912f676692c353a,1124.3,520,7016.47,7140.77
351264d11286d09a,966.09,526,7174.68,7140.77
9de7c97e1c0d7927,1079.12,534,7317.37,7396.49
6b8f28da9a483049,1032.56,545,7477.67,7510.23
cbc071cb20ea59c7,1008.48,550,7582.39,7590.87
e31502e3f79d00c5,1013.49,553,7710.55,7724.04
b16a7e6a627e9789,969.27,558,7831.4,7800.67
c0c1bc0766df4c00,964.61,562,7909.68,7874.29
6c9383ffab2725a5,964.61,562,7909.68,7874.29
2f8f3c69522db931,958.43,567,8039.16,7997.59
9e0f28d1f639ad73,1216.42,574,8178.97,8395.39
abcf7e55a0a9ed89,1234.71,580,8320.58,8555.29
03da33a102d9a45f,1208.59,586,8475.16,8683.75
e5d03e4d966126bd,1070.41,593,8653.92,8724.33
70167689d6a01793,1011.72,599,8780.4,8792.12
2c104b7e59a72629,1032.08,602,8869.34,8901.42
a79bfbc01b2264d6,1062.21,610,8981.77,9043.98
4834ff149dc9542a,1202.48,616,9134.39,9336.87
94a5aaf573f780ad,1146.33,619,9251.7,9398.03
1bf49bf829964144,1084.78,622,9333.52,9418.3
3cf68c1d17f66af7,973.64,626,9461.59,9435.23
0941df56f6ac954b,1015.34,628,9502.17,9517.51
3ae10ac4df3df05c,970.87,633,9581.9,9552.77
df05aa15b2d66f57,1017.1,638,9658.89,9675.99
fd87b1bbfcde9d5e,1144.86,640,9747.47,9892.33
8d5daf67983b65ba,1144.86,640,9747.47,9892.33
81ca2c245b19b3c5,991.05,647,9901.8,9892.85
b09890ba7ce1d1e2,935.28,653,9962.73,9898.01
4565d435005319c0,915.55,657,10014.58,9930.13
74fefd43f073cd2f,829.16,664,10133.56,9962.72
0c1773639c795466,893.04,670,10230.49,10123.53
44aa652b181bcf68,947.28,674,10319.22,10266.5
b26d3e3746fb4024,1014.58,681,10444.66,10459.24
5df17b3620145578,959.65,689,10582.02,10541.67
33b2f68ef95252e0,924.66,694,10689.23,10613.89
fc9a9559a05f2704,1003.85,700,10757.18,10761.03
0b5b6876c2a4723f,1031.52,705,10826.05,10857.57
53278852bcd91e11,1062.25,711,10925.85,10988.1
898337ef520fe4d3,1049.62,712,10938.48,10988.1
5f8e00c27b7e7410,924.25,716,11063.85,10988.1
dfb965c9824425db,938.67,722,11173.37,11112.04
14b9e0f2679a2205,996.66,727,11300.27,11296.93
4c12aa7ca246e7a4,1037.93,729,11370.48,11408.41
1e13936d708bcff7,1007.4,733,11435.59,11442.99
2eab7a6c8b0ed8cc,1090.79,738,11563.81,11654.6
c32eab6c2119e989,1013.11,740,11641.49,11654.6
dbd198f780286aca,1013.11,740,11641.49,11654.6
18f5669a92e99d92,976.3,744,11730.94,11707.24
ddbd0d6259ce57cc,1001.79,752,11858.73,11860.52
dde70a112e053a6c,1072.01,760,11991.16,12063.17
3746e21bb508391a,1147.1,766,12087.78,12234.88
7a82635ffa9b59fe,1112.42,773,12229.5,12341.92
bda04c573563cc2e,1075.31,776,12266.61,12341.92
af1e5c64b8663aa0,1102.06,781,12350.5,12452.56
e29cf523ebd155c5,1039.59,787,12468.51,12508.1
542db012217ecb83,948.03,792,12566.73,12514.76
9c37681096c6f3a9,948.03,792,12566.73,12514.76
831b937811804dad,948.03,792,12566.73,12514.76
e69c5ce12f4e762b,883.97,794,12630.79,12514.76
805ad1801eb26abb,954.95,800,12756.61,12711.56
fd4578cac86d75ca,889.06,806,12873.37,12762.43
d4f364dd076bb0e2,892.78,811,12989.25,12882.03
c3c38c86f5ab9b5c,808.1,816,13087.1,12895.2
ad044be25c94dcfd,823.53,821,13147.16,12970.69
41dca66f9dadfc86,753.9,828,13249.35,13003.25
3bc27ec15facbcf3,745.03,833,13348.57,13093.6
bbb15f301e4a490a,756.5,841,13430.68,13187.18
992c82450d96f726,718.02,849,13518.98,13237.0
398b440e73d55b8b,699.51,852,13537.49,13237.0
d0d43cb9b14f231c,673.5,858,13606.82,13280.32
e49c2db95e572dc8,700.89,862,13660.69,13361.58
307064d3e0f036c2,722.05,866,13687.99,13410.04
56116537d71a578c,751.89,874,13792.95,13544.84
4304992c2acc187b,938.39,880,13898.35,13836.74
a1153013cb5f628f,953.07,886,13983.75,13936.82
3f7c14c7eca7195d,999.69,887,13997.07,13996.76
bfe95ec546692b13,1077.28,890,14091.64,14168.92
81b57acd6975ac06,1052.08,896,14210.02,14262.1
6e2b1d631832921d,1052.08,896,14210.02,14262.1
8c90c1563972e44d,974.04,902,14341.9,14315.94
c36e1f4fa755ffb4,981.08,905,14430.76,14411.84
6597b611f1c32555,853.42,912,14574.51,14427.93
9114c8ded5ccd71d,1032.27,919,14693.75,14726.02
4a35913bd9aa4161,1025.2,923,14749.6,14774.8
27541033b97c076d,947.35,928,14846.92,14794.27
d57e6a8971b6d2bd,982.59,933,14958.56,14941.15
58a36b4ccf5dc30e,1091.9,938,15096.51,15188.41
744f50016c39c26c,1121.63,941,15125.57,15247.2
277ffed20cf07aea,1140.16,948,15268.49,15408.65
3b2485c8d5c8b580,1212.47,955,15414.19,15626.66
0b64d0fed453ef7f,1217.07,960,15513.23,15730.3
9ddfb3369a3b0394,1138.4,966,15674.1,15812.5
a1d6b308781aa2f5,1157.44,968,15730.77,15888.21
8a0be41c0380188d,1135.64,975,15902.69,16038.33
40389d39a92f5bfa,1141.31,979,15996.74,16138.05
e57f0b06ea39e360,1185.65,983,16152.73,16338.38
320edfb0332b7073,1247.32,988,16298.03,16545.35
972197a8c61ac413,1136.98,992,16408.37,16545.35
2f13e4020cea5b38,1190.63,997,16528.57,16719.2
0db9d2486d564a3c,1276.38,1001,16590.54,16866.92
b9532d815060de7f,1254.4,1004,16622.35,16876.75
4c27ca8c8481f79a,1120.76,1012,16782.23,16902.99
0eec866a077889f0,982.88,1019,16920.11,16902.99
e15d0a2519d6a0b5,891.36,1023,17011.63,16902.99
d247691a6c0e9034,942.72,1027,17069.02,17011.74
8f4616698508f24d,971.17,1031,17140.39,17111.56
8a9c6c4301f6d088,930.4,1039,17276.88,17207.28
3974fa35c917af1d,848.47,1048,17391.07,17239.54
48e093ea1f43a053,723.58,1057,17517.84,17241.42
b5abaa65f87938eb,792.84,1063,17594.82,17387.66
c95fbc085e17a532,745.98,1072,17710.14,17456.12
509697e08673d2e5,745.98,1072,17710.14,17456.12
ef927e4fe2117ab8,820.16,1078,17780.42,17600.58
2a470ad41c22c25a,831.74,1088,17888.44,17720.18
f5585e675af7afd4,855.22,1095,17985.67,17840.89
335ad945324c3a2e,793.33,1102,18091.86,17885.19
883922e5cd6d8473,829.44,1107,18169.7,17999.14
cbb682f5fcc44bfc,829.44,1107,18169.7,17999.14
77940e45bc86208e,759.22,1115,18277.17,18036.39
f6a7b02c42e9fc5b,683.33,1119,18369.57,18052.9
75e0d3cc2262b732,665.41,1128,18456.64,18122.05
1f9344211ca7fd60,604.73,1138,18554.04,18158.77
1d00756835ca67c9,594.9,1145,18616.94,18211.84
1fac46d466abd5b8,646.66,1153,18693.31,18339.97
3a97fda0de6f1fa4,676.89,1160,18781.41,18458.3
8753e125f4499816,697.48,1170,18881.62,18579.1
236a37d96d476164,731.64,1177,18966.59,18698.23
6bf5a7d3e081ade2,807.08,1184,19048.74,18855.82
253d3f9e97ca149a,797.69,1191,19151.4,18949.09
60ba33c3f555a7a3,794.87,1197,19231.28,19026.15
a6c32678efd4f434,816.5,1203,19348.64,19165.14
57591bbf1623574e,781.03,1208,19427.94,19208.97
3a24769a4855040a,700.29,1217,19527.66,19227.95
a0a680fe2f6cc8e6,747.54,1225,19629.77,19377.31
eb42d4febfafefd1,733.38,1232,19733.32,19466.7
4a9e305633f3ef47,733.38,1232,19733.32,19466.7
31da66df48c0c1a0,783.06,1241,19838.3,19621.36
8fd76e1b49c00ae2,838.02,1249,19946.09,19784.11
319c15b8aac5bfde,853.47,1258,20069.51,19922.98
b0a6124751a56bc4,846.93,1265,20175.66,20022.59
8f6a18831a120817,825.2,1269,20203.69,20028.89
a23e63184c65f5b8,986.81,1279,20317.75,20304.56
4f853e98886283cf,992.98,1287,20437.01,20429.99
00a905a4a4a2b071,934.84,1294,20555.3,20490.14
93bf96be327fcd98,897.72,1303,20692.05,20589.77
8d477c3fbe001f9d,816.52,1312,20824.72,20641.24
4f670b7972fa0a2e,947.45,1317,20907.69,20855.14
49c29e57d4e2be6f,1044.56,1323,21016.2,21060.76
885e7f70dcac0007,997.96,1330,21120.56,21118.52
be5aab761c40ef35,938.01,1335,21197.39,21135.4
756f45905fb20cb5,915.7,1339,21244.42,21160.12
b3b6e80b7d5f8f0d,819.33,1347,21368.62,21187.95
012fc7cd0779c09a,742.48,1352,21445.47,21187.95
b23388ff8ac6637b,742.48,1352,21445.47,21187.95
f65a0eb902f9476b,693.92,1360,21551.69,21245.61
56ec58954158966a,773.05,1367,21652.36,21425.41
2e2cdb6e9eb84bb9,730.94,1373,21741.38,21472.32
5717efc6f271cd52,730.94,1373,21741.38,21472.32
d26394fc0e8e880a,671.47,1377,21800.85,21472.32
01dd4cdc2446f665,671.47,1377,21800.85,21472.32
f21a3d68fb9df387,628.93,1386,21895.94,21524.87
806975e1b4f47b27,663.69,1390,21920.21,21583.9
1ccff7f0cfdf85eb,663.69,1390,21920.21,21583.9
35080a7f406f9ab3,680.29,1399,22016.77,21697.06
e4bb7e483c4ad318,772.81,1407,22106.46,21879.27
aec273fcb765330d,809.14,1414,22214.95,22024.09
3dc3022232b79c7a,828.54,1423,22333.85,22162.39
15b1b21cd743d652,828.54,1423,22333.85,22162.39
6fb1ba67bef41b37,944.67,1429,22444.2,22388.87
51b1e2fd9872005b,1003.73,1436,22527.41,22531.14
3c6976f8182d9527,948.05,1445,22672.91,22620.96
901cddcbfa079097,972.14,1454,22805.36,22777.5
6f812143641ceff8,1041.28,1461,22950.5,22991.78
7abe471b61725980,1026.07,1470,23079.4,23105.47
b6c6d1731ff00eeb,1139.81,1476,23195.57,23335.38
b9415726dc3ec526,1086.95,1481,23316.97,23403.92
a780d16cf7eed44d,1086.95,1481,23316.97,23403.92
e9e1acc96536bb4f,1187.89,1489,23445.17,23633.06
6085ceb59087514b,1404.95,1495,23590.92,23995.87
c9885b1b7c7055a0,1210.85,1502,23785.02,23995.87
1174782eacde9b0c,1210.85,1502,23785.02,23995.87
ccd58ff71e260ed5,1076.62,1509,23948.36,24024.98
6f81b6de2557739a,1040.15,1516,24087.56,24127.71
d2fa318f34d0aadc,999.63,1522,24216.78,24216.41
2719f300b0439039,901.77,1526,24314.64,24216.41
89a407032911e27e,906.09,1531,24434.57,24340.66
ef61d9f5176b3200,882.84,1535,24475.04,24357.88
ece280745f8727b8,791.71,1544,24603.09,24394.8
8fa2b06572365321,730.29,1549,24678.26,24408.55
c945adc22c2bfe8f,786.39,1554,24760.37,24546.76
c8a49ff2acb6f3c5,852.48,1560,24853.49,24705.97
f3a078277b3b8ff4,788.36,1567,24976.82,24765.18
13a0fb8fbdafb54f,685.41,1573,25079.77,24765.18
7c4ec656d8fcb867,639.01,1579,25157.2,24796.21
5a558ba1ff5e9121,570.85,1587,25225.36,24796.21
3feed7d02711d8b7,687.63,1594,25303.47,24991.1
53e4e21f4c688801,664.32,1601,25363.72,25028.04
5ef0088c1b19beeb,659.56,1609,25416.72,25076.28
a8e8587a06e73c87,744.1,1613,25477.26,25221.36
010986ee359fb863,757.71,1616,25499.3,25257.01
bd85ca0bb4f26cfc,892.02,1624,25607.62,25499.64
cce79e827569f26e,945.01,1629,25707.38,25652.39
eaea0fc7b76525a8,1000.16,1638,25837.46,25837.62
dab0e6cb8c932162,940.14,1644,25918.44,25858.58
902ab9197b83d0db,807.07,1652,26053.21,25860.28
e4a9dbade7c7e1a7,877.96,1659,26115.99,25993.95
a9df5ae20a97b090,890.64,1664,26167.41,26058.05
c398235fcaf8d71d,962.02,1673,26299.85,26261.87
79ff6545b0abc685,864.42,1678,26429.77,26294.19
dba230fe33011201,926.87,1684,26535.52,26462.39
899eaba48fa864a6,864.19,1689,26619.88,26484.07
6750e338922a099d,864.19,1689,26619.88,26484.07
a16ce18149021139,787.92,1699,26745.15,26533.07
981ab7a0576f76a0,708.34,1706,26848.44,26556.78
5dfe71ade71f3a4b,778.56,1711,26947.18,26725.74
